game_id,season,week,home_team,away_team,predicted_spread,vegas_spread,edge,bet_side,actual_margin,ats_result,pnl,result,over_under,total_points,ou_result,cumulative_pnl,running_roi
401640998,2024,1,Jacksonville State,Coastal Carolina,-1.43571292644127,3.5,-4.93571292644127,away,-28.0,away_cover,0.9090909090909091,win,54.5,82.0,over,2.727272727272727,0.9090909090909091
401628448,2024,1,Minnesota,North Carolina,1.4297835980550555,-2.0,3.4297835980550557,home,-2.0,push,0.0,push,52.5,36.0,under,2.727272727272727,0.6818181818181818
401628328,2024,1,Oklahoma,Temple,38.92332555144391,43.0,-4.076674448556091,away,48.0,home_cover,-1.0,loss,57.5,54.0,under,1.727272727272727,0.3454545454545454
401628453,2024,1,Michigan State,Florida Atlantic,7.786997032464433,12.0,-4.213002967535567,away,6.0,away_cover,0.9090909090909091,win,45.0,26.0,under,2.6363636363636362,0.4393939393939394
401628461,2024,1,Wisconsin,Western Michigan,18.783812794472368,24.0,-5.216187205527632,away,14.0,away_cover,0.9090909090909091,win,57.0,42.0,under,3.5454545454545454,0.5064935064935064
401634300,2024,1,Stanford,TCU,-12.03030556943246,-8.0,-4.0303055694324605,away,-7.0,home_cover,-1.0,loss,58.5,61.0,over,2.5454545454545454,0.3181818181818182
401628323,2024,1,Georgia,Clemson,17.238151708262116,10.5,6.738151708262116,home,31.0,home_cover,0.9090909090909091,win,49.0,37.0,under,3.4545454545454546,0.38383838383838387
401628451,2024,1,Maryland,UConn,23.376893708274743,19.0,4.376893708274743,home,43.0,home_cover,0.9090909090909091,win,45.5,57.0,over,5.2727272727272725,0.47933884297520657
401629039,2024,1,Massachusetts,Eastern Michigan,-2.102155085921453,2.5,-4.602155085921453,away,-14.0,away_cover,0.9090909090909091,win,51.0,42.0,under,7.0,0.4666666666666667
401628455,2024,1,Ohio State,Akron,43.54099962614563,49.5,-5.959000373854373,away,46.0,away_cover,0.9090909090909091,win,56.0,58.0,over,7.909090909090909,0.4943181818181818
401644683,2024,1,Northwestern,Miami (OH),8.656194559432137,3.0,5.656194559432137,home,7.0,home_cover,0.9090909090909091,win,39.5,19.0,under,8.818181818181818,0.5187165775401069
401628329,2024,1,South Carolina,Old Dominion,23.97818066418812,20.5,3.4781806641881197,home,4.0,away_cover,-1.0,loss,49.5,42.0,under,7.818181818181818,0.43434343434343436
401628319,2024,1,Alabama,Western Kentucky,37.96295446762668,34.0,3.9629544676266804,home,63.0,home_cover,0.9090909090909091,win,59.5,63.0,over,8.727272727272727,0.4593301435406698
401636611,2024,1,Houston,UNLV,9.968488755743362,3.0,6.968488755743362,home,-20.0,away_cover,-1.0,loss,56.0,34.0,under,7.727272727272727,0.38636363636363635
401641039,2024,1,Rice,Sam Houston,5.642455134874575,9.5,-3.8575448651254254,away,-20.0,away_cover,0.9090909090909091,win,49.0,48.0,under,8.636363636363635,0.4112554112554112
401643774,2024,1,Charlotte,James Madison,-10.53722738124627,-6.5,-4.03722738124627,away,-23.0,away_cover,0.9090909090909091,win,47.5,37.0,under,8.454545454545453,0.33818181818181814
401677080,2024,1,West Virginia,Memphis,-10.657550805660488,-5.0,-5.657550805660488,away,-5.0,push,0.0,push,60.5,79.0,over,7.363636363636362,0.2539184952978056
401677081,2024,1,UNLV,California,-2.0430478283541937,3.0,-5.043047828354194,away,11.0,home_cover,-1.0,loss,45.5,37.0,under,6.363636363636362,0.21212121212121207
401677178,2024,1,Penn State,SMU,11.226382202006029,7.5,3.726382202006029,home,28.0,home_cover,0.9090909090909091,win,53.0,48.0,under,7.181818181818181,0.21763085399449034
401677085,2024,1,UTSA,Coastal Carolina,6.223048808020566,12.5,-6.276951191979434,away,29.0,home_cover,-1.0,loss,57.0,59.0,over,7.09090909090909,0.20259740259740258
401677086,2024,1,Fresno State,Northern Illinois,0.9170304102616776,-3.0,3.9170304102616775,home,-8.0,away_cover,-1.0,loss,40.5,48.0,over,6.09090909090909,0.16919191919191917
401677089,2024,1,Bowling Green,Arkansas State,4.709389976976809,10.0,-5.290610023023191,away,-7.0,away_cover,0.9090909090909091,win,53.5,69.0,over,6.999999999999999,0.18918918918918917
401677092,2024,1,Arkansas,Texas Tech,1.954872615552805,-3.0,4.954872615552805,home,13.0,home_cover,0.9090909090909091,win,52.5,65.0,over,7.909090909090908,0.208133971291866
401677095,2024,1,Nebraska,Boston College,0.4577436044247497,3.5,-3.0422563955752504,away,5.0,home_cover,-1.0,loss,46.5,35.0,under,7.727272727272725,0.18398268398268391
401677098,2024,1,NC State,East Carolina,1.9301093510270235,7.0,-5.069890648972977,away,-5.0,away_cover,0.9090909090909091,win,60.0,47.0,under,9.545454545454541,0.2169421487603305
401677100,2024,1,Army,Louisiana Tech,7.588684000524027,14.0,-6.411315999475973,away,21.0,home_cover,-1.0,loss,44.0,33.0,under,8.545454545454541,0.18989898989898982
401677104,2024,1,LSU,Baylor,-0.17382232929056,-3.5,3.32617767070944,home,13.0,home_cover,0.9090909090909091,win,62.5,75.0,over,9.363636363636358,0.19507575757575746
401677184,2024,1,Georgia,Notre Dame,4.011423188243156,-1.0,5.011423188243156,home,-13.0,away_cover,-1.0,loss,46.0,33.0,under,8.363636363636358,0.170686456400742
401677105,2024,1,Ole Miss,Duke,12.48628728934552,17.0,-4.513712710654479,away,32.0,home_cover,-1.0,loss,50.5,72.0,over,7.363636363636358,0.14727272727272717
401677189,2024,1,Penn State,Notre Dame,4.031688939012238,1.0,3.0316889390122377,home,-3.0,away_cover,-1.0,loss,46.0,51.0,over,5.272727272727266,0.09764309764309752
401677192,2024,1,Notre Dame,Ohio State,-2.581846817760393,-8.5,5.918153182239607,home,-11.0,away_cover,-1.0,loss,45.5,57.0,over,4.272727272727266,0.07768595041322303
401628470,2024,2,Penn State,Bowling Green,28.25326543062856,34.0,-5.746734569371441,away,7.0,away_cover,0.9090909090909091,win,51.5,61.0,over,6.999999999999994,0.12068965517241369
401635538,2024,2,Cincinnati,Pittsburgh,-2.294076639363164,2.0,-4.294076639363164,away,-1.0,away_cover,0.9090909090909091,win,62.0,55.0,under,7.727272727272721,0.12265512265512256
401635534,2024,2,Syracuse,Georgia Tech,0.9720955964026624,-3.0,3.9720955964026623,home,3.0,home_cover,0.9090909090909091,win,60.5,59.0,under,8.63636363636363,0.1349431818181817
401636618,2024,2,Utah,Baylor,10.37902070837376,15.0,-4.62097929162624,away,11.0,away_cover,0.9090909090909091,win,54.0,35.0,under,8.545454545454538,0.12947658402203846
401628465,2024,2,Maryland,Michigan State,11.543061335690895,8.0,3.5430613356908953,home,-3.0,away_cover,-1.0,loss,44.5,51.0,over,7.545454545454538,0.11261872455902296
401628473,2024,2,Washington,Eastern Michigan,27.974284742195472,24.5,3.474284742195472,home,21.0,away_cover,-1.0,loss,49.0,39.0,under,6.545454545454538,0.0962566844919785
401628340,2024,2,Kentucky,South Carolina,6.00302135625037,9.5,-3.49697864374963,away,-25.0,away_cover,0.9090909090909091,win,41.5,37.0,under,6.454545454545447,0.0922077922077921
401629040,2024,2,Toledo,Massachusetts,24.110261018209908,17.5,6.610261018209908,home,15.0,away_cover,-1.0,loss,51.0,61.0,over,5.454545454545447,0.07682458386683728
401643781,2024,2,Ohio,South Alabama,-4.865580267873628,1.0,-5.865580267873628,away,7.0,home_cover,-1.0,loss,55.0,47.0,under,3.363636363636356,0.04484848484848475
401636617,2024,2,UCF,Sam Houston,15.982683223759167,21.5,-5.517316776240833,away,31.0,home_cover,-1.0,loss,54.0,59.0,over,3.2727272727272654,0.04250295159386059
401643708,2024,2,Nevada,Georgia Southern,4.826086142714206,-1.0,5.826086142714206,home,-3.0,away_cover,-1.0,loss,56.0,37.0,under,2.2727272727272654,0.029137529137529043
401643705,2024,2,Air Force,San José State,7.008366414969458,3.0,4.008366414969458,home,-10.0,away_cover,-1.0,loss,44.5,24.0,under,0.2727272727272654,0.0034090909090908174
401628346,2024,2,NC State,Tennessee,-2.2784223192189987,-8.5,6.221577680781001,home,-41.0,away_cover,-1.0,loss,60.5,61.0,over,-0.7272727272727346,-0.008869179600887008
401628467,2024,2,Nebraska,Colorado,10.068987270276631,6.5,3.568987270276631,home,18.0,home_cover,0.9090909090909091,win,55.0,38.0,under,0.18181818181817444,0.002190580503833427
401628468,2024,2,Ohio State,Western Michigan,41.69462852371348,37.0,4.694628523713483,home,56.0,home_cover,0.9090909090909091,win,54.5,56.0,over,1.0909090909090835,0.0129870129870129
401628345,2024,2,Oklahoma,Houston,20.6545051387522,27.5,-6.845494861247801,away,4.0,away_cover,0.9090909090909091,win,49.5,28.0,under,1.9999999999999925,0.023529411764705792
401628469,2024,2,Oregon,Boise State,11.89986239582419,18.0,-6.10013760417581,away,3.0,away_cover,0.9090909090909091,win,61.5,71.0,over,1.9090909090909016,0.021943573667711512
401636859,2024,2,Washington State,Texas Tech,3.8595102644467456,-2.5,6.359510264446746,home,21.0,home_cover,0.9090909090909091,win,66.0,53.0,under,2.818181818181811,0.032024793388429666
