game_id,season,week,home_team,away_team,pred_total,over_under,total_points,edge,bet_side,ou_result,pnl,result,wind_speed,temp_avg,is_dome,cumulative_pnl,running_roi
401635525,2024,1,Georgia Tech,Florida State,50.68931599746123,54.5,45.0,-3.810684002538771,under,under,0.9090909090909091,win,10.6,74.55,0,0.9090909090909091,0.9090909090909091
401628453,2024,1,Michigan State,Florida Atlantic,50.96717331262353,45.0,26.0,5.96717331262353,over,under,-1.0,loss,9.1,76.25,0,-0.09090909090909094,-0.04545454545454547
401628461,2024,1,Wisconsin,Western Michigan,52.100191493439745,57.0,42.0,-4.899808506560255,under,under,0.9090909090909091,win,10.4,70.25,0,0.8181818181818181,0.2727272727272727
401628457,2024,1,West Virginia,Penn State,52.70281069276867,48.0,46.0,4.702810692768672,over,under,-1.0,loss,9.5,78.5,0,-0.18181818181818188,-0.04545454545454547
401628333,2024,1,Vanderbilt,Virginia Tech,55.7329805657423,49.0,61.0,6.732980565742302,over,over,0.9090909090909091,win,6.5,80.7,0,0.7272727272727272,0.14545454545454545
401628331,2024,1,Texas,Colorado State,55.64948092037028,62.5,52.0,-6.85051907962972,under,under,0.9090909090909091,win,10.4,83.4,0,2.5454545454545454,0.36363636363636365
401628449,2024,1,Indiana,Florida International,54.551837632418,51.0,38.0,3.5518376324179997,over,under,-1.0,loss,5.3,74.05,0,1.5454545454545454,0.19318181818181818
401634304,2024,1,Syracuse,Ohio,50.3554306577061,45.0,60.0,5.355430657706101,over,over,0.9090909090909091,win,0.0,68.0,1,2.4545454545454546,0.2727272727272727
401628455,2024,1,Ohio State,Akron,49.706602388362825,56.0,58.0,-6.293397611637175,under,over,-1.0,loss,9.7,78.1,0,1.4545454545454546,0.14545454545454545
401644683,2024,1,Northwestern,Miami (OH),46.11142691054652,39.5,19.0,6.61142691054652,over,under,-1.0,loss,8.5,72.95,0,0.4545454545454546,0.04132231404958678
401628329,2024,1,South Carolina,Old Dominion,55.35041029953845,49.5,42.0,5.850410299538453,over,under,-1.0,loss,4.4,79.15,0,-0.5454545454545454,-0.04545454545454545
401628319,2024,1,Alabama,Western Kentucky,55.72318999709013,59.5,63.0,-3.776810002909869,under,over,-1.0,loss,6.3,83.30000000000001,0,-1.5454545454545454,-0.11888111888111888
401641039,2024,1,Rice,Sam Houston,53.39902379184944,49.0,48.0,4.399023791849437,over,under,-1.0,loss,11.0,80.19999999999999,0,-2.5454545454545454,-0.18181818181818182
401643701,2024,1,Troy,Nevada,51.464133942761194,44.5,54.0,6.964133942761194,over,over,0.9090909090909091,win,6.3,83.05000000000001,0,-1.6363636363636362,-0.10909090909090909
401628324,2024,1,Kentucky,Southern Miss,56.783838777189715,50.0,31.0,6.783838777189715,over,under,-1.0,loss,8.2,80.1,0,-4.636363636363637,-0.25757575757575757
401643774,2024,1,Charlotte,James Madison,53.45645595629026,47.5,37.0,5.956455956290263,over,under,-1.0,loss,9.8,79.15,0,-5.636363636363637,-0.2966507177033493
