game_id,season,week,home_team,away_team,bet_side,bet_team,book_odds,model_wp,fair_book_prob,edge_prob,ev,won,home_win,pnl,result,cumulative_pnl,running_roi
401628332,2024,1,Texas A&M,Notre Dame,away,Notre Dame,125.0,0.4705171708515806,0.42888402625820565,0.04163314459337497,0.058663634416056376,1,0,1.25,win,-0.9333333333333331,-0.05185185185185184
401677179,2024,1,Notre Dame,Indiana,away,Indiana,260.0,0.2924472284918629,0.267175572519084,0.02527165597277886,0.05281002257070644,0,1,-1.0,loss,-7.083333333333334,-0.2623456790123457
401677091,2024,1,Vanderbilt,Georgia Tech,home,Vanderbilt,115.0,0.498523593639698,0.447405997144217,0.05111759649548098,0.07182572632535067,1,1,1.15,win,-0.7333333333333343,-0.02222222222222225
401635538,2024,2,Cincinnati,Pittsburgh,away,Pittsburgh,105.0,0.5144278279418322,0.4675324675324675,0.04689536040936465,0.054577047280755964,1,0,1.05,win,-5.969604086845466,-0.09475562042611851
401641033,2024,3,Fresno State,New Mexico State,away,New Mexico State,750.0,0.12560965459247364,0.11194029850746268,0.013669356085010964,0.06768206403602595,0,1,-1.0,loss,-18.349402066643442,-0.1456301751320908
401644735,2024,4,Central Michigan,Ball State,away,Ball State,205.0,0.35248956751702654,0.3158617532616159,0.03662781425541062,0.07509318092693085,0,1,-1.0,loss,-15.561166772525794,-0.11442034391563084
401643716,2024,4,North Texas,Wyoming,away,Wyoming,220.0,0.3295314446136691,0.299837925445705,0.029693519167964144,0.054500622763741235,0,1,-1.0,loss,-14.321511600112,-0.09239684903298065
401634767,2024,5,Miami,Virginia Tech,away,Virginia Tech,650.0,0.14039042683136504,0.12698412698412698,0.013406299847238068,0.05292820123523778,0,1,-1.0,loss,-17.40228083088123,-0.10676245908516092
401635560,2024,5,Boston College,Western Kentucky,away,Western Kentucky,390.0,0.21831983755119455,0.19431988041853515,0.0239999571326594,0.06976720400085323,0,1,-1.0,loss,-15.676090354690755,-0.09221229620406327
401635659,2024,5,Wake Forest,Louisiana,away,Louisiana,145.0,0.43019660993041686,0.39329934450109244,0.03689726542932442,0.05398169432952127,1,0,1.45,win,-7.952016280616683,-0.0449266456532016
401636886,2024,5,Utah,Arizona,away,Arizona,350.0,0.23797615089974122,0.2116788321167883,0.02629731878295291,0.07089267904883545,1,0,3.5,win,-6.660336531794078,-0.03398130883568407
401644740,2024,6,Akron,Bowling Green,home,Akron,475.0,0.1872081612109432,0.16580310880829016,0.02140505240265303,0.07644692696292332,0,0,-1.0,loss,-13.270681359380283,-0.0620125297167303
401628512,2024,7,Iowa,Washington,away,Washington,130.0,0.4687739294086456,0.42016806722689076,0.04860586218175483,0.0781800376398849,0,1,-1.0,loss,-4.3988428803989486,-0.017954460736322238
401645348,2024,8,UTSA,Florida Atlantic,away,Florida Atlantic,165.0,0.39663647631494436,0.36341238065906994,0.03322409565587442,0.051086662234602565,0,1,-1.0,loss,-7.522134805864785,-0.025760735636523237
401634771,2024,9,Boston College,Louisville,home,Boston College,220.0,0.3356706935119996,0.299837925445705,0.035832768066294596,0.07414621923839859,0,0,-1.0,loss,-14.453303637033613,-0.04677444542729325
401628407,2024,10,Auburn,Vanderbilt,away,Vanderbilt,195.0,0.3599074656483271,0.32579625577437393,0.03411120987395316,0.061727023662564884,1,0,1.95,win,-37.627657116686116,-0.10510518747677686
401636919,2024,11,Kansas,Iowa State,home,Kansas,130.0,0.4640546730693973,0.42016806722689076,0.04388660584250653,0.06732574805961378,1,1,1.3,win,-34.07945612065903,-0.08738322082220265
401635608,2024,11,NC State,Duke,away,Duke,130.0,0.4642280934334937,0.42016806722689076,0.04406002620660293,0.06772461489703552,1,0,1.3,win,-33.67945612065903,-0.08548085309811937
401641036,2024,11,New Mexico State,Western Kentucky,home,New Mexico State,600.0,0.153911982238207,0.13636363636363635,0.01754834587457066,0.07738387566744909,0,0,-1.0,loss,-38.67945612065903,-0.0969409927836066
