season,team,conference,ret_total_ppa,ret_pass_ppa,ret_rush_ppa,ret_recv_ppa,ret_ppa_pct,ret_pass_ppa_pct,ret_usage,ret_pass_usage
2015,New Mexico State,Sun Belt,204.2,81.1,20.2,102.9,0.782,1.0,0.836,1.0
2015,North Carolina,ACC,360.1,99.3,88.6,172.2,0.885,0.958,0.95,0.998
2015,Northern Illinois,Mid-American,315.6,113.0,108.6,94.0,0.724,0.898,0.668,0.937
2015,North Texas,Conference USA,111.1,-6.9,26.5,91.5,0.721,-2.464,0.64,0.747
2015,Northwestern,Big Ten,77.7,8.8,4.6,64.3,0.405,0.236,0.442,0.117
2015,Notre Dame,FBS Independents,190.8,18.0,38.6,134.2,0.536,0.138,0.407,0.074
2015,Ohio,Mid-American,184.1,33.5,47.9,102.7,0.794,0.933,0.897,0.997
2015,Ohio State,Big Ten,490.7,104.2,214.7,171.8,0.825,0.781,0.913,0.982
2015,Oklahoma,Big 12,331.5,87.6,118.2,125.6,0.831,0.974,0.866,0.997
2015,Oklahoma State,Big 12,203.3,30.7,11.1,161.5,0.723,0.514,0.443,0.301
2015,Old Dominion,Conference USA,172.1,6.8,43.7,121.6,0.427,0.059,0.341,0.007
2015,Ole Miss,SEC,189.3,11.1,42.2,136.1,0.547,0.112,0.445,0.075
2015,Oregon,Pac-12,353.9,71.5,93.1,189.4,0.478,0.275,0.56,0.086
2015,Oregon State,Pac-12,93.2,6.5,-2.3,88.9,0.431,0.087,0.203,0.002
2015,Penn State,Big Ten,133.1,21.7,8.3,103.1,0.748,0.816,0.789,0.978
2015,Pittsburgh,ACC,289.8,77.1,98.1,114.5,0.842,0.926,0.875,0.948
2015,Purdue,Big Ten,104.8,12.4,19.6,72.9,0.543,0.605,0.449,0.618
2015,Rice,Conference USA,296.0,141.6,39.5,115.0,0.731,0.963,0.899,0.995
2015,Rutgers,Big Ten,162.4,-10.9,27.6,145.7,0.456,-0.097,0.609,0.078
2015,San Diego State,Mountain West,174.9,-10.0,102.5,82.4,0.665,-0.503,0.62,0.121
2015,San José State,Mountain West,247.5,93.2,13.1,141.3,0.804,0.844,0.806,0.764
2015,SMU,American Athletic,60.1,-17.6,33.7,44.0,0.884,0.581,0.753,0.798
2015,South Alabama,Sun Belt,67.9,-12.0,11.2,68.7,0.322,-0.472,0.363,0.264
2015,South Carolina,SEC,157.8,17.1,41.9,98.9,0.349,0.121,0.284,0.043
2015,Southern Miss,Conference USA,168.8,65.1,-3.7,107.5,0.686,0.84,0.816,0.786
2015,South Florida,American Athletic,68.5,2.6,2.2,63.7,0.391,0.053,0.584,0.333
2015,Stanford,Pac-12,289.8,112.2,48.9,128.7,0.84,0.946,0.774,0.94
2015,Syracuse,ACC,101.0,10.5,32.2,58.2,0.678,2.234,0.638,0.941
2015,TCU,Big 12,454.4,134.7,96.1,223.6,0.889,0.933,0.842,0.949
2015,Temple,American Athletic,58.1,-4.2,4.9,57.4,0.488,1.235,0.699,0.948
2015,Tennessee,SEC,206.6,49.1,45.1,112.4,0.91,0.899,0.602,0.393
2015,Texas,Big 12,108.1,53.1,25.6,29.3,0.496,0.851,0.63,0.916
2015,Texas A&M,SEC,263.4,36.0,43.0,184.4,0.57,0.237,0.594,0.379
2015,Texas State,Sun Belt,320.6,99.1,93.9,127.6,0.8,0.962,0.802,0.998
2015,Texas Tech,Big 12,403.8,155.8,53.9,194.0,0.821,0.879,0.877,0.94
2015,Toledo,Mid-American,419.0,147.7,115.8,155.5,0.871,0.971,0.912,0.955
2015,Troy,Sun Belt,192.5,57.8,53.2,81.5,0.792,0.965,0.797,0.995
2015,Tulane,American Athletic,102.2,16.4,20.8,65.1,0.616,1.252,0.781,0.823
2015,Tulsa,American Athletic,244.0,68.5,30.3,145.2,0.964,1.0,0.986,1.0
2015,UAB,Conference USA,0.7,0.0,0.0,0.7,0.003,0.0,0.001,0.0
2015,UCF,American Athletic,139.1,97.9,12.2,29.0,0.429,0.825,0.698,0.984
2015,UCLA,Pac-12,193.8,30.7,52.6,110.5,0.534,0.318,0.516,0.12
2015,UConn,American Athletic,32.8,1.2,-19.1,50.8,0.271,0.083,0.443,0.188
2015,UL Monroe,Sun Belt,88.0,3.6,-14.1,98.5,0.442,0.067,0.297,0.044
2015,UNLV,Mountain West,203.9,61.5,36.9,105.6,0.744,1.875,0.677,0.817
2015,USC,Pac-12,260.9,189.6,0.4,70.9,0.53,0.905,0.567,0.988
2015,Utah,Pac-12,202.4,49.3,65.0,88.1,0.731,0.826,0.873,0.99
2015,Utah State,Mountain West,142.3,14.7,48.7,78.9,0.491,0.229,0.523,0.553
2015,UTEP,Conference USA,71.7,13.5,29.8,28.4,0.34,0.328,0.397,0.017
2015,UTSA,Conference USA,58.8,-11.8,15.3,55.2,0.53,-1.967,0.423,0.536
2015,Vanderbilt,SEC,110.4,25.9,-7.7,92.2,1.013,-129.5,0.767,0.64
2015,Virginia,ACC,147.0,38.6,12.0,96.3,0.5,0.417,0.376,0.376
2015,Virginia Tech,ACC,240.0,66.1,9.1,164.8,0.892,0.89,0.936,0.981
2015,Wake Forest,ACC,10.1,6.9,-48.6,51.8,0.202,4.313,0.744,0.954
2015,Washington,Pac-12,174.8,5.6,37.6,131.6,0.476,0.059,0.463,0.028
2015,Washington State,Pac-12,228.2,76.3,-3.3,155.2,0.416,0.342,0.459,0.323
2015,Western Kentucky,Conference USA,564.9,259.5,66.8,238.6,0.852,1.003,0.882,0.993
2015,Western Michigan,Mid-American,440.3,142.1,94.9,203.3,1.005,1.0,0.929,1.0
2015,West Virginia,Big 12,150.2,21.4,37.5,91.3,0.366,0.155,0.421,0.212
2015,Wisconsin,Big Ten,226.0,51.9,76.7,97.4,0.561,0.904,0.623,0.994
2015,Wyoming,Mountain West,114.5,5.2,16.9,92.4,0.462,0.075,0.493,0.029
2016,Air Force,Mountain West,211.8,27.6,141.6,42.6,0.563,0.347,0.625,0.145
2016,Akron,Mid-American,181.5,66.1,13.7,101.7,0.712,0.978,0.548,0.924
2016,Alabama,SEC,148.2,21.0,-16.1,143.3,0.341,0.15,0.279,0.112
2016,App State,Sun Belt,305.4,125.9,82.9,96.6,0.722,0.898,0.862,0.986
2016,Arizona,Pac-12,261.0,103.6,72.3,85.0,0.532,0.893,0.601,0.805
2016,Arizona State,Pac-12,159.5,3.8,42.9,112.8,0.349,0.027,0.39,0.007
2016,Arkansas,SEC,229.6,24.5,20.4,184.8,0.395,0.117,0.3,0.028
2016,Arkansas State,Sun Belt,119.7,0.0,53.3,66.4,0.369,0.0,0.301,0.0
2016,Army,FBS Independents,189.3,49.0,65.2,75.1,0.872,1.023,0.521,0.664
2016,Auburn,SEC,182.5,103.4,34.7,44.3,0.569,1.0,0.488,1.0
2016,Ball State,Mid-American,152.6,59.8,29.2,63.6,0.954,1.0,0.952,1.0
2016,Baylor,Big 12,388.3,93.1,180.0,115.1,0.576,0.486,0.605,0.555
2016,Boise State,Mountain West,394.1,142.1,59.2,192.9,0.857,0.985,0.771,0.86
2016,Boston College,ACC,95.8,8.8,16.9,70.1,0.921,1.143,0.869,0.996
2016,Bowling Green,Mid-American,142.2,14.3,39.8,88.1,0.386,0.431,0.483,0.677
2016,Buffalo,Mid-American,68.5,0.0,-1.9,70.4,0.217,0.0,0.266,0.0
2016,BYU,FBS Independents,325.7,131.4,59.7,134.5,0.679,0.981,0.748,0.996
2016,California,Pac-12,90.0,18.4,37.2,34.3,0.152,0.078,0.283,0.038
2016,Central Michigan,Mid-American,364.2,158.0,1.3,204.9,0.931,1.01,0.853,0.996
2016,Charlotte,Conference USA,65.3,-41.6,44.0,62.9,0.859,1.0,0.833,1.0
2016,Cincinnati,American Athletic,292.3,157.2,61.3,73.7,0.505,0.86,0.643,0.977
2016,Clemson,ACC,555.6,209.5,124.7,221.4,0.888,0.956,0.89,0.994
2016,Colorado,Pac-12,252.4,91.5,50.5,110.4,0.756,0.894,0.701,0.759
2016,Colorado State,Mountain West,194.9,101.3,38.8,54.8,0.517,0.949,0.611,0.877
2016,Duke,ACC,214.7,83.0,38.4,93.3,0.693,0.9,0.753,0.99
2016,East Carolina,American Athletic,141.7,15.8,27.0,98.8,0.472,0.133,0.392,0.215
2016,Eastern Michigan,Mid-American,160.7,81.3,13.8,65.6,0.547,0.987,0.583,0.833
2016,Florida,SEC,94.3,8.4,-1.2,87.1,0.311,0.119,0.218,0.016
2016,Florida Atlantic,Conference USA,69.8,13.5,1.3,55.0,0.415,0.496,0.489,0.398
2016,Florida International,Conference USA,187.7,63.9,35.6,88.1,0.711,0.964,0.827,0.958
2016,Florida State,ACC,356.4,72.0,56.7,227.7,0.773,0.441,0.749,0.476
2016,Fresno State,Mountain West,57.9,5.3,5.3,47.4,0.706,-0.23,0.286,0.133
2016,Georgia,SEC,244.2,95.5,50.3,98.5,0.778,0.983,0.802,0.897
2016,Georgia Southern,Sun Belt,205.2,-13.4,196.8,21.8,1.016,1.0,0.927,1.0
2016,Georgia State,Sun Belt,202.9,2.0,-20.4,221.3,0.405,0.009,0.505,0.025
2016,Georgia Tech,ACC,204.8,41.0,93.0,70.8,0.883,0.974,0.855,0.995
2016,Hawai'i,Mountain West,129.6,13.8,24.1,91.7,1.013,-1.302,0.712,0.389
2016,Houston,American Athletic,386.9,156.1,103.5,127.3,0.709,0.947,0.615,0.963
2016,Idaho,Sun Belt,184.5,65.1,27.6,91.7,0.652,0.892,0.603,0.809
2016,Illinois,Big Ten,119.7,47.6,2.4,69.6,0.688,0.988,0.71,0.994
2016,Indiana,Big Ten,191.0,13.1,0.7,177.2,0.387,0.073,0.47,0.123
2016,Iowa,Big Ten,314.7,127.7,69.5,117.5,0.839,0.965,0.744,0.995
2016,Iowa State,Big 12,175.2,30.4,48.5,96.4,0.632,0.505,0.573,0.498
2016,Kansas,Big 12,121.9,27.3,2.9,91.8,0.767,0.913,0.759,0.998
2016,Kansas State,Big 12,179.4,39.1,61.2,79.1,0.68,0.725,0.775,0.779
2016,Kent State,Mid-American,5.1,-9.7,-25.8,40.6,0.729,1.0,0.828,1.0
2016,Kentucky,SEC,215.7,1.1,74.6,140.0,0.787,0.031,0.648,0.175
2016,Louisiana,Sun Belt,162.7,10.3,66.4,86.1,0.596,0.204,0.625,0.473
2016,Louisiana Tech,Conference USA,171.8,8.3,8.2,155.2,0.359,0.05,0.307,0.069
2016,Louisville,ACC,354.1,68.0,97.2,188.9,0.995,1.0,0.992,1.0
2016,LSU,SEC,347.9,86.0,134.5,127.4,0.93,0.895,0.956,0.993
2016,Marshall,Conference USA,201.8,97.2,11.6,93.0,0.641,1.049,0.655,0.818
2016,Maryland,Big Ten,142.7,-6.2,58.1,90.7,0.87,0.453,0.799,0.946
2016,Massachusetts,Mid-American,44.8,8.3,32.6,3.8,0.178,0.188,0.226,0.048
2016,Memphis,American Athletic,169.7,2.8,14.9,152.0,0.338,0.015,0.336,0.004
2016,Miami,ACC,309.2,147.0,14.3,147.8,0.785,0.947,0.866,0.994
2016,Miami (OH),Mid-American,160.2,9.4,2.2,148.7,0.843,0.276,0.841,0.677
2016,Michigan,Big Ten,202.0,27.5,16.7,157.8,0.501,0.202,0.531,0.085
2016,Michigan State,Big Ten,92.6,-0.3,10.9,82.0,0.226,-0.002,0.46,0.078
2016,Middle Tennessee,Conference USA,363.3,182.8,13.8,166.7,0.775,0.973,0.737,0.975
2016,Minnesota,Big Ten,238.6,103.7,8.6,126.3,0.99,1.0,0.949,1.0
2016,Mississippi State,SEC,169.4,35.5,14.8,119.1,0.33,0.19,0.397,0.042
2016,Missouri,SEC,55.8,-7.6,-1.2,64.5,0.656,9.5,0.623,0.72
2016,Navy,American Athletic,108.7,7.2,52.0,49.5,0.272,0.127,0.203,0.038
2016,NC State,ACC,173.5,5.5,75.1,92.9,0.558,0.086,0.525,0.043
2016,Nebraska,Big Ten,399.0,126.7,56.0,216.3,0.907,1.002,0.846,0.998
2016,Nevada,Mountain West,290.7,80.5,75.0,135.2,0.908,0.964,0.789,0.997
2016,New Mexico,Mountain West,191.6,44.3,88.1,59.2,0.712,1.045,0.758,0.992
2016,New Mexico State,Sun Belt,117.0,11.4,83.6,22.1,0.433,0.385,0.574,0.519
2016,North Carolina,ACC,343.6,73.9,90.5,179.2,0.567,0.411,0.471,0.134
2016,Northern Illinois,Mid-American,298.3,86.1,83.1,129.1,0.862,0.949,0.87,0.887
2016,North Texas,Conference USA,6.2,0.1,-2.7,8.8,0.135,-0.002,0.133,0.002
2016,Northwestern,Big Ten,110.5,26.1,36.8,47.6,0.704,1.012,0.848,0.844
2016,Notre Dame,FBS Independents,246.8,93.7,81.9,71.2,0.656,0.906,0.688,0.992
2016,Ohio,Mid-American,195.7,-0.4,41.1,154.9,0.589,-0.006,0.453,0.1
2016,Ohio State,Big Ten,87.4,3.1,59.3,25.0,0.244,0.051,0.285,0.439
2016,Oklahoma,Big 12,442.7,172.4,94.8,175.5,0.766,0.895,0.805,0.9
2016,Oklahoma State,Big 12,390.3,208.1,-10.5,192.8,0.659,0.886,0.753,0.858
2016,Old Dominion,Conference USA,245.9,50.4,66.4,129.0,0.972,1.0,0.968,1.0
2016,Ole Miss,SEC,460.5,198.5,98.4,163.6,0.771,0.944,0.723,0.965
2016,Oregon,Pac-12,299.1,9.5,175.2,114.3,0.608,0.079,0.514,0.046
2016,Oregon State,Pac-12,112.9,20.3,42.0,50.6,0.925,1.493,0.688,0.661
2016,Penn State,Big Ten,177.8,18.4,15.2,144.2,0.651,0.251,0.521,0.104
2016,Pittsburgh,ACC,230.7,90.3,59.4,80.9,0.693,1.061,0.723,0.911
2016,Purdue,Big Ten,177.3,15.6,38.6,123.1,0.69,0.368,0.711,0.588
2016,Rice,Conference USA,129.1,-1.3,24.1,106.4,0.45,-0.015,0.545,0.138
2016,Rutgers,Big Ten,225.9,69.5,45.2,111.2,0.722,0.815,0.828,0.986
2016,San Diego State,Mountain West,191.6,27.6,70.6,93.5,0.567,0.335,0.538,0.198
2016,San José State,Mountain West,253.6,92.1,42.9,118.6,0.607,0.71,0.5,0.7
2016,SMU,American Athletic,263.2,77.4,43.0,142.9,0.901,1.071,0.89,0.995
2016,South Alabama,Sun Belt,125.1,3.3,38.0,83.8,0.539,0.069,0.449,0.09
2016,South Carolina,SEC,165.6,67.7,29.7,68.2,0.581,0.876,0.564,0.893
2016,Southern Miss,Conference USA,342.7,225.5,34.1,83.2,0.578,0.959,0.613,0.98
2016,South Florida,American Athletic,332.3,80.8,121.8,129.7,0.893,0.874,0.949,0.921
2016,Stanford,Pac-12,203.3,18.3,55.9,129.0,0.395,0.112,0.478,0.048
2016,Syracuse,ACC,181.5,51.0,30.4,100.1,1.014,1.149,0.914,0.991
2016,TCU,Big 12,145.4,17.7,4.7,122.9,0.242,0.078,0.295,0.077
2016,Temple,American Athletic,187.9,105.3,3.6,78.9,0.631,0.967,0.831,0.991
2016,Tennessee,SEC,327.1,95.8,104.0,127.3,0.879,1.018,0.909,0.997
2016,Texas,Big 12,181.9,21.1,107.9,52.8,0.858,1.0,0.773,1.0
2016,Texas A&M,SEC,178.7,22.6,9.9,146.3,0.537,0.266,0.396,0.175
2016,Texas State,Sun Belt,80.4,38.8,38.2,3.5,0.338,1.051,0.527,0.998
2016,Texas Tech,Big 12,436.9,154.3,85.3,197.3,0.71,0.843,0.696,0.928
2016,Toledo,Mid-American,218.5,9.7,77.8,131.0,0.515,0.063,0.579,0.021
2016,Troy,Sun Belt,163.5,100.7,-9.1,72.0,0.538,0.868,0.533,0.778
2016,Tulane,American Athletic,110.4,8.9,16.5,85.0,0.521,0.153,0.411,0.005
2016,Tulsa,American Athletic,325.6,166.2,64.7,94.6,0.659,0.964,0.691,0.994
2016,UCF,American Athletic,102.6,2.4,-24.6,124.8,1.091,0.522,0.784,0.597
2016,UCLA,Pac-12,263.2,145.8,48.3,69.1,0.543,0.977,0.616,0.958
2016,UConn,American Athletic,209.0,50.1,15.2,143.8,0.977,0.992,0.887,0.835
2016,UL Monroe,Sun Belt,201.6,78.8,7.4,115.3,0.916,1.135,0.658,0.721
2016,UNLV,Mountain West,149.2,-7.9,41.0,116.1,0.559,-0.136,0.543,0.445
2016,USC,Pac-12,328.5,32.6,64.3,231.6,0.605,0.186,0.543,0.04
2016,Utah,Pac-12,96.5,7.0,-3.4,92.9,0.337,0.091,0.232,0.008
2016,Utah State,Mountain West,176.7,51.6,37.9,87.3,0.64,0.842,0.642,0.506
2016,UTEP,Conference USA,137.7,32.8,7.8,97.1,0.924,0.929,0.769,0.994
2016,UTSA,Conference USA,152.7,14.2,42.7,95.8,0.642,0.393,0.689,0.608
2016,Vanderbilt,SEC,65.4,5.5,0.2,59.7,0.617,-0.714,0.65,0.295
2016,Virginia,ACC,236.5,103.9,29.3,103.4,0.71,0.936,0.877,0.998
2016,Virginia Tech,ACC,253.4,53.3,44.9,155.2,0.754,0.547,0.675,0.443
2016,Wake Forest,ACC,137.8,7.8,17.2,112.7,0.801,0.94,0.927,0.998
2016,Washington,Pac-12,246.6,101.1,66.7,78.7,0.676,0.98,0.767,0.993
2016,Washington State,Pac-12,441.1,179.1,40.4,221.5,0.855,1.004,0.836,0.878
2016,Western Kentucky,Conference USA,261.6,21.2,65.4,174.9,0.389,0.077,0.415,0.031
2016,Western Michigan,Mid-American,407.1,165.6,116.2,125.3,0.784,1.0,0.87,1.0
2016,West Virginia,Big 12,277.9,81.3,63.1,133.5,0.707,1.0,0.754,1.0
2016,Wisconsin,Big Ten,93.1,12.8,0.6,79.6,0.297,0.126,0.512,0.12
2016,Wyoming,Mountain West,187.6,-6.4,40.4,153.6,0.705,-0.108,0.7,0.216
2017,Air Force,Mountain West,211.3,67.5,91.7,52.1,0.627,0.921,0.556,0.987
2017,Akron,Mid-American,170.2,64.7,40.1,65.5,0.599,0.871,0.726,0.9
2017,Alabama,SEC,315.7,85.0,141.5,89.1,0.731,0.71,0.791,0.9
2017,App State,Sun Belt,210.4,64.3,64.9,81.2,0.704,1.092,0.729,0.969
2017,Arizona,Pac-12,163.6,15.7,89.7,58.2,0.714,0.633,0.745,0.839
2017,Arizona State,Pac-12,231.1,68.9,56.6,105.6,0.727,0.931,0.875,0.996
2017,Arkansas,SEC,276.0,161.2,8.6,106.2,0.566,0.858,0.544,0.982
2017,Arkansas State,Sun Belt,262.4,105.9,-4.0,160.5,0.815,0.853,0.77,0.826
2017,Army,FBS Independents,204.2,4.3,175.6,24.3,0.714,0.896,0.84,0.984
2017,Auburn,SEC,183.2,-1.8,88.2,96.8,0.516,-0.022,0.552,0.017
2017,Ball State,Mid-American,195.5,49.8,98.2,47.5,0.613,0.902,0.772,0.996
2017,Baylor,Big 12,207.3,66.3,57.3,83.8,0.432,0.505,0.493,0.423
2017,Boise State,Mountain West,336.5,184.8,17.9,133.8,0.613,0.89,0.536,0.974
2017,Boston College,ACC,74.4,-1.1,-31.1,106.7,0.524,-0.037,0.555,0.072
2017,Bowling Green,Mid-American,111.0,-4.8,42.8,72.9,0.81,0.229,0.634,0.703
2017,Buffalo,Mid-American,69.2,20.9,19.9,28.4,0.353,0.543,0.552,0.77
2017,BYU,FBS Independents,101.4,19.2,5.3,76.9,0.306,0.382,0.255,0.1
2017,California,Pac-12,176.0,26.6,51.9,97.6,0.394,0.169,0.351,0.014
2017,Central Michigan,Mid-American,227.4,19.6,25.3,182.5,0.65,0.182,0.418,0.018
2017,Charlotte,Conference USA,112.2,24.6,57.8,29.8,0.668,1.281,0.527,0.584
2017,Cincinnati,American Athletic,185.2,58.3,0.9,126.0,0.732,0.802,0.613,0.729
2017,Clemson,ACC,148.4,19.6,2.7,126.1,0.243,0.085,0.229,0.031
2017,Colorado,Pac-12,306.0,49.1,36.6,220.3,0.746,0.373,0.671,0.319
2017,Colorado State,Mountain West,348.4,124.4,86.6,137.3,0.822,0.943,0.873,0.91
2017,Duke,ACC,230.8,81.7,35.5,113.6,0.827,1.0,0.809,1.0
2017,East Carolina,American Athletic,193.2,54.9,6.5,131.8,0.442,0.385,0.42,0.359
2017,Eastern Michigan,Mid-American,387.7,119.8,36.7,231.1,0.806,0.782,0.831,0.723
2017,Florida,SEC,192.4,52.0,13.6,126.8,0.802,0.706,0.727,0.485
2017,Florida Atlantic,Conference USA,237.0,46.5,88.3,102.2,0.901,1.0,0.965,1.0
2017,Florida International,Conference USA,151.9,39.0,38.8,74.1,0.72,0.954,0.931,0.998
2017,Florida State,ACC,295.1,119.4,58.3,117.4,0.597,0.842,0.562,0.958
2017,Fresno State,Mountain West,170.8,55.5,9.9,105.5,0.858,0.981,0.609,0.791
2017,Georgia,SEC,247.5,63.2,63.4,120.9,0.804,0.867,0.895,0.956
2017,Georgia Southern,Sun Belt,84.9,12.0,26.2,46.6,0.301,0.153,0.2,0.025
2017,Georgia State,Sun Belt,180.1,94.1,-2.1,88.0,0.69,0.953,0.855,0.998
2017,Georgia Tech,ACC,159.0,-0.1,40.9,118.2,0.506,-0.001,0.347,0.07
2017,Hawai'i,Mountain West,230.2,70.7,55.9,103.6,0.611,0.736,0.634,0.758
2017,Houston,American Athletic,186.7,23.9,3.9,158.8,0.396,0.148,0.486,0.112
2017,Idaho,Sun Belt,158.9,70.8,25.4,62.7,0.591,0.937,0.81,0.966
2017,Illinois,Big Ten,82.3,0.9,22.7,58.6,0.508,0.025,0.541,0.347
2017,Indiana,Big Ten,227.3,111.6,-17.9,133.6,0.635,0.943,0.609,0.961
