game_id,wind_speed,temp_avg,precipitation,is_dome
400937464,9.5,73.94999999999999,0.024,0
400934574,5.9,70.5,0.008,0
400935351,14.1,81.45,0.004,0
400935353,13.2,68.8,0.406,0
400937468,6.5,75.35,0.039,0
400933860,10.2,78.4,0.0,0
400934563,5.6,67.55,0.0,0
400935274,10.7,53.4,0.0,0
400934508,13.7,83.95,0.0,0
400938609,4.4,69.1,0.0,0
400938608,5.8,72.8,0.0,0
400938611,,,,0
400933859,6.6,77.15,0.051,0
400935273,15.4,50.0,0.012,0
400941802,7.3,70.3,0.0,0
400933854,5.8,77.65,0.039,0
400944836,9.6,81.55,0.012,0
400944839,7.5,72.6,0.0,0
400933861,5.4,74.80000000000001,0.004,0
400935355,10.8,74.85,0.0,0
400933863,4.9,73.2,0.008,0
400935356,5.4,68.4,0.0,0
400944837,13.8,77.15,0.0,0
400937461,5.5,72.8,0.0,0
400941801,6.1,70.05,0.016,0
400938610,9.3,79.95,0.055,0
400934512,14.8,78.75,0.075,0
400934511,14.0,69.4,0.004,0
400935275,15.1,59.05,0.327,0
400935272,7.2,57.35,0.0,0
400933858,9.6,62.3,0.0,0
400935276,11.1,69.75,0.0,0
400941803,8.0,78.3,0.0,0
400945258,10.6,50.45,0.0,0
400935277,14.8,76.85,0.0,0
400934561,9.9,80.65,0.028,0
400934514,9.3,79.3,0.02,0
400935363,6.1,75.75,0.0,0
400937472,9.2,77.35,0.004,0
400934518,12.0,80.7,0.055,0
400933864,7.4,78.6,0.0,0
400933870,6.5,76.05000000000001,0.0,0
400937474,5.1,77.1,0.0,0
400937473,7.2,75.5,0.008,0
400941807,9.8,79.6,0.0,0
400937477,6.0,72.15,0.0,0
400944841,7.2,79.0,0.0,0
400944902,5.7,75.6,0.0,0
400935361,5.9,73.45,0.0,0
400933869,7.4,77.0,0.0,0
400944901,7.2,77.5,0.008,0
400937470,7.3,77.6,0.0,0
400935279,10.1,63.75,0.0,0
400934516,10.9,79.7,0.004,0
400937475,9.0,79.80000000000001,0.654,0
400941804,7.2,74.75,0.0,0
400937478,,,,0
400935359,7.3,79.4,0.0,0
400937471,6.5,76.1,0.004,0
400933871,6.6,77.4,0.091,0
400935362,17.5,80.69999999999999,0.0,0
400935364,4.9,78.4,0.0,0
400944842,10.0,80.2,0.028,0
400938614,7.3,75.4,0.0,0
400935283,8.5,49.150000000000006,0.0,0
400944818,7.5,79.1,0.142,0
400934515,10.9,82.4,0.008,0
400938618,13.4,81.5,0.008,0
400933867,8.5,80.8,0.031,0
400938621,6.6,76.55,0.0,0
400941806,13.5,82.25,0.008,0
400945259,14.3,51.25,1.028,0
400938617,6.2,76.55000000000001,0.118,0
400938616,7.0,70.1,0.0,0
400933865,6.8,76.4,0.004,0
400935360,9.4,79.45,0.0,0
400945260,,,,0
400938620,10.7,78.55000000000001,0.024,0
400933868,7.9,79.1,0.0,0
400933866,7.6,75.15,0.0,0
400938615,12.0,80.7,0.055,0
400938619,11.5,71.25,0.0,0
400934575,7.7,77.4,0.0,0
400935281,7.4,46.05,0.378,0
400935278,7.9,73.05,0.0,0
400945261,14.4,39.85,0.413,0
400935280,8.2,67.6,0.0,0
400941838,,,,0
400934521,9.4,62.05,0.0,0
400937479,8.4,69.2,0.039,0
400935365,9.0,60.5,0.0,0
400945262,7.3,51.95,0.154,0
400935284,17.7,54.05,0.0,0
400933873,6.8,68.55,0.0,0
400937483,12.8,73.25,0.012,0
400935370,8.6,57.6,0.0,0
400941810,10.7,69.0,0.0,0
400935367,11.3,56.6,0.004,0
400937486,11.2,57.4,0.0,0
400933875,10.6,75.1,0.354,0
400941811,18.0,60.25,0.004,0
400937485,10.1,68.9,0.0,0
400937480,14.8,53.5,0.402,0
400934566,14.0,55.75,0.197,0
400944986,11.0,54.5,0.0,0
400937484,10.0,63.15,0.0,0
400933878,11.0,68.1,0.0,0
400937482,9.3,66.0,0.0,0
400938890,,,,0
400934519,13.5,68.69999999999999,0.0,0
400941813,7.2,68.69999999999999,0.012,0
400935368,15.3,53.35,0.0,0
400935366,7.2,53.8,0.0,0
400935285,8.6,67.3,0.0,0
400944845,11.7,49.9,0.016,0
400941809,9.4,73.7,0.0,0
400933876,8.8,60.949999999999996,0.0,0
400934576,8.9,55.5,0.0,0
400933874,9.8,79.0,0.0,0
400944904,10.4,55.6,0.0,0
400933877,8.3,78.95,0.0,0
400938622,,,,0
400938623,9.2,79.8,0.024,0
400938624,11.4,75.7,0.0,0
400944905,7.5,55.6,0.0,0
400944844,,,,0
400945263,13.0,59.85,0.492,0
400985406,8.6,78.55000000000001,1.071,0
400938625,8.9,60.15,0.0,0
400938626,6.7,79.2,0.0,0
400935369,12.5,59.599999999999994,0.016,0
400933879,10.0,77.15,0.0,0
400934520,16.1,68.05,0.0,0
400935288,11.4,55.349999999999994,0.047,0
400937481,6.9,55.45,0.0,0
400933872,11.1,76.85,0.004,0
400945265,11.1,71.55,0.0,0
400944987,12.0,68.2,0.0,0
400945266,0.0,68.0,0.0,1
400935287,6.8,54.95,0.024,0
400935286,8.0,68.3,0.008,0
400945264,7.3,80.0,0.043,0
400944846,13.7,75.85,0.012,0
400937487,5.5,71.1,0.0,0
400941814,,,,0
400945267,5.2,54.599999999999994,0.0,0
400941819,22.3,79.05000000000001,0.654,0
400941817,9.3,73.65,0.106,0
400935374,22.5,70.25,0.417,0
400937489,7.5,69.1,0.213,0
400944991,21.4,73.7,0.248,0
400934523,15.9,68.85,0.539,0
400933880,13.3,77.95,0.209,0
400935371,23.6,64.05,0.472,0
400934525,21.9,67.3,0.043,0
400933885,15.4,76.25,0.13,0
400937490,10.5,73.35,0.0,0
400937491,0.0,68.0,0.0,1
400944990,12.1,74.0,0.0,0
400944989,22.2,70.6,0.118,0
400944849,7.7,75.0,0.0,0
400938628,13.0,76.19999999999999,0.13,0
400934522,14.1,74.5,0.0,0
400944850,,,,0
400981507,11.7,81.19999999999999,0.256,0
400934577,8.4,70.35,0.232,0
400944992,22.4,66.8,0.248,0
400944988,17.8,71.4,0.024,0
400933882,9.7,81.85,0.413,0
400941815,13.3,71.8,0.0,0
400935376,23.6,73.05,0.445,0
400944993,14.8,71.4,0.146,0
400938630,11.7,76.45,0.35,0
400935375,18.5,73.2,0.063,0
400935290,12.7,78.55,0.0,0
400933883,8.5,78.25,0.106,0
400945268,9.6,51.55,0.0,0
400944848,,,,0
400938629,12.9,74.69999999999999,0.055,0
