season,team,portal_talent_in,portal_talent_out,portal_net_rating,portal_count_in,portal_count_out,portal_net_count,portal_stars_in_avg,portal_qb_in,portal_qb_out
2021,Fairmont State,0.0,82.0,-82.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Florida,347.0,243.0,104.0,7.0,10.0,-3.0,2.7142857142857144,0.0,0.0
2021,Florida A&M,0.0,0.0,0.0,4.0,0.0,4.0,3.25,0.0,0.0
2021,Florida Atlantic,243.0,0.0,243.0,7.0,9.0,-2.0,3.142857142857143,1.0,1.0
2021,Florida State,770.0,590.0,180.0,12.0,17.0,-5.0,2.8333333333333335,0.0,1.0
2021,Fordham,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Fort Valley State,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2021,Fresno State,166.0,0.0,166.0,8.0,13.0,-5.0,2.375,0.0,1.0
2021,Furman,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Garden City C.C. ,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2021,Georgia,283.0,669.0,-386.0,3.0,13.0,-10.0,4.0,0.0,1.0
2021,Georgia Southern,80.0,252.0,-172.0,4.0,14.0,-10.0,3.0,1.0,0.0
2021,Georgia State,83.0,90.0,-7.0,3.0,7.0,-4.0,2.0,0.0,0.0
2021,Georgia Tech,499.0,320.0,179.0,10.0,19.0,-9.0,2.7,1.0,1.0
2021,Grand Valley State University,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Harvard,0.0,85.0,-85.0,0.0,2.0,-2.0,0.0,0.0,0.0
2021,Hawai'i,0.0,0.0,0.0,6.0,10.0,-4.0,2.3333333333333335,0.0,0.0
2021,Holy Cross,0.0,80.0,-80.0,0.0,3.0,-3.0,0.0,0.0,0.0
2021,Houston,331.0,0.0,331.0,10.0,12.0,-2.0,3.0,0.0,1.0
2021,Houston Christian,0.0,84.0,-84.0,0.0,5.0,-5.0,0.0,0.0,0.0
2021,Howard,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Hutchinson C.C.,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
2021,Idaho,0.0,0.0,0.0,6.0,0.0,6.0,2.1666666666666665,0.0,0.0
2021,Illinois,326.0,164.0,162.0,9.0,17.0,-8.0,2.111111111111111,1.0,0.0
2021,Illinois State,0.0,167.0,-167.0,3.0,2.0,1.0,2.3333333333333335,0.0,0.0
2021,Incarnate Word,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Independence C.C.,0.0,0.0,0.0,3.0,0.0,3.0,2.6666666666666665,1.0,0.0
2021,Indiana,250.0,0.0,250.0,8.0,10.0,-2.0,3.0,0.0,0.0
2021,Iowa,84.0,0.0,84.0,1.0,10.0,-9.0,3.0,0.0,0.0
2021,Iowa Central C.C.,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
2021,Iowa State,85.0,83.0,2.0,2.0,7.0,-5.0,3.0,0.0,1.0
2021,Jackson State,0.0,88.0,-88.0,18.0,1.0,17.0,2.6666666666666665,0.0,0.0
2021,Jacksonville State,0.0,83.0,-83.0,6.0,1.0,5.0,2.1666666666666665,1.0,0.0
2021,James Madison,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0
2021,Kansas,170.0,338.0,-168.0,13.0,27.0,-14.0,2.230769230769231,1.0,0.0
2021,Kansas State,246.0,84.0,162.0,8.0,15.0,-7.0,2.0,0.0,1.0
2021,Kennesaw State,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
2021,Kent State,0.0,0.0,0.0,7.0,14.0,-7.0,2.5714285714285716,0.0,1.0
2021,Kentucky,594.0,0.0,594.0,7.0,10.0,-3.0,3.142857142857143,1.0,1.0
2021,Kentucky State,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2021,Kilgore J.C.,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2021,LSU,178.0,941.0,-763.0,2.0,14.0,-12.0,3.5,0.0,1.0
2021,Lafayette,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0
2021,Lehigh,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Liberty,84.0,0.0,84.0,6.0,9.0,-3.0,2.6666666666666665,1.0,1.0
2021,Lindenwood University,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Louisiana,242.0,0.0,242.0,9.0,7.0,2.0,2.5555555555555554,1.0,1.0
2021,Louisiana Tech,164.0,82.0,82.0,9.0,11.0,-2.0,2.6666666666666665,1.0,1.0
2021,Louisville,259.0,244.0,15.0,6.0,16.0,-10.0,2.8333333333333335,0.0,1.0
2021,Maine,0.0,0.0,0.0,1.0,2.0,-1.0,2.0,0.0,0.0
2021,Marshall,162.0,178.0,-16.0,6.0,13.0,-7.0,3.1666666666666665,0.0,1.0
2021,Maryland,84.0,414.0,-330.0,1.0,15.0,-14.0,3.0,0.0,1.0
2021,Massachusetts,80.0,80.0,0.0,11.0,21.0,-10.0,1.7272727272727273,0.0,1.0
2021,McNeese,0.0,83.0,-83.0,3.0,3.0,0.0,3.3333333333333335,0.0,0.0
2021,Memphis,410.0,263.0,147.0,13.0,26.0,-13.0,3.0,1.0,1.0
2021,Mercer,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
2021,Merrimack,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2021,Miami,349.0,82.0,267.0,4.0,6.0,-2.0,3.25,0.0,1.0
2021,Miami (OH),0.0,83.0,-83.0,2.0,10.0,-8.0,3.0,0.0,1.0
2021,Michigan,257.0,498.0,-241.0,5.0,20.0,-15.0,3.0,1.0,1.0
2021,Michigan State,661.0,325.0,336.0,14.0,21.0,-7.0,3.142857142857143,1.0,1.0
2021,Middle Tennessee,162.0,0.0,162.0,6.0,10.0,-4.0,2.5,1.0,1.0
2021,Minnesota,414.0,84.0,330.0,7.0,12.0,-5.0,2.4285714285714284,0.0,0.0
2021,Mississippi Gulf Coast C.C.,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Mississippi State,335.0,405.0,-70.0,8.0,22.0,-14.0,2.75,1.0,1.0
2021,Missouri,419.0,242.0,177.0,5.0,21.0,-16.0,3.0,0.0,1.0
2021,Missouri State,0.0,83.0,-83.0,4.0,1.0,3.0,2.75,0.0,0.0
2021,Missouri Western State,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Montana,0.0,87.0,-87.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Montana State,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0
2021,Morgan State,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Murray State,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
2021,NC State,334.0,405.0,-71.0,4.0,11.0,-7.0,3.0,0.0,1.0
2021,Navy,0.0,0.0,0.0,0.0,7.0,-7.0,0.0,0.0,0.0
2021,Nebraska,338.0,500.0,-162.0,5.0,18.0,-13.0,3.2,0.0,1.0
2021,Nevada,0.0,0.0,0.0,6.0,12.0,-6.0,2.6666666666666665,0.0,0.0
2021,New Mexico,0.0,0.0,0.0,4.0,14.0,-10.0,3.25,1.0,0.0
2021,New Mexico Military Institute,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,New Mexico State,80.0,80.0,0.0,1.0,10.0,-9.0,3.0,0.0,0.0
2021,Nicholls,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0
2021,Norfolk State,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
2021,North Alabama,0.0,0.0,0.0,3.0,0.0,3.0,2.3333333333333335,1.0,0.0
2021,North Carolina,91.0,404.0,-313.0,1.0,21.0,-20.0,4.0,0.0,1.0
2021,North Carolina A&T,0.0,0.0,0.0,4.0,1.0,3.0,2.25,0.0,0.0
2021,North Carolina Central,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,North Dakota State,0.0,0.0,0.0,4.0,2.0,2.0,2.75,1.0,0.0
2021,North Texas,161.0,327.0,-166.0,11.0,19.0,-8.0,2.5454545454545454,1.0,1.0
2021,Northern Arizona,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0
2021,Northern Colorado,0.0,0.0,0.0,6.0,0.0,6.0,3.1666666666666665,1.0,0.0
2021,Northern Illinois,80.0,0.0,80.0,1.0,19.0,-18.0,3.0,1.0,1.0
2021,Northern Iowa,0.0,165.0,-165.0,6.0,2.0,4.0,2.8333333333333335,1.0,0.0
2021,Northwestern,167.0,245.0,-78.0,7.0,8.0,-1.0,2.857142857142857,0.0,0.0
2021,Northwestern State,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
2021,Notre Dame,177.0,575.0,-398.0,4.0,19.0,-15.0,3.75,0.0,0.0
2021,Notre Dame College,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Ohio,0.0,0.0,0.0,1.0,5.0,-4.0,3.0,0.0,0.0
2021,Ohio State,0.0,258.0,-258.0,1.0,5.0,-4.0,2.0,0.0,0.0
2021,Oklahoma,782.0,932.0,-150.0,10.0,19.0,-9.0,3.0,0.0,0.0
2021,Oklahoma State,329.0,329.0,0.0,5.0,8.0,-3.0,3.0,0.0,0.0
2021,Old Dominion,161.0,254.0,-93.0,7.0,14.0,-7.0,3.0,1.0,1.0
2021,Ole Miss,169.0,245.0,-76.0,3.0,9.0,-6.0,3.3333333333333335,0.0,1.0
2021,Oregon,0.0,254.0,-254.0,0.0,12.0,-12.0,0.0,0.0,1.0
2021,Oregon State,323.0,0.0,323.0,6.0,14.0,-8.0,3.0,1.0,1.0
2021,Penn State,509.0,738.0,-229.0,6.0,14.0,-8.0,3.0,0.0,1.0
2021,Pennsylvania,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0
2021,Pittsburg St,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Pittsburgh,81.0,0.0,81.0,4.0,6.0,-2.0,3.0,0.0,0.0
2021,Prairie View A&M,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
2021,Presbyterian,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0
2021,Professional,0.0,0.0,0.0,2.0,0.0,2.0,3.5,1.0,0.0
2021,Purdue,162.0,83.0,79.0,8.0,8.0,0.0,2.5,1.0,0.0
2021,Rhode Island,0.0,0.0,0.0,4.0,1.0,3.0,2.75,0.0,1.0
2021,Rice,80.0,82.0,-2.0,3.0,5.0,-2.0,2.0,1.0,0.0
2021,Richmond,0.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0
2021,Robert Morris,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Rutgers,327.0,0.0,327.0,7.0,17.0,-10.0,2.5714285714285716,0.0,1.0
2021,SE Louisiana,0.0,0.0,0.0,3.0,0.0,3.0,2.6666666666666665,0.0,0.0
2021,SMU,509.0,0.0,509.0,14.0,9.0,5.0,2.7142857142857144,1.0,1.0
2021,Sacramento State,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0
2021,Sacred Heart,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
2021,Sam Houston,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0
2021,Samford,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,San Diego,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0
2021,San Diego State,81.0,0.0,81.0,2.0,9.0,-7.0,3.5,0.0,1.0
2021,San José State,0.0,0.0,0.0,9.0,7.0,2.0,2.2222222222222223,1.0,1.0
2021,Santa Rosa J.C.,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2021,Snow College,80.0,0.0,80.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,South Alabama,163.0,0.0,163.0,13.0,11.0,2.0,2.5384615384615383,0.0,1.0
2021,South Carolina,663.0,578.0,85.0,8.0,12.0,-4.0,3.125,0.0,0.0
2021,South Dakota,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,South Dakota State,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,South Florida,162.0,80.0,82.0,10.0,17.0,-7.0,3.1,0.0,1.0
2021,Southeast Missouri State,0.0,84.0,-84.0,1.0,3.0,-2.0,2.0,0.0,0.0
2021,Southern,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
