season,team,havoc_total,havoc_front_seven,havoc_db,rush_success_rate,pass_success_rate,explosiveness_off,explosiveness_off_rush,explosiveness_off_pass,explosiveness_def,plays_per_drive,rush_rate,points_per_opp,avg_field_pos,def_points_per_opp,def_plays_per_drive
2015,Air Force,0.024,0.0,0.024,0.47572815533980584,0.32608695652173914,1.1539262829970465,,,1.5489669179806365,5.3017751479289945,0.8046875,3.873684210526316,70.9,3.5844155844155843,5.030864197530864
2015,Akron,0.021,0.0,0.021,0.37610619469026546,0.28368794326241137,1.2180916140408007,,,1.1840761293794686,5.185897435897436,0.5587144622991347,3.4578313253012047,67.6,3.223684210526316,5.0
2015,Alabama,0.017,0.0,0.017,0.4618249534450652,0.329153605015674,1.1628072079466778,,,1.3536757428352086,5.595505617977528,0.5391566265060241,3.5576923076923075,67.2,2.2222222222222223,4.657458563535911
2015,App State,0.024,0.0,0.024,0.4612159329140461,0.32456140350877194,1.2343537108213916,,,1.0635648466339862,5.205479452054795,0.6276315789473684,4.290697674418604,68.6,2.5,5.180555555555555
2015,Arizona,0.019,0.0,0.019,0.45965770171149145,0.3849056603773585,1.3138500028102367,,,1.208195809478305,5.573248407643312,0.4674285714285714,4.01,71.8,4.348837209302325,5.628048780487805
2015,Arizona State,0.016,0.0,0.016,0.4087136929460581,0.33035714285714285,1.2007206671793385,,,1.4584517853388588,5.618279569892473,0.46124401913875596,3.663157894736842,68.8,3.54320987654321,5.081521739130435
2015,Arkansas,0.023,0.0,0.023,0.5182795698924731,0.415929203539823,1.2359253132601695,,,1.1457165428281981,5.916083916083916,0.549645390070922,4.435294117647059,68.9,4.027777777777778,5.768115942028985
2015,Arkansas State,0.03,0.0,0.03,0.4598393574297189,0.3486590038314176,1.214060283924225,,,1.4657091649964837,5.1454545454545455,0.5865724381625441,3.5757575757575757,66.6,3.792207792207792,4.594285714285714
2015,Army,0.017,0.0,0.017,0.42953020134228187,0.2927927927927928,1.1958257594986308,,,1.1788730535011904,5.454545454545454,0.8277777777777777,3.3934426229508197,71.8,3.9583333333333335,5.360294117647059
2015,Auburn,0.015,0.0,0.015,0.475,0.37453183520599254,1.0397362173557834,,,1.0454931299275794,6.100671140939597,0.6160616061606161,3.77027027027027,70.7,3.010752688172043,6.583892617449664
2015,Ball State,0.012,0.0,0.012,0.41847826086956524,0.32452830188679244,1.0396597509851642,,,1.2405780863104963,5.889705882352941,0.45942571785268416,3.2027027027027026,69.8,4.044444444444444,6.0583941605839415
2015,Baylor,0.018,0.0,0.018,0.5289115646258503,0.32113821138211385,1.2927473223986536,,,1.2491604882302767,5.712574850299402,0.6163522012578616,4.530434782608696,69.8,3.5697674418604652,5.083832335329341
2015,Boise State,0.024,0.0,0.024,0.46472019464720193,0.3767605633802817,1.1961070756664927,,,1.438694524944556,5.79375,0.44336569579288027,3.786324786324786,67.7,2.59375,4.6797385620915035
2015,Boston College,0.016,0.0,0.016,0.34444444444444444,0.2888086642599278,1.179471337266217,,,1.191738337012626,4.57516339869281,0.6428571428571429,2.9655172413793105,70.1,2.3684210526315788,4.780645161290322
2015,Bowling Green,0.022,0.0,0.022,0.5023474178403756,0.4175824175824176,1.3378776370051937,,,1.2137203617546575,6.2165605095541405,0.4364754098360656,4.58252427184466,70.3,3.4086021505376345,5.903846153846154
2015,Buffalo,0.018,0.0,0.018,0.40233236151603496,0.3320610687022901,1.0988290407828072,,,1.2377222544321502,5.787878787878788,0.4489528795811518,3.298507462686567,71.5,3.1875,5.474820143884892
2015,BYU,0.029,0.0,0.029,0.41033434650455924,0.35294117647058826,1.301694046099608,,,1.2146607984903006,5.556291390728477,0.39213349225268174,4.2,70.8,3.097560975609756,5.493333333333333
2015,California,0.032,0.0,0.032,0.4985835694050991,0.46511627906976744,1.2242224186289477,,,1.1315583920684542,5.762820512820513,0.39265850945494996,3.943396226415094,71.0,3.7,5.864516129032258
2015,Central Michigan,0.02,0.0,0.02,0.38484848484848483,0.35335689045936397,1.2102131409576653,,,1.138721735993794,5.673611111111111,0.4039167686658507,3.4634146341463414,70.4,3.1641791044776117,5.321678321678322
2015,Charlotte,0.021,0.0,0.021,0.39243498817966904,0.23826714801444043,1.0688361001806568,,,1.3151416739394537,5.188311688311688,0.5294117647058824,2.5454545454545454,71.8,3.195876288659794,5.196078431372549
2015,Cincinnati,0.02,0.0,0.02,0.47342995169082125,0.3918918918918919,1.2074057662267639,,,1.168901194627736,5.993670886075949,0.4371700105596621,3.70873786407767,72.6,3.411111111111111,5.352941176470588
2015,Clemson,0.023,0.0,0.023,0.4619289340101523,0.4065573770491803,1.1416834552364137,,,1.404683646710335,5.869109947643979,0.5272078501338091,4.371681415929204,71.5,2.7222222222222223,4.43455497382199
2015,Colorado,0.013,0.0,0.013,0.4547677261613692,0.3153846153846154,1.0657422080244057,,,1.184760988855273,6.043165467625899,0.4869047619047619,3.141025641025641,71.4,3.3780487804878048,5.878571428571429
2015,Colorado State,0.014,0.0,0.014,0.4647887323943662,0.37218045112781956,1.0944894485889758,,,1.2636667949446991,6.0,0.5559284116331096,3.5652173913043477,69.6,3.3333333333333335,5.317880794701987
2015,Delaware,,,,0.5111111111111111,0.0,0.9657097991733941,,,1.5539244128585001,6.111111111111111,0.8181818181818182,1.1666666666666667,72.8,3.857142857142857,6.888888888888889
2015,Duke,0.018,0.0,0.018,0.4308390022675737,0.3713355048859935,1.1050746547846326,,,1.267520523259046,5.789156626506024,0.4588969823100936,3.2967032967032965,67.6,3.4246575342465753,5.49079754601227
2015,East Carolina,0.013,0.0,0.013,0.4114441416893733,0.3443223443223443,1.2185792364043537,,,1.1136386081908374,5.682119205298013,0.42773892773892774,3.4047619047619047,69.8,3.554054054054054,5.785234899328859
