year,team,conference,fpi,resumeRanks,efficiencies
2015,Washington,Pac-12,13.31,"{'strengthOfRecord': 45, 'fpi': 28, 'averageWinProbability': 45, 'strengthOfSchedule': 24, 'remainingStrengthOfSchedule': None, 'gameControl': 35}","{'overall': 71.406, 'offense': 48.039, 'defense': 78.387, 'specialTeams': 66.869}"
2015,California,Pac-12,13.95,"{'strengthOfRecord': 31, 'fpi': 25, 'averageWinProbability': 71, 'strengthOfSchedule': 11, 'remainingStrengthOfSchedule': None, 'gameControl': 44}","{'overall': 69.559, 'offense': 79.476, 'defense': 54.999, 'specialTeams': 34.971}"
2015,Oregon State,Pac-12,-8.024,"{'strengthOfRecord': 96, 'fpi': 97, 'averageWinProbability': 124, 'strengthOfSchedule': 10, 'remainingStrengthOfSchedule': None, 'gameControl': 96}","{'overall': 29.43, 'offense': 33.259, 'defense': 35.247, 'specialTeams': 42.027}"
2015,UConn,American Athletic,-5.834,"{'strengthOfRecord': 82, 'fpi': 92, 'averageWinProbability': 77, 'strengthOfSchedule': 74, 'remainingStrengthOfSchedule': None, 'gameControl': 86}","{'overall': 41.438, 'offense': 26.37, 'defense': 59.391, 'specialTeams': 52.249}"
2015,Washington State,Pac-12,7.083,"{'strengthOfRecord': 29, 'fpi': 48, 'averageWinProbability': 36, 'strengthOfSchedule': 50, 'remainingStrengthOfSchedule': None, 'gameControl': 26}","{'overall': 63.498, 'offense': 62.952, 'defense': 63.182, 'specialTeams': 35.332}"
2015,USC,Pac-12,18.785,"{'strengthOfRecord': 33, 'fpi': 12, 'averageWinProbability': 52, 'strengthOfSchedule': 2, 'remainingStrengthOfSchedule': None, 'gameControl': 24}","{'overall': 71.776, 'offense': 71.06, 'defense': 66.901, 'specialTeams': 43.757}"
2015,BYU,FBS Independents,9.004,"{'strengthOfRecord': 35, 'fpi': 40, 'averageWinProbability': 59, 'strengthOfSchedule': 65, 'remainingStrengthOfSchedule': None, 'gameControl': 57}","{'overall': 61.031, 'offense': 56.34, 'defense': 59.484, 'specialTeams': 56.581}"
2015,Auburn,SEC,12.975,"{'strengthOfRecord': 34, 'fpi': 30, 'averageWinProbability': 54, 'strengthOfSchedule': 5, 'remainingStrengthOfSchedule': None, 'gameControl': 27}","{'overall': 65.377, 'offense': 59.006, 'defense': 63.705, 'specialTeams': 56.526}"
2015,LSU,SEC,20.581,"{'strengthOfRecord': 9, 'fpi': 8, 'averageWinProbability': 24, 'strengthOfSchedule': 3, 'remainingStrengthOfSchedule': None, 'gameControl': 10}","{'overall': 75.302, 'offense': 73.837, 'defense': 70.441, 'specialTeams': 43.184}"
2015,Miami (OH),Mid-American,-18.505,"{'strengthOfRecord': 115, 'fpi': 123, 'averageWinProbability': 120, 'strengthOfSchedule': 103, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 19.095, 'offense': 14.521, 'defense': 40.008, 'specialTeams': 33.455}"
