game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
400756901,2015,1,NC State,ACC,Troy,0.3,0.52,0.19,0.2,0.17,0.23
400763495,2015,1,Nebraska,Big Ten,BYU,0.26,0.49,-0.02,0.21,0.2,0.24
400787108,2015,1,Nevada,Mountain West,UC Davis,0.29,0.3,0.3,0.09,0.13,0.05
400787114,2015,1,New Mexico,Mountain West,Mississippi Valley State,0.35,0.43,0.33,-0.34,-0.24,-0.41
400603830,2015,1,New Mexico State,Sun Belt,Florida,0.0,-0.16,0.24,0.49,0.7,0.34
400603840,2015,1,North Carolina,ACC,South Carolina,0.12,-0.04,0.3,0.12,0.07,0.17
400787115,2015,1,Northern Illinois,Mid-American,UNLV,0.38,0.82,0.04,0.17,0.35,0.01
400756891,2015,1,Northwestern,Big Ten,Stanford,0.04,0.33,-0.08,-0.12,-0.06,-0.2
400763403,2015,1,Notre Dame,FBS Independents,Texas,0.35,1.0,0.07,-0.1,-0.14,-0.07
400787302,2015,1,Ohio,Mid-American,Idaho,0.47,0.84,0.23,0.09,0.05,0.25
400756905,2015,1,Ohio State,Big Ten,Virginia Tech,0.6,0.74,0.53,0.08,0.3,-0.09
400763404,2015,1,Oklahoma,Big 12,Akron,0.26,0.48,0.0,-0.13,-0.24,-0.04
400763399,2015,1,Oklahoma State,Big 12,Central Michigan,0.27,0.48,0.1,0.12,0.18,0.04
400763588,2015,1,Old Dominion,Conference USA,Eastern Michigan,0.24,0.14,0.36,0.2,0.14,0.24
400603835,2015,1,Ole Miss,SEC,UT Martin,0.75,0.9,0.64,-0.2,-0.19,-0.19
400756886,2015,1,Oregon,Pac-12,Eastern Washington,0.53,0.29,0.7,0.32,0.38,0.2
400756887,2015,1,Oregon State,Pac-12,Weber State,0.03,0.24,-0.04,-0.18,-0.25,0.0
400763497,2015,1,Penn State,Big Ten,Temple,-0.13,-0.25,0.11,0.07,0.29,-0.02
400756902,2015,1,Pittsburgh,ACC,Youngstown State,0.19,-0.32,0.39,0.03,0.09,-0.01
400763498,2015,1,Purdue,Big Ten,Marshall,-0.01,-0.14,0.13,0.11,0.15,0.08
400763591,2015,1,Rice,Conference USA,Wagner,0.38,-0.19,0.65,-0.01,0.18,-0.11
400763496,2015,1,Rutgers,Big Ten,Norfolk State,0.54,1.27,0.3,-0.01,0.29,-0.53
400791346,2015,1,San Diego State,Mountain West,San Diego,0.04,0.19,-0.05,-0.41,-0.55,-0.3
400787109,2015,1,San José State,Mountain West,New Hampshire,0.47,0.77,0.26,-0.02,-0.22,0.18
400764855,2015,1,SMU,American Athletic,Baylor,0.1,0.1,0.1,0.69,0.75,0.63
400787414,2015,1,South Alabama,Sun Belt,Gardner-Webb,0.01,-0.3,0.37,-0.03,0.17,-0.11
400603840,2015,1,South Carolina,SEC,North Carolina,0.12,0.07,0.17,0.12,-0.04,0.3
400603836,2015,1,Southern Miss,Conference USA,Mississippi State,0.0,0.12,-0.11,0.2,0.31,0.08
400764861,2015,1,South Florida,American Athletic,Florida A&M,0.29,0.52,0.19,-0.21,-0.13,-0.29
400756891,2015,1,Stanford,Pac-12,Northwestern,-0.12,-0.06,-0.2,0.04,0.33,-0.08
400756903,2015,1,Syracuse,ACC,Rhode Island,0.24,0.25,0.25,-0.51,-0.52,-0.44
400763398,2015,1,TCU,Big 12,Minnesota,0.12,0.17,0.02,0.05,0.23,-0.11
400763497,2015,1,Temple,American Athletic,Penn State,0.07,0.29,-0.02,-0.13,-0.25,0.11
400834350,2015,1,Tennessee,SEC,Bowling Green,0.37,0.42,0.37,0.29,0.39,0.15
400763403,2015,1,Texas,Big 12,Notre Dame,-0.1,-0.14,-0.07,0.35,1.0,0.07
400603838,2015,1,Texas A&M,SEC,Arizona State,0.14,0.18,0.14,-0.05,-0.05,-0.02
400756899,2015,1,Texas State,Sun Belt,Florida State,-0.02,0.03,-0.06,0.57,0.97,0.27
400763406,2015,1,Texas Tech,Big 12,Sam Houston,0.36,0.35,0.4,0.23,-0.02,0.5
400756901,2015,1,Troy,Sun Belt,NC State,0.2,0.17,0.23,0.3,0.52,0.19
400756894,2015,1,Tulane,American Athletic,Duke,-0.07,-0.01,-0.2,0.11,0.55,-0.23
400763592,2015,1,Tulsa,American Athletic,Florida Atlantic,0.37,0.61,0.23,0.28,0.39,0.19
