year,team,conference,division,ranking,rating
2023,Michigan,Big Ten,East,1,25.9
2023,Ohio State,Big Ten,East,2,23.4
2023,Penn State,Big Ten,East,3,22.8
2023,Oregon,Pac-12,,4,22.3
2023,Texas,Big 12,,5,22.0
2023,Georgia,SEC,East,6,20.7
2023,Florida State,ACC,Atlantic,7,19.6
2023,Kansas State,Big 12,,7,19.6
2023,Alabama,SEC,West,7,19.6
2023,Oklahoma,Big 12,,10,19.1
2023,Notre Dame,FBS Independents,,11,18.3
2023,LSU,SEC,West,12,17.1
2023,Washington,Pac-12,,13,16.5
2023,Oregon State,Pac-12,,14,15.3
2023,Missouri,SEC,East,15,14.7
2023,Ole Miss,SEC,West,16,14.0
2023,Arizona,Pac-12,,17,13.3
2023,Louisville,ACC,Atlantic,18,12.6
2023,Texas A&M,SEC,West,19,11.5
2023,Kansas,Big 12,,20,11.0
2023,Clemson,ACC,Atlantic,21,10.8
2023,Duke,ACC,Coastal,22,9.8
2023,Tennessee,SEC,East,23,9.1
2023,Iowa State,Big 12,,24,9.0
2023,USC,Pac-12,,24,9.0
2023,SMU,American Athletic,,26,8.9
2023,Miami,ACC,Coastal,27,8.8
2023,North Carolina,ACC,Coastal,27,8.8
2023,Troy,Sun Belt,West,29,8.7
2023,TCU,Big 12,,30,8.6
2023,Maryland,Big Ten,East,31,8.4
2023,South Dakota State,MVFC,,32,8.2
2023,Utah,Pac-12,,33,8.1
2023,James Madison,Sun Belt,East,34,8.0
2023,UCLA,Pac-12,,35,7.7
2023,Liberty,Conference USA,,36,7.3
2023,Texas Tech,Big 12,,36,7.3
2023,NC State,ACC,Atlantic,38,7.0
2023,UCF,Big 12,,39,6.9
2023,West Virginia,Big 12,,40,6.5
2023,Boise State,Mountain West,Mountain,41,6.4
2023,Washington State,Pac-12,,42,6.2
2023,Oklahoma State,Big 12,,43,6.1
2023,Iowa,Big Ten,West,44,5.7
2023,Auburn,SEC,West,45,5.3
2023,Kentucky,SEC,East,45,5.3
2023,California,Pac-12,,47,4.3
2023,Wisconsin,Big Ten,West,48,4.0
2023,Virginia Tech,ACC,Coastal,49,3.9
2023,Rutgers,Big Ten,East,50,3.1
2023,Florida,SEC,East,51,3.0
2023,San José State,Mountain West,West,52,2.8
2023,South Carolina,SEC,East,53,2.7
2023,Georgia Tech,ACC,Coastal,54,2.1
2023,Tulane,American Athletic,,55,2.0
2023,Memphis,American Athletic,,56,1.8
2023,Nebraska,Big Ten,West,57,1.3
2023,Air Force,Mountain West,Mountain,58,1.1
2023,Arkansas,SEC,West,58,1.1
2023,UNLV,Mountain West,West,60,0.9
2023,Colorado,Pac-12,,61,0.8
2023,App State,Sun Belt,East,61,0.8
2023,Toledo,Mid-American,West,61,0.8
2023,UTSA,American Athletic,,64,0.4
2023,Northwestern,Big Ten,West,65,-0.3
2023,Syracuse,ACC,Atlantic,66,-0.4
2023,South Alabama,Sun Belt,West,67,-0.8
2023,BYU,Big 12,,67,-0.8
2023,Coastal Carolina,Sun Belt,East,69,-0.9
2023,Jacksonville State,Conference USA,,70,-1.2
2023,North Dakota State,MVFC,,70,-1.2
2023,Miami (OH),Mid-American,East,70,-1.2
2023,Wyoming,Mountain West,Mountain,73,-1.3
2023,Mississippi State,SEC,West,74,-1.7
2023,Purdue,Big Ten,West,75,-1.9
