game_id,season,week,season_type,start_date,neutral_site,conference_game,home_team,home_conference,home_points,away_team,away_conference,away_points,home_pregame_elo,away_pregame_elo,excitement_index,point_diff,total_points
400953933,2017,1,regular,2017-08-26T16:00:00.000Z,False,False,Florida A&M,MEAC,29,Texas Southern,SWAC,7,,,,22,36
400935282,2017,1,regular,2017-08-26T18:30:00.000Z,False,False,Colorado State,Mountain West,58,Oregon State,Pac-12,27,1546.0,1413.0,4.9529115584,31,85
400945031,2017,1,regular,2017-08-26T19:00:00.000Z,False,False,BYU,FBS Independents,20,Portland State,Big Sky,6,,,4.7612825632,14,26
400938887,2017,1,regular,2017-08-26T22:00:00.000Z,False,False,Massachusetts,FBS Independents,35,Hawai'i,Mountain West,38,1230.0,1274.0,8.2427049283,-3,73
400951507,2017,1,regular,2017-08-26T22:30:00.000Z,True,False,Jacksonville State,OVC,27,Chattanooga,Southern,13,,,,14,40
400950566,2017,1,regular,2017-08-26T23:00:00.000Z,False,False,Cal Poly,Big Sky,14,Colgate,Patriot,20,,,,-6,34
400941786,2017,1,regular,2017-08-26T23:30:00.000Z,False,False,San José State,Mountain West,22,South Florida,American Athletic,42,1267.0,1627.0,4.7772474229,-20,64
400935257,2017,1,regular,2017-08-27T02:00:00.000Z,True,False,Rice,Conference USA,7,Stanford,Pac-12,62,1239.0,1667.0,0.0896818592,-55,69
400938591,2017,1,regular,2017-08-31T22:00:00.000Z,False,False,UCF,American Athletic,61,Florida International,Conference USA,17,1446.0,1272.0,1.141825293,44,78
400951249,2017,1,regular,2017-08-31T22:00:00.000Z,False,False,Wagner,NEC,37,St. Anselm,Northeast 10,7,,,,30,44
400952295,2017,1,regular,2017-08-31T22:00:00.000Z,False,False,Morehead State,Pioneer,56,Kentucky Christian,,14,,,,42,70
400937445,2017,1,regular,2017-08-31T22:30:00.000Z,False,False,Wake Forest,ACC,51,Presbyterian,Big South,7,,,0.044777988699999,44,58
400953935,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Murray State,OVC,67,Kentucky Wesleyan,Great Midwest Athletic,7,,,,60,74
400952263,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Campbell,Pioneer,70,Methodist,USA South,0,,,,70,70
400944889,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Toledo,Mid-American,47,Elon,CAA,13,,,0.124191380199999,34,60
400944890,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Central Michigan,Mid-American,30,Rhode Island,CAA,27,,,3.8597809629,3,57
400941787,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Cincinnati,American Athletic,26,Austin Peay,OVC,14,,,0.662238675899999,12,40
400950922,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Samford,Southern,28,Kennesaw State,Big South,23,,,,5,51
400944826,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Georgia State,Sun Belt,10,Tennessee State,OVC,17,,,5.40758179119999,-7,27
400950950,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Delaware,CAA,22,Delaware State,MEAC,3,,,,19,25
400950977,2017,1,regular,2017-08-31T23:00:00.000Z,False,True,New Hampshire,CAA,24,Maine,CAA,23,,,,1,47
400951095,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Tennessee Tech,OVC,14,Western Illinois,MVFC,41,,,,-27,55
400951138,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Indiana State,MVFC,20,Eastern Illinois,OVC,22,,,,-2,42
400951322,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,UT Martin,OVC,36,Clarion,Pennsylvania State Athletic,0,,,,36,36
400951381,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Mercer,Southern,48,Jacksonville,Pioneer,7,,,,41,55
400935230,2017,1,regular,2017-08-31T23:00:00.000Z,False,False,Minnesota,Big Ten,17,Buffalo,Mid-American,7,1601.0,1220.0,2.06379151719999,10,24
400934493,2017,1,regular,2017-08-31T23:30:00.000Z,False,False,Oklahoma State,Big 12,59,Tulsa,American Athletic,24,1727.0,1665.0,0.750718491999999,35,83
400935248,2017,1,regular,2017-08-31T23:30:00.000Z,False,False,Utah,Pac-12,37,North Dakota,Big Sky,16,,,1.79450451739999,21,53
400941788,2017,1,regular,2017-08-31T23:30:00.000Z,False,False,UConn,American Athletic,27,Holy Cross,Patriot,20,,,6.98379301149999,7,47
400951086,2017,1,regular,2017-09-01T00:00:00.000Z,False,False,South Dakota State,MVFC,51,Duquesne,NEC,13,,,,38,64
400935229,2017,1,regular,2017-09-01T00:00:00.000Z,False,True,Indiana,Big Ten,21,Ohio State,Big Ten,49,1511.0,1966.0,4.2874359267,-28,70
400933828,2017,1,regular,2017-09-01T00:00:00.000Z,True,False,Arkansas,SEC,49,Florida A&M,MEAC,7,,,0.0379222779999998,42,56
400952339,2017,1,regular,2017-09-01T00:00:00.000Z,False,True,Nicholls,Southland,37,McNeese,Southland,35,,,,2,72
400950829,2017,1,regular,2017-09-01T00:30:00.000Z,False,False,Idaho State,Big Sky,37,Western Oregon,Great Northwest,6,,,,31,43
400944827,2017,1,regular,2017-09-01T01:00:00.000Z,False,False,Idaho,Sun Belt,28,Sacramento State,Big Sky,6,,,1.70511981489999,22,34
400941789,2017,1,regular,2017-09-01T01:20:00.000Z,False,False,Memphis,American Athletic,37,UL Monroe,Sun Belt,29,1638.0,1142.0,0.7632561134,8,66
400935247,2017,1,regular,2017-09-01T02:30:00.000Z,False,False,Arizona State,Pac-12,37,New Mexico State,Sun Belt,31,1411.0,1193.0,1.41620437,6,68
400934570,2017,1,regular,2017-09-01T22:00:00.000Z,False,False,Army,FBS Independents,64,Fordham,Patriot,6,,,0.455621305299999,58,70
400944891,2017,1,regular,2017-09-01T22:30:00.000Z,False,False,Eastern Michigan,Mid-American,24,Charlotte,Conference USA,7,1305.0,1193.0,2.5541419407,17,31
400937451,2017,1,regular,2017-09-01T23:00:00.000Z,False,False,Syracuse,ACC,50,Central Connecticut,NEC,7,,,0.0352921869999993,43,57
400980886,2017,1,regular,2017-09-01T23:00:00.000Z,False,False,Sam Houston,Southland,48,Richmond,CAA,34,,,,14,82
400935249,2017,1,regular,2017-09-02T00:00:00.000Z,True,False,Colorado,Pac-12,17,Colorado State,Mountain West,3,1599.0,1613.0,2.88936877229999,14,20
400938592,2017,1,regular,2017-09-02T00:00:00.000Z,False,False,Florida Atlantic,Conference USA,19,Navy,American Athletic,42,1214.0,1632.0,3.0463185635,-23,61
400935250,2017,1,regular,2017-09-02T00:00:00.000Z,False,False,Rutgers,Big Ten,14,Washington,Pac-12,30,1169.0,1913.0,1.99908338819999,-16,44
400935231,2017,1,regular,2017-09-02T01:00:00.000Z,False,False,Wisconsin,Big Ten,59,Utah State,Mountain West,10,1779.0,1386.0,1.998216551,49,69
400937446,2017,1,regular,2017-09-02T01:30:00.000Z,False,False,Northern Illinois,Mid-American,20,Boston College,ACC,23,1479.0,1411.0,9.9766619052,-3,43
400935234,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Michigan State,Big Ten,35,Bowling Green,Mid-American,10,1572.0,1348.0,2.13648702639999,25,45
400935237,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Penn State,Big Ten,52,Akron,Mid-American,0,1746.0,1309.0,0.2654555818,52,52
400935233,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Iowa,Big Ten,24,Wyoming,Mountain West,3,1607.0,1429.0,2.3641964354,21,27
400937447,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Clemson,ACC,56,Kent State,Mid-American,3,1977.0,1265.0,0.0566035264999998,53,59
400933836,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Missouri,SEC,72,Missouri State,MVFC,43,,,0.666189957699999,29,115
400951246,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,St. Francis (PA),NEC,69,Lock Haven University,Pennsylvania State Athletic,3,,,,66,72
400934495,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Texas,Big 12,41,Maryland,Big Ten,51,1540.0,1369.0,6.760300802,-10,92
400935232,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Illinois,Big Ten,24,Ball State,Mid-American,21,1317.0,1320.0,7.67452287719999,3,45
400951234,2017,1,regular,2017-09-02T16:00:00.000Z,False,False,Robert Morris,NEC,13,Dayton,Pioneer,10,,,,3,23
400935256,2017,1,regular,2017-09-02T16:20:00.000Z,False,False,North Carolina,ACC,30,California,Pac-12,35,1666.0,1521.0,7.4000463119,-5,65
