game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401520151,2023,1,Massachusetts,FBS Independents,Auburn,-0.02,-0.2,0.2,0.43,0.29,0.5
401525450,2023,1,Massachusetts,FBS Independents,New Mexico State,0.34,0.46,0.28,0.21,0.01,0.38
401531426,2023,1,Memphis,American Athletic,Bethune-Cookman,0.09,0.19,0.09,-0.32,-0.47,-0.1
401525463,2023,1,Miami,ACC,Miami (OH),0.49,0.7,0.37,-0.16,0.05,-0.43
401525463,2023,1,Miami (OH),Mid-American,Miami,-0.16,0.05,-0.43,0.49,0.7,0.37
401520162,2023,1,Michigan,Big Ten,East Carolina,0.46,0.76,0.15,0.06,0.22,-0.06
401520163,2023,1,Michigan State,Big Ten,Central Michigan,0.17,0.34,-0.04,-0.19,-0.11,-0.14
401520149,2023,1,Middle Tennessee,Conference USA,Alabama,0.09,0.1,0.18,0.49,0.53,0.47
401520148,2023,1,Minnesota,Big Ten,Nebraska,-0.04,0.05,-0.04,-0.08,0.02,0.12
401520164,2023,1,Mississippi State,SEC,SE Louisiana,0.38,0.38,0.38,-0.15,-0.02,-0.04
401520165,2023,1,Missouri,SEC,South Dakota,0.35,0.54,0.23,-0.04,0.15,-0.2
401525434,2023,1,Navy,American Athletic,Notre Dame,0.03,-0.54,0.14,0.53,0.8,0.31
401520174,2023,1,NC State,ACC,UConn,0.19,0.23,0.17,0.12,-0.04,0.42
401520148,2023,1,Nebraska,Big Ten,Minnesota,-0.08,0.02,0.12,-0.04,0.05,-0.04
401523996,2023,1,Nevada,Mountain West,USC,-0.03,0.28,-0.38,0.82,0.94,0.6
401520173,2023,1,New Mexico,Mountain West,Texas A&M,0.04,0.21,-0.14,0.43,0.6,0.21
401520166,2023,1,New Mexico State,Conference USA,Western Illinois,0.71,1.07,0.51,0.12,0.35,-0.17
401525450,2023,1,New Mexico State,Conference USA,Massachusetts,0.21,0.01,0.38,0.34,0.46,0.28
401520167,2023,1,North Carolina,ACC,South Carolina,0.28,0.65,-0.06,-0.09,0.03,-0.36
401525464,2023,1,Northern Illinois,Mid-American,Boston College,-0.01,0.15,-0.11,0.0,-0.25,0.4
401523991,2023,1,North Texas,American Athletic,California,0.0,0.28,-0.15,0.43,0.59,0.37
