year,team,rank,points
2017,Alabama,1,323.87
2017,Ohio State,2,312.14
2017,Georgia,3,301.6
2017,USC,4,297.1
2017,Michigan,5,296.03
2017,Florida State,6,292.88
2017,LSU,7,287.66
2017,Oklahoma,8,270.79
2017,Auburn,9,255.92
2017,Notre Dame,10,251.32
2017,Florida,11,251.23
2017,Miami,12,248.67
2017,Texas A&M,13,248.58
2017,Stanford,14,246.79
2017,Penn State,15,240.47
2017,Clemson,16,238.91
2017,Tennessee,17,237.21
2017,Maryland,18,230.17
2017,Oregon,19,230.04
2017,UCLA,20,229.13
2017,South Carolina,21,227.58
2017,Washington,22,224.74
2017,Nebraska,23,224.33
2017,Mississippi State,24,220.22
2017,Texas,25,217.76
2017,Virginia Tech,26,217.74
2017,Arkansas,27,212.74
2017,TCU,28,210.03
2017,North Carolina,29,207.81
2017,Kentucky,30,207.73
2017,Ole Miss,31,207.63
2017,Arizona State,32,206.68
2017,Utah,33,205.78
2017,Louisville,34,205.15
2017,Colorado,35,203.78
2017,Michigan State,36,203.65
2017,Pittsburgh,37,202.12
2017,Oklahoma State,38,194.18
2017,Wisconsin,39,193.87
2017,Baylor,40,193.36
2017,Iowa,41,191.44
2017,Rutgers,42,189.01
2017,Missouri,43,187.71
2017,Washington State,44,186.45
2017,Arizona,45,185.88
2017,Illinois,46,185.24
2017,Duke,47,184.46
2017,Georgia Tech,48,184.4
2017,Texas Tech,49,183.07
2017,Northwestern,50,182.07
2017,Oregon State,51,181.32
2017,Iowa State,52,180.53
2017,NC State,53,180.46
2017,Syracuse,54,180.08
2017,UCF,55,178.34
2017,Memphis,56,177.6
2017,West Virginia,57,174.68
2017,Virginia,58,172.5
2017,Minnesota,59,171.42
2017,Florida Atlantic,60,171.18
2017,Kansas State,61,169.37
2017,Indiana,62,167.99
2017,Cincinnati,63,167.8
2017,Boise State,64,167.43
2017,Vanderbilt,65,167.42
2017,BYU,66,167.37
2017,Boston College,67,162.61
2017,Wake Forest,68,161.99
2017,Houston,69,160.34
2017,California,70,159.53
2017,Kansas,71,159.35
2017,Purdue,72,158.89
2017,Colorado State,73,158.09
2017,Southern Miss,74,152.71
2017,UTSA,75,151.48
2017,South Florida,76,150.65
2017,San Diego State,77,149.69
2017,Toledo,78,146.6
2017,East Carolina,79,144.55
2017,SMU,80,140.4
2017,Bowling Green,81,138.14
2017,Western Kentucky,82,138.03
2017,Florida International,83,137.75
2017,Fresno State,84,137.74
2017,Tulsa,85,135.07
2017,Hawai'i,86,133.96
2017,Marshall,87,132.84
2017,Navy,88,131.73
2017,Western Michigan,89,129.94
2017,Ball State,90,128.8
2017,Middle Tennessee,91,128.1
2017,Texas State,92,127.89
2017,Central Michigan,93,127.4
2017,Miami (OH),94,126.73
2017,Nevada,95,125.03
2017,Troy,96,123.9
2017,Northern Illinois,97,122.74
2017,San José State,98,122.11
2017,Wyoming,99,122.05
2017,Louisiana Tech,100,121.72
2017,UConn,101,121.64
2017,UL Monroe,102,121.55
2017,Ohio,103,120.83
2017,Utah State,104,120.0
2017,Georgia State,105,119.23
2017,Georgia Southern,106,118.78
2017,App State,107,116.78
2017,UAB,108,115.95
2017,Air Force,109,115.88
2017,Massachusetts,110,115.82
2017,Arkansas State,111,114.91
2017,Tulane,112,114.66
2017,Buffalo,113,112.97
2017,Charlotte,114,111.82
2017,North Texas,115,111.16
2017,South Alabama,116,110.24
2017,UNLV,117,109.9
2017,New Mexico,118,109.85
2017,Temple,119,108.13
2017,Army,120,106.37
2017,Louisiana,121,104.33
2017,Rice,122,101.12
2017,Eastern Michigan,123,100.97
2017,Old Dominion,124,99.41
2017,Harvard,125,99.16
2017,Coastal Carolina,126,96.51
2017,Yale,127,95.54
2017,Kent State,128,94.88
2017,New Mexico State,129,94.57
2017,Eastern Washington,130,92.82
2017,Akron,131,88.91
2017,Austin Peay,132,88.84
2017,UTEP,133,85.51
2017,Idaho,134,83.36
2017,North Dakota State,135,82.65
2017,Grand Valley State University,136,79.98
2017,Southern Illinois,137,79.79
2017,Mercer,138,79.49
2017,Pennsylvania,139,79.22
2017,Northern Arizona,140,77.63
2017,Villanova,141,73.85
2017,Eastern Kentucky,142,73.32
2017,Montana State,143,71.96
2017,South Dakota State,144,70.87
2017,Sam Houston,145,69.78
2017,South Dakota,146,69.54
2017,James Madison,147,67.71
2017,Jacksonville State,148,66.06
2017,Weber State,149,64.24
2017,Chattanooga,151,60.61
2017,Delaware,152,58.54
2017,Stephen F. Austin,153,56.96
2017,Southern Utah,154,56.45
2017,Princeton,155,56.04
2017,Illinois State,156,54.55
2017,UC Davis,157,54.27
2017,North Dakota,158,53.96
2017,Stony Brook,159,51.96
2017,Kennesaw State,160,51.87
2017,Texas Southern,161,51.76
2017,Savannah St,162,49.86
2017,UT Martin,163,49.44
2017,Montana,164,48.96
2017,Northern Colorado,165,47.94
2017,Lamar,166,47.23
2017,Columbia,167,43.63
2017,Monmouth,168,40.88
2017,Tennessee State,169,40.82
2017,Lafayette,170,40.25
2017,Liberty,171,40.17
2017,William & Mary,172,39.61
2017,Portland State,173,37.83
2017,Brown,174,37.71
2017,Western Illinois,176,36.02
2017,Dartmouth,177,35.05
2017,Houston Christian,178,34.26
2017,Southeast Missouri State,179,33.67
2017,Prairie View A&M,180,33.37
2017,Cornell,181,32.15
2017,Missouri State,182,32.02
2017,Sacramento State,183,31.33
2017,McNeese,184,31.02
2017,Holy Cross,185,30.54
2017,Tennessee Tech,186,30.13
2017,The Citadel,187,29.98
2017,Jackson State,188,28.73
2017,Western Carolina,189,28.39
2017,East Tennessee State,190,27.81
2017,Howard,191,27.75
2017,Northern Iowa,192,26.77
2017,North Carolina Central,193,26.67
2017,Alcorn State,195,25.22
2017,Fordham,196,24.95
2017,Indiana State,197,24.61
2017,Lehigh,198,24.26
2017,Youngstown State,199,24.07
2017,Richmond,200,22.7
2017,Alabama A&M,201,21.83
2017,Northwestern State,202,21.78
2017,Samford,203,21.72
2017,UAlbany,204,20.4
2017,Towson,205,18.5
2017,Florida A&M,206,18.09
2017,Wofford,207,17.5
2017,Morgan State,209,15.74
2017,Charleston Southern,210,15.53
2017,Stetson,211,15.21
2017,St. Francis (PA),212,14.94
2017,Cal Poly,213,14.46
2017,New Hampshire,215,13.6
2017,Southern,218,12.97
2017,Furman,219,12.6
2017,Delaware State,221,11.65
2017,Campbell,222,11.39
2017,Murray State,223,10.99
2017,Dayton,224,10.68
2017,Maine,226,10.24
2017,Colgate,227,10.05
2017,South Carolina State,228,9.98
2017,SE Louisiana,232,9.03
