year,team,conference,division,ranking,rating
2025,Indiana,Big Ten,,1,27.3
2025,Ohio State,Big Ten,,2,26.6
2025,Notre Dame,FBS Independents,,3,24.1
2025,Texas Tech,Big 12,,4,22.3
2025,Miami,ACC,,5,22.2
2025,Oregon,Big Ten,,6,22.1
2025,Utah,Big 12,,7,21.3
2025,Washington,Big Ten,,8,17.4
2025,Texas A&M,SEC,,9,16.6
2025,Georgia,SEC,,10,16.0
2025,Vanderbilt,SEC,,10,16.0
2025,Ole Miss,SEC,,12,15.8
2025,USC,Big Ten,,13,15.5
2025,BYU,Big 12,,14,15.0
2025,Penn State,Big Ten,,15,14.4
2025,Iowa,Big Ten,,16,13.8
2025,Alabama,SEC,,17,12.7
2025,Oklahoma,SEC,,17,12.7
2025,South Florida,American Athletic,,19,12.6
2025,Texas,SEC,,19,12.6
2025,Illinois,Big Ten,,21,12.3
2025,Arizona,Big 12,,22,12.2
2025,Tennessee,SEC,,23,11.7
2025,SMU,ACC,,24,11.0
2025,Michigan,Big Ten,,24,11.0
2025,North Texas,American Athletic,,26,10.6
2025,Missouri,SEC,,27,10.5
2025,Pittsburgh,ACC,,28,10.0
2025,James Madison,Sun Belt,East,29,9.9
2025,Virginia,ACC,,30,9.8
2025,Iowa State,Big 12,,31,9.6
2025,Louisville,ACC,,32,9.3
2025,TCU,Big 12,,33,8.5
2025,Florida State,ACC,,34,8.4
2025,Auburn,SEC,,35,8.3
2025,LSU,SEC,,36,8.2
2025,Georgia Tech,ACC,,37,7.8
2025,Kansas State,Big 12,,38,7.2
2025,NC State,ACC,,39,7.0
2025,Houston,Big 12,,40,6.3
2025,Clemson,ACC,,41,6.2
2025,Toledo,Mid-American,,41,6.2
2025,Washington State,Pac-12,,41,6.2
2025,Old Dominion,Sun Belt,East,44,6.1
2025,Arizona State,Big 12,,45,5.8
2025,East Carolina,American Athletic,,46,5.7
2025,Florida,SEC,,47,5.4
2025,Duke,ACC,,48,5.2
2025,Northwestern,Big Ten,,49,4.4
2025,Boise State,Mountain West,,50,4.3
2025,Wake Forest,ACC,,51,4.2
2025,Arkansas,SEC,,52,4.0
2025,South Carolina,SEC,,53,3.8
2025,San Diego State,Mountain West,,54,3.6
2025,Kansas,Big 12,,55,3.2
2025,Tulane,American Athletic,,56,3.0
2025,Cincinnati,Big 12,,57,2.9
2025,Kentucky,SEC,,57,2.9
2025,Memphis,American Athletic,,59,2.5
2025,Nebraska,Big Ten,,59,2.5
2025,Rutgers,Big Ten,,61,2.4
2025,Wisconsin,Big Ten,,62,2.3
2025,Mississippi State,SEC,,62,2.3
2025,Navy,American Athletic,,64,2.1
2025,North Dakota State,MVFC,,65,1.5
2025,UTSA,American Athletic,,65,1.5
2025,Minnesota,Big Ten,,67,0.7
2025,Baylor,Big 12,,68,0.6
2025,Western Michigan,Mid-American,,69,-0.1
2025,New Mexico,Mountain West,,70,-0.2
2025,Michigan State,Big Ten,,71,-0.3
2025,Army,American Athletic,,72,-0.8
2025,UCF,Big 12,,72,-0.8
2025,Maryland,Big Ten,,72,-0.8
2025,UNLV,Mountain West,,75,-0.9
2025,UCLA,Big Ten,,76,-1.1
2025,Purdue,Big Ten,,77,-1.6
2025,Texas State,Sun Belt,West,77,-1.6
2025,Montana State,Big Sky,,79,-1.7
2025,Utah State,Mountain West,,80,-1.9
2025,Colorado,Big 12,,81,-2.2
2025,West Virginia,Big 12,,82,-2.6
2025,Fresno State,Mountain West,,83,-2.7
2025,Hawai'i,Mountain West,,84,-3.3
2025,UConn,FBS Independents,,85,-3.5
2025,Ohio,Mid-American,,85,-3.5
2025,Louisiana Tech,Conference USA,,87,-3.9
2025,Virginia Tech,ACC,,88,-4.1
2025,Stanford,ACC,,88,-4.1
2025,California,ACC,,88,-4.1
2025,Western Kentucky,Conference USA,,91,-4.2
2025,Kennesaw State,Conference USA,,92,-4.4
2025,Boston College,ACC,,93,-5.4
2025,Miami (OH),Mid-American,,94,-5.6
2025,Marshall,Sun Belt,East,95,-5.8
2025,Montana,Big Sky,,96,-6.1
2025,North Dakota,MVFC,,97,-6.2
2025,North Carolina,ACC,,98,-6.7
2025,Temple,American Athletic,,99,-7.0
2025,Tarleton State,UAC,,99,-7.0
2025,Syracuse,ACC,,101,-7.1
2025,Air Force,Mountain West,,102,-7.4
2025,Troy,Sun Belt,West,103,-7.9
2025,Central Michigan,Mid-American,,104,-8.4
2025,Jacksonville State,Conference USA,,104,-8.4
2025,Southern Miss,Sun Belt,West,106,-8.6
2025,Georgia Southern,Sun Belt,East,106,-8.6
2025,Missouri State,Conference USA,,108,-8.8
2025,Liberty,Conference USA,,109,-10.0
2025,Arkansas State,Sun Belt,West,110,-10.2
2025,Florida International,Conference USA,,111,-10.4
2025,Wyoming,Mountain West,,112,-10.7
2025,Florida Atlantic,American Athletic,,113,-11.2
2025,Tulsa,American Athletic,,114,-11.3
2025,Oklahoma State,Big 12,,114,-11.3
2025,Stephen F. Austin,Southland,,116,-11.4
2025,Louisiana,Sun Belt,West,117,-11.6
2025,Coastal Carolina,Sun Belt,East,117,-11.6
2025,Illinois State,MVFC,,119,-11.7
2025,Southern Illinois,MVFC,,119,-11.7
2025,South Dakota State,MVFC,,121,-12.2
2025,App State,Sun Belt,East,121,-12.2
2025,Delaware,Conference USA,,123,-12.4
2025,Oregon State,Pac-12,,124,-12.6
2025,South Alabama,Sun Belt,West,125,-12.8
2025,Nevada,Mountain West,,126,-13.3
2025,Abilene Christian,UAC,,127,-13.5
2025,Colorado State,Mountain West,,128,-13.8
2025,UC Davis,Big Sky,,129,-14.1
2025,Buffalo,Mid-American,,130,-14.2
2025,UAB,American Athletic,,131,-14.3
2025,Bowling Green,Mid-American,,132,-14.4
2025,San José State,Mountain West,,132,-14.4
2025,Lehigh,Patriot,,134,-14.5
2025,Akron,Mid-American,,135,-14.6
2025,South Dakota,MVFC,,136,-14.7
2025,Sacramento State,Big Sky,,137,-14.8
2025,Youngstown State,MVFC,,138,-14.9
2025,Idaho State,Big Sky,,139,-15.0
2025,Rice,American Athletic,,140,-15.1
2025,Kent State,Mid-American,,141,-16.1
2025,New Mexico State,Conference USA,,141,-16.1
2025,Yale,Ivy,,141,-16.1
2025,Eastern Michigan,Mid-American,,144,-16.2
2025,Austin Peay,UAC,,144,-16.2
2025,Villanova,CAA,,146,-16.6
2025,Southern Utah,UAC,,147,-16.9
2025,Northern Illinois,Mid-American,,148,-17.2
2025,Harvard,Ivy,,148,-17.2
2025,UTEP,Conference USA,,150,-17.7
2025,Georgia State,Sun Belt,East,151,-18.1
2025,Middle Tennessee,Conference USA,,152,-18.4
2025,Tennessee Tech,Big South-OVC,,153,-18.5
2025,SE Louisiana,Southland,,153,-18.5
2025,Ball State,Mid-American,,155,-19.1
2025,Northern Arizona,Big Sky,,156,-19.4
2025,UL Monroe,Sun Belt,West,157,-20.0
2025,West Georgia,UAC,,158,-20.1
2025,Rhode Island,CAA,,159,-20.2
2025,Mercer,Southern,,159,-20.2
2025,Idaho,Big Sky,,161,-20.4
2025,UT Rio Grande Valley,Southland,,162,-20.5
2025,Cal Poly,Big Sky,,163,-21.6
2025,Charlotte,,,164,-21.8
2025,Charlotte,American Athletic,,164,-21.8
2025,Alabama State,SWAC,East,166,-22.1
2025,Monmouth,CAA,,167,-22.3
2025,Sam Houston,Conference USA,,168,-22.7
2025,New Hampshire,CAA,,169,-23.3
2025,Lamar,Southland,,170,-23.5
2025,Eastern Washington,Big Sky,,171,-23.9
2025,Incarnate Word,Southland,,172,-24.1
2025,East Tennessee State,Southern,,173,-24.6
2025,Eastern Kentucky,UAC,,174,-24.7
2025,St. Thomas (MN),Pioneer,,175,-25.2
2025,Dartmouth,Ivy,,176,-25.4
2025,Lafayette,Patriot,,177,-26.0
2025,Northern Colorado,Big Sky,,178,-26.2
2025,Drake,Pioneer,,179,-26.4
2025,South Carolina State,MEAC,,180,-26.5
2025,Western Carolina,Southern,,181,-26.6
2025,Northern Iowa,MVFC,,182,-26.7
2025,Wofford,Southern,,182,-26.7
2025,Jackson State,SWAC,East,182,-26.7
2025,Elon,CAA,,185,-27.0
2025,William & Mary,CAA,,185,-27.0
2025,Gardner-Webb,Big South-OVC,,187,-27.3
2025,Stony Brook,CAA,,187,-27.3
2025,Pennsylvania,Ivy,,189,-27.4
2025,Weber State,Big Sky,,189,-27.4
2025,Presbyterian,Pioneer,,191,-27.7
2025,UT Martin,Big South-OVC,,192,-28.3
2025,San Diego,Pioneer,,192,-28.3
2025,Prairie View A&M,SWAC,West,194,-28.4
2025,Lindenwood,Big South-OVC,,195,-28.6
2025,Maine,CAA,,196,-28.7
2025,Central Arkansas,UAC,,197,-28.8
2025,Nicholls,Southland,,198,-28.9
2025,Indiana State,MVFC,,198,-28.9
2025,Holy Cross,Patriot,,200,-29.7
2025,Princeton,Ivy,,201,-29.8
2025,Towson,CAA,,202,-29.9
2025,Brown,Ivy,,203,-30.2
2025,Central Connecticut,NEC,,204,-30.4
2025,McNeese,Southland,,205,-30.6
2025,North Carolina Central,MEAC,,206,-30.8
2025,Colgate,Patriot,,207,-30.9
2025,The Citadel,Southern,,208,-31.0
2025,Richmond,Patriot,,209,-31.5
2025,Delaware State,MEAC,,210,-31.6
2025,Charleston Southern,Big South-OVC,,211,-31.9
2025,Southeast Missouri State,Big South-OVC,,212,-32.0
2025,Massachusetts,Mid-American,,213,-32.3
2025,Sacred Heart,FCS Independents,,214,-32.5
2025,Dayton,Pioneer,,215,-32.7
2025,Duquesne,NEC,,215,-32.7
2025,North Alabama,UAC,,217,-33.0
2025,Utah Tech,UAC,,218,-33.3
2025,Long Island University,NEC,,219,-33.5
2025,Mercyhurst,NEC,,220,-33.6
2025,Furman,Southern,,221,-33.7
2025,East Texas A&M,Southland,,222,-34.0
2025,Cornell,Ivy,,223,-34.2
2025,Chattanooga,Southern,,223,-34.2
2025,Portland State,Big Sky,,225,-34.7
2025,Merrimack,FCS Independents,,226,-34.9
2025,Murray State,MVFC,,227,-35.2
2025,Western Illinois,Big South-OVC,,228,-35.3
2025,Bethune-Cookman,SWAC,East,229,-36.4
2025,Columbia,Ivy,,230,-36.7
2025,Marist,Pioneer,,231,-36.9
2025,Campbell,CAA,,232,-37.0
