year,team,conference,division,ranking,rating
2016,Alabama,SEC,West,1,33.5909660546146
2016,Washington,Pac-12,North,2,27.2880505579715
2016,Clemson,ACC,Atlantic,3,25.2604080772959
2016,Michigan,Big Ten,East,4,24.0916014083985
2016,Ohio State,Big Ten,East,5,23.2929520972127
2016,LSU,SEC,West,6,21.2080450323098
2016,USC,Pac-12,South,7,19.3643817199526
2016,Wisconsin,Big Ten,West,8,17.930120223639
2016,Florida State,ACC,Atlantic,9,17.4955221215209
2016,Penn State,Big Ten,East,10,17.4879746171228
2016,Louisville,ACC,Atlantic,11,17.2853109818589
2016,Oklahoma,Big 12,,12,17.2134845290694
2016,Miami,ACC,Coastal,13,16.8084437845902
2016,Auburn,SEC,West,14,16.7907197781429
2016,Washington State,Pac-12,North,15,15.4777914064518
2016,Colorado,Pac-12,South,16,15.2611738154604
2016,Virginia Tech,ACC,Coastal,17,14.956628450091
2016,Western Michigan,Mid-American,West,18,13.4793842599415
2016,Stanford,Pac-12,North,19,12.6886624356549
2016,Oklahoma State,Big 12,,20,12.4161229292341
2016,Florida,SEC,East,21,12.3887845408199
2016,Texas A&M,SEC,West,22,11.4678757205457
2016,Iowa,Big Ten,West,23,11.0199916533439
2016,Pittsburgh,ACC,Coastal,24,10.5944254801065
2016,Tennessee,SEC,East,25,10.4427100326983
2016,West Virginia,Big 12,,26,10.4358013428621
2016,North Carolina,ACC,Coastal,27,10.2092822804054
2016,Western Kentucky,Conference USA,East,28,10.0921106819454
2016,Northwestern,Big Ten,West,29,9.92458732097194
2016,Kansas State,Big 12,,30,9.71369830781239
2016,Utah,Pac-12,South,31,9.21966229726325
2016,Minnesota,Big Ten,West,32,9.04073219302645
2016,Temple,American Athletic,East,33,7.79586762611985
2016,NC State,ACC,Atlantic,34,7.64172867058333
2016,Georgia Tech,ACC,Coastal,35,7.32200059392706
2016,BYU,FBS Independents,,36,7.31924800603024
2016,South Florida,American Athletic,East,37,7.20727313797873
2016,Boise State,Mountain West,Mountain,38,6.94901988885047
2016,Nebraska,Big Ten,West,39,6.87178032436094
2016,Notre Dame,FBS Independents,,40,6.44617550300473
2016,Ole Miss,SEC,West,41,6.10582640632454
2016,Tulsa,American Athletic,West,42,5.87904349441916
2016,Houston,American Athletic,West,43,5.37204177299931
2016,San Diego State,Mountain West,West,44,5.37175144651864
2016,Toledo,Mid-American,West,45,4.98993693781041
2016,App State,Sun Belt,West,46,4.96843286695315
2016,Georgia,SEC,East,47,4.71899551570444
2016,TCU,Big 12,,48,4.28412900137947
2016,Arkansas,SEC,West,49,4.1624853910264
2016,Memphis,American Athletic,West,50,3.97130228592342
2016,Baylor,Big 12,,51,3.85847550240111
2016,Mississippi State,SEC,West,52,3.45548517941222
2016,UCLA,Pac-12,South,53,3.42025145565521
2016,Vanderbilt,SEC,East,54,2.6184920489754
2016,Texas,Big 12,,55,2.59769625975196
2016,Navy,American Athletic,West,56,2.4539236509197
2016,Oregon,Pac-12,North,57,2.2041742780277
2016,California,Pac-12,North,58,1.97095066689327
2016,Oregon State,Pac-12,North,59,1.60151542799765
2016,Troy,Sun Belt,East,60,1.56028526728434
2016,Louisiana Tech,Conference USA,West,61,1.54401530221678
2016,Air Force,Mountain West,Mountain,62,1.24413167042028
2016,Colorado State,Mountain West,Mountain,63,1.16686300007913
2016,Michigan State,Big Ten,East,64,1.14983646863316
2016,Texas Tech,Big 12,,65,1.00437796529513
2016,Indiana,Big Ten,East,66,0.964736595035601
2016,Kentucky,SEC,East,67,0.250433351991331
2016,Wake Forest,ACC,Atlantic,68,0.229473491449829
2016,Maryland,Big Ten,East,69,-0.782979072147935
2016,Duke,ACC,Coastal,70,-0.983639864705779
2016,UCF,American Athletic,East,71,-1.15978341223176
2016,Arkansas State,Sun Belt,East,72,-1.1979580664355
2016,Iowa State,Big 12,,73,-1.71218230642298
2016,Wyoming,Mountain West,Mountain,74,-1.90093717178037
2016,Arizona State,Pac-12,South,75,-2.14001802841997
2016,Boston College,ACC,Atlantic,76,-2.39562977344233
2016,South Carolina,SEC,East,77,-2.83243258319577
2016,Northern Illinois,Mid-American,West,78,-3.17398896545236
2016,Missouri,SEC,East,79,-3.61081264315853
2016,Idaho,Sun Belt,,80,-4.14721652641567
2016,Old Dominion,Conference USA,East,81,-4.1842763802168
2016,Ohio,Mid-American,East,82,-4.57662325532245
