year,team,rank,points
2015,Alabama,1,311.1
2015,USC,2,310.88
2015,Florida State,3,287.06
2015,Tennessee,4,286.26
2015,LSU,5,284.37
2015,Georgia,6,282.54
2015,Ohio State,7,279.6
2015,Auburn,8,278.31
2015,Clemson,9,277.98
2015,Texas,10,272.49
2015,Texas A&M,11,270.61
2015,UCLA,12,269.68
2015,Notre Dame,13,267.79
2015,Penn State,14,250.0
2015,Oklahoma,15,249.69
2015,Oregon,16,245.79
2015,Ole Miss,17,245.71
2015,Mississippi State,18,237.46
2015,Arizona State,19,232.73
2015,South Carolina,20,230.49
2015,Florida,21,227.46
2015,Arkansas,22,222.51
2015,Michigan State,23,221.77
2015,Stanford,24,220.65
2015,Missouri,25,217.98
2015,Washington,26,215.83
2015,Miami,27,215.49
2015,North Carolina,28,214.05
2015,Virginia Tech,29,212.07
2015,Nebraska,30,211.72
2015,NC State,31,208.69
2015,Texas Tech,32,203.18
2015,Louisville,33,201.4
2015,California,34,198.77
2015,West Virginia,35,198.02
2015,Baylor,36,195.88
2015,Michigan,37,194.82
2015,Kentucky,38,193.19
2015,TCU,39,191.44
2015,Oklahoma State,40,191.28
2015,Wisconsin,41,189.85
2015,Washington State,42,188.41
2015,Arizona,43,186.57
2015,Georgia Tech,44,185.45
2015,Utah,45,183.38
2015,Pittsburgh,46,183.18
2015,Maryland,47,182.31
2015,Illinois,48,181.74
2015,Vanderbilt,49,181.37
2015,Virginia,50,179.92
2015,Wake Forest,51,176.85
2015,Duke,52,175.77
2015,Indiana,53,175.35
2015,Kansas State,54,175.02
2015,Northwestern,55,174.83
2015,Rutgers,56,172.19
2015,Syracuse,57,172.06
2015,Boise State,58,171.68
2015,Iowa,59,169.99
2015,Boston College,60,169.45
2015,Oregon State,61,167.89
2015,San José State,62,167.14
2015,Minnesota,63,167.01
2015,Iowa State,64,166.5
2015,BYU,65,165.06
2015,South Florida,66,163.15
2015,Purdue,67,162.85
2015,Cincinnati,68,162.45
2015,Colorado,69,162.04
2015,San Diego State,70,161.96
2015,UCF,71,160.78
2015,Fresno State,72,155.02
2015,Kansas,73,153.94
2015,Miami (OH),74,150.48
2015,Marshall,75,149.98
2015,Western Michigan,76,147.78
2015,Memphis,77,146.79
2015,Louisiana,78,146.18
2015,Florida Atlantic,79,146.02
2015,Temple,80,143.34
2015,SMU,81,142.99
2015,Louisiana Tech,82,142.32
2015,Northern Illinois,83,138.94
2015,Toledo,84,138.12
2015,Georgia Southern,85,137.18
2015,Middle Tennessee,86,134.77
2015,Southern Miss,87,133.4
2015,South Alabama,88,132.17
2015,Houston,89,131.58
2015,Arkansas State,90,131.45
2015,Tulane,91,128.9
2015,Ohio,92,128.68
2015,East Carolina,93,126.85
2015,North Texas,94,126.6
2015,Texas State,95,124.71
2015,Utah State,96,124.56
2015,Central Michigan,97,123.63
2015,Nevada,98,122.5
2015,UConn,99,120.89
2015,Florida International,100,120.42
2015,Rice,101,120.11
2015,Kent State,102,119.93
2015,UTSA,103,119.88
2015,Bowling Green,104,119.83
2015,Ball State,105,119.7
2015,UNLV,106,119.46
2015,Massachusetts,107,118.12
2015,UL Monroe,108,116.67
2015,Tulsa,109,116.08
2015,Old Dominion,110,115.65
2015,Western Kentucky,111,115.65
2015,Navy,112,114.7
2015,Wyoming,113,114.32
2015,App State,114,112.03
2015,Eastern Michigan,115,110.15
2015,New Mexico,116,110.03
2015,Troy,117,107.58
2015,Buffalo,118,103.21
2015,Colorado State,119,101.72
2015,Army,120,100.83
2015,Idaho,121,98.54
2015,Hawai'i,122,98.16
2015,Air Force,123,98.02
2015,Georgia State,124,90.61
2015,New Mexico State,125,87.78
2015,Charlotte,126,86.91
2015,Akron,127,82.38
2015,UTEP,128,73.03
2015,Harvard,129,67.37
2015,Northern Arizona,130,65.76
2015,Chattanooga,131,63.37
2015,North Dakota State,132,63.16
2015,Jacksonville State,133,59.0
2015,Towson,134,47.49
2015,James Madison,135,46.41
2015,Yale,136,45.08
2015,Western Carolina,137,43.67
2015,Stephen F. Austin,138,41.3
2015,UT Martin,139,39.72
2015,UC Davis,140,39.45
2015,Northern Iowa,141,39.11
2015,Liberty,142,38.13
2015,Samford,143,37.8
2015,South Dakota,145,37.56
2015,Southern Illinois,146,37.12
2015,Montana,147,37.09
2015,Southeast Missouri State,148,36.75
2015,South Carolina State,149,36.33
2015,Lafayette,150,35.89
2015,Weber State,151,35.75
2015,Princeton,152,35.28
2015,Austin Peay,153,35.12
2015,Monmouth,154,35.02
2015,Cal Poly,155,34.98
