season,conference,team,offense,defense
2023,Mountain West,Air Force,"{'overall': 0.26, 'passing': 0.5, 'rushing': 0.24, 'firstDown': 0.08, 'secondDown': 0.27, 'thirdDown': 0.5, 'cumulative': {'total': 212.3, 'passing': 54.83, 'rushing': 169.8}}","{'overall': 0.12, 'passing': 0.21, 'rushing': 0.05, 'firstDown': -0.06, 'secondDown': 0.13, 'thirdDown': 0.39, 'cumulative': {'total': 86.2, 'passing': 770.8, 'rushing': 17.4}}"
2023,Mid-American,Akron,"{'overall': 0.03, 'passing': 0.07, 'rushing': 0.07, 'firstDown': -0.12, 'secondDown': 0.06, 'thirdDown': 0.26, 'cumulative': {'total': 21.6, 'passing': 29.3, 'rushing': 21}}","{'overall': 0.13, 'passing': 0.17, 'rushing': 0.14, 'firstDown': -0.12, 'secondDown': 0.22, 'thirdDown': 0.46, 'cumulative': {'total': 101, 'passing': 589.7, 'rushing': 55}}"
2023,SEC,Alabama,"{'overall': 0.28, 'passing': 0.39, 'rushing': 0.22, 'firstDown': 0.11, 'secondDown': 0.23, 'thirdDown': 0.68, 'cumulative': {'total': 243, 'passing': 142.24, 'rushing': 111.1}}","{'overall': 0.12, 'passing': 0.15, 'rushing': 0.11, 'firstDown': -0.01, 'secondDown': 0.09, 'thirdDown': 0.44, 'cumulative': {'total': 102.1, 'passing': 656.8, 'rushing': 46.3}}"
2023,Sun Belt,App State,"{'overall': 0.23, 'passing': 0.44, 'rushing': 0.08, 'firstDown': 0.09, 'secondDown': 0.19, 'thirdDown': 0.54, 'cumulative': {'total': 228.5, 'passing': 206.38, 'rushing': 39.5}}","{'overall': 0.17, 'passing': 0.2, 'rushing': 0.18, 'firstDown': -0.02, 'secondDown': 0.29, 'thirdDown': 0.43, 'cumulative': {'total': 157.1, 'passing': 900.4, 'rushing': 83.4}}"
2023,Pac-12,Arizona,"{'overall': 0.32, 'passing': 0.47, 'rushing': 0.16, 'firstDown': 0.17, 'secondDown': 0.21, 'thirdDown': 0.81, 'cumulative': {'total': 269.1, 'passing': 224.4, 'rushing': 60.3}}","{'overall': 0.12, 'passing': 0.24, 'rushing': 0.05, 'firstDown': -0.03, 'secondDown': 0.12, 'thirdDown': 0.6, 'cumulative': {'total': 104.4, 'passing': 1057.7, 'rushing': 21.2}}"
2023,Pac-12,Arizona State,"{'overall': 0.1, 'passing': 0.08, 'rushing': 0.19, 'firstDown': 0.03, 'secondDown': 0, 'thirdDown': 0.38, 'cumulative': {'total': 84, 'passing': 35.08, 'rushing': 66.5}}","{'overall': 0.25, 'passing': 0.34, 'rushing': 0.15, 'firstDown': 0.11, 'secondDown': 0.22, 'thirdDown': 0.61, 'cumulative': {'total': 191.7, 'passing': 1451.6, 'rushing': 51.3}}"
2023,SEC,Arkansas,"{'overall': 0.16, 'passing': 0.25, 'rushing': 0.1, 'firstDown': -0.09, 'secondDown': 0.13, 'thirdDown': 0.6, 'cumulative': {'total': 127.8, 'passing': 91.8, 'rushing': 45}}","{'overall': 0.12, 'passing': 0.23, 'rushing': 0.07, 'firstDown': -0.01, 'secondDown': 0.17, 'thirdDown': 0.32, 'cumulative': {'total': 93, 'passing': 783, 'rushing': 29.6}}"
2023,Sun Belt,Arkansas State,"{'overall': 0.14, 'passing': 0.24, 'rushing': 0.11, 'firstDown': 0.09, 'secondDown': 0.17, 'thirdDown': 0.28, 'cumulative': {'total': 118.6, 'passing': 93.61, 'rushing': 45.8}}","{'overall': 0.23, 'passing': 0.31, 'rushing': 0.16, 'firstDown': 0.06, 'secondDown': 0.18, 'thirdDown': 0.56, 'cumulative': {'total': 210.5, 'passing': 1366.2, 'rushing': 77.2}}"
2023,FBS Independents,Army,"{'overall': 0.12, 'passing': 0.3, 'rushing': 0.11, 'firstDown': 0.06, 'secondDown': 0.02, 'thirdDown': 0.39, 'cumulative': {'total': 90.2, 'passing': 47.79, 'rushing': 62.9}}","{'overall': 0.22, 'passing': 0.27, 'rushing': 0.25, 'firstDown': 0.12, 'secondDown': 0.23, 'thirdDown': 0.48, 'cumulative': {'total': 164.9, 'passing': 856.6, 'rushing': 101.7}}"
2023,SEC,Auburn,"{'overall': 0.16, 'passing': 0.13, 'rushing': 0.21, 'firstDown': 0.03, 'secondDown': 0.21, 'thirdDown': 0.33, 'cumulative': {'total': 133.9, 'passing': 45.95, 'rushing': 102.3}}","{'overall': 0.14, 'passing': 0.2, 'rushing': 0.1, 'firstDown': -0.03, 'secondDown': 0.22, 'thirdDown': 0.34, 'cumulative': {'total': 110.3, 'passing': 739.6, 'rushing': 43.1}}"
2023,Mid-American,Ball State,"{'overall': 0.12, 'passing': 0.09, 'rushing': 0.16, 'firstDown': -0.06, 'secondDown': 0.17, 'thirdDown': 0.36, 'cumulative': {'total': 91.5, 'passing': 28.75, 'rushing': 72.1}}","{'overall': 0.16, 'passing': 0.27, 'rushing': 0.06, 'firstDown': 0.01, 'secondDown': 0.23, 'thirdDown': 0.34, 'cumulative': {'total': 113.8, 'passing': 993.2, 'rushing': 20}}"
2023,Big 12,Baylor,"{'overall': 0.13, 'passing': 0.19, 'rushing': 0.1, 'firstDown': -0.01, 'secondDown': 0.07, 'thirdDown': 0.43, 'cumulative': {'total': 112.3, 'passing': 86.58, 'rushing': 37.5}}","{'overall': 0.28, 'passing': 0.44, 'rushing': 0.19, 'firstDown': 0.12, 'secondDown': 0.32, 'thirdDown': 0.57, 'cumulative': {'total': 207.4, 'passing': 1464.6, 'rushing': 77.4}}"
2023,Mountain West,Boise State,"{'overall': 0.24, 'passing': 0.37, 'rushing': 0.2, 'firstDown': 0.07, 'secondDown': 0.23, 'thirdDown': 0.66, 'cumulative': {'total': 217.6, 'passing': 137.98, 'rushing': 108}}","{'overall': 0.18, 'passing': 0.26, 'rushing': 0.13, 'firstDown': 0.06, 'secondDown': 0.15, 'thirdDown': 0.51, 'cumulative': {'total': 159.5, 'passing': 1215.8, 'rushing': 51.2}}"
2023,ACC,Boston College,"{'overall': 0.2, 'passing': 0.18, 'rushing': 0.25, 'firstDown': -0.01, 'secondDown': 0.07, 'thirdDown': 0.65, 'cumulative': {'total': 181.3, 'passing': 65.41, 'rushing': 131.1}}","{'overall': 0.23, 'passing': 0.42, 'rushing': 0.13, 'firstDown': 0.07, 'secondDown': 0.23, 'thirdDown': 0.5, 'cumulative': {'total': 186.9, 'passing': 1411, 'rushing': 59.8}}"
2023,Mid-American,Bowling Green,"{'overall': 0.18, 'passing': 0.26, 'rushing': 0.16, 'firstDown': -0.03, 'secondDown': 0.28, 'thirdDown': 0.34, 'cumulative': {'total': 137.7, 'passing': 95.8, 'rushing': 63}}","{'overall': 0.13, 'passing': 0.19, 'rushing': 0.19, 'firstDown': -0.06, 'secondDown': 0.16, 'thirdDown': 0.49, 'cumulative': {'total': 101.6, 'passing': 672.3, 'rushing': 82}}"
2023,Mid-American,Buffalo,"{'overall': 0.05, 'passing': 0.1, 'rushing': 0.06, 'firstDown': -0.06, 'secondDown': 0.05, 'thirdDown': 0.37, 'cumulative': {'total': 41.9, 'passing': 39.26, 'rushing': 26}}","{'overall': 0.13, 'passing': 0.21, 'rushing': 0.11, 'firstDown': -0.04, 'secondDown': 0.19, 'thirdDown': 0.37, 'cumulative': {'total': 101.3, 'passing': 717.4, 'rushing': 46.7}}"
2023,Big 12,BYU,"{'overall': 0.05, 'passing': 0.06, 'rushing': 0.06, 'firstDown': -0.13, 'secondDown': 0.14, 'thirdDown': 0.27, 'cumulative': {'total': 34.7, 'passing': 25.21, 'rushing': 19.4}}","{'overall': 0.2, 'passing': 0.3, 'rushing': 0.16, 'firstDown': -0.01, 'secondDown': 0.16, 'thirdDown': 0.77, 'cumulative': {'total': 167.7, 'passing': 1196, 'rushing': 64.7}}"
2023,Pac-12,California,"{'overall': 0.18, 'passing': 0.22, 'rushing': 0.17, 'firstDown': 0.02, 'secondDown': 0.16, 'thirdDown': 0.53, 'cumulative': {'total': 165, 'passing': 97.84, 'rushing': 81.1}}","{'overall': 0.21, 'passing': 0.32, 'rushing': 0.11, 'firstDown': 0.04, 'secondDown': 0.22, 'thirdDown': 0.47, 'cumulative': {'total': 193, 'passing': 1572.4, 'rushing': 45.6}}"
2023,Mid-American,Central Michigan,"{'overall': 0.14, 'passing': 0.14, 'rushing': 0.19, 'firstDown': -0.08, 'secondDown': 0.16, 'thirdDown': 0.4, 'cumulative': {'total': 107.9, 'passing': 47.54, 'rushing': 78.7}}","{'overall': 0.3, 'passing': 0.4, 'rushing': 0.22, 'firstDown': 0.21, 'secondDown': 0.24, 'thirdDown': 0.56, 'cumulative': {'total': 227.4, 'passing': 1453.9, 'rushing': 85.8}}"
