season,conference,team,offense,defense
2026,Mountain West,Air Force,"{'overall': 0.32, 'passing': 0.3, 'rushing': 0.34, 'firstDown': 0.25, 'secondDown': -0.01, 'thirdDown': 0.68, 'cumulative': {'total': 46.6, 'passing': 6.87, 'rushing': 41.6}}","{'overall': -0.08, 'passing': -0.05, 'rushing': -0.03, 'firstDown': -0.17, 'secondDown': -0.11, 'thirdDown': -0.22, 'cumulative': {'total': -8.4, 'passing': -20.6, 'rushing': -1.7}}"
2026,Mid-American,Akron,"{'overall': 0.08, 'passing': 0.1, 'rushing': 0.1, 'firstDown': -0.03, 'secondDown': 0.16, 'thirdDown': 0.4, 'cumulative': {'total': 15.3, 'passing': 11.48, 'rushing': 8.2}}","{'overall': 0.18, 'passing': 0.43, 'rushing': -0.01, 'firstDown': 0.05, 'secondDown': -0.01, 'thirdDown': 0.59, 'cumulative': {'total': 33.1, 'passing': 409.4, 'rushing': -0.5}}"
2026,SEC,Alabama,"{'overall': 0.28, 'passing': 0.32, 'rushing': 0.27, 'firstDown': 0.21, 'secondDown': 0, 'thirdDown': 0.72, 'cumulative': {'total': 58.2, 'passing': 27.81, 'rushing': 32.7}}","{'overall': -0.11, 'passing': 0, 'rushing': -0.21, 'firstDown': -0.21, 'secondDown': 0.05, 'thirdDown': 0.15, 'cumulative': {'total': -19.6, 'passing': -1.2, 'rushing': -17.1}}"
2026,Sun Belt,App State,"{'overall': 0.28, 'passing': 0.54, 'rushing': 0.08, 'firstDown': 0.03, 'secondDown': 0.6, 'thirdDown': 0.39, 'cumulative': {'total': 62.7, 'passing': 57.1, 'rushing': 8.7}}","{'overall': 0, 'passing': 0.1, 'rushing': -0.06, 'firstDown': 0.05, 'secondDown': -0.04, 'thirdDown': 0.13, 'cumulative': {'total': 0.5, 'passing': 108, 'rushing': -4.9}}"
2026,Big 12,Arizona,"{'overall': 0.23, 'passing': 0.28, 'rushing': 0.18, 'firstDown': 0, 'secondDown': 0.21, 'thirdDown': 0.78, 'cumulative': {'total': 46.9, 'passing': 31.81, 'rushing': 15.3}}","{'overall': 0.04, 'passing': 0.09, 'rushing': 0.08, 'firstDown': -0.11, 'secondDown': 0.09, 'thirdDown': 0.61, 'cumulative': {'total': 6.5, 'passing': 98.5, 'rushing': 5.7}}"
2026,Big 12,Arizona State,"{'overall': 0.06, 'passing': 0.19, 'rushing': 0.02, 'firstDown': -0.11, 'secondDown': 0.24, 'thirdDown': 0.42, 'cumulative': {'total': 11.7, 'passing': 17.49, 'rushing': 1.9}}","{'overall': 0.02, 'passing': 0.1, 'rushing': -0.03, 'firstDown': 0.06, 'secondDown': -0.03, 'thirdDown': 0.48, 'cumulative': {'total': 4.3, 'passing': 82.4, 'rushing': -2.5}}"
2026,SEC,Arkansas,"{'overall': 0.04, 'passing': 0.15, 'rushing': -0.12, 'firstDown': -0.15, 'secondDown': 0.01, 'thirdDown': 0.54, 'cumulative': {'total': 8.7, 'passing': 20.29, 'rushing': -10.8}}","{'overall': 0.23, 'passing': 0.23, 'rushing': 0.27, 'firstDown': 0.03, 'secondDown': 0.45, 'thirdDown': 0.48, 'cumulative': {'total': 39.8, 'passing': 178.8, 'rushing': 24.7}}"
2026,Sun Belt,Arkansas State,"{'overall': 0.12, 'passing': 0, 'rushing': 0.3, 'firstDown': 0.17, 'secondDown': 0.03, 'thirdDown': 0.52, 'cumulative': {'total': 20.9, 'passing': -0.25, 'rushing': 27.8}}","{'overall': 0.19, 'passing': 0.61, 'rushing': -0.01, 'firstDown': 0.15, 'secondDown': -0.12, 'thirdDown': 0.7, 'cumulative': {'total': 36.9, 'passing': 462.6, 'rushing': -0.7}}"
2026,American Athletic,Army,"{'overall': 0.42, 'passing': 0.35, 'rushing': 0.44, 'firstDown': 0.19, 'secondDown': 0.45, 'thirdDown': 0.82, 'cumulative': {'total': 57.6, 'passing': 8.48, 'rushing': 47.7}}","{'overall': 0.11, 'passing': 0.14, 'rushing': 0.1, 'firstDown': 0.14, 'secondDown': -0.09, 'thirdDown': 0.28, 'cumulative': {'total': 12.4, 'passing': 75.2, 'rushing': 5.5}}"
2026,SEC,Auburn,"{'overall': 0.14, 'passing': 0.18, 'rushing': 0.23, 'firstDown': -0.08, 'secondDown': 0.13, 'thirdDown': 0.58, 'cumulative': {'total': 32.8, 'passing': 20.16, 'rushing': 24.7}}","{'overall': 0.04, 'passing': 0.2, 'rushing': -0.05, 'firstDown': -0.14, 'secondDown': 0.02, 'thirdDown': 0.26, 'cumulative': {'total': 8.6, 'passing': 226.9, 'rushing': -5.5}}"
