year,team,rank,points
2019,Alabama,1,317.5
2019,Georgia,2,309.12
2019,Texas,3,287.69
2019,Texas A&M,4,285.46
2019,LSU,5,284.06
2019,Oklahoma,6,279.28
2019,Oregon,7,277.98
2019,Michigan,8,277.15
2019,Florida,9,276.85
2019,Clemson,10,275.55
2019,Auburn,11,271.94
2019,Penn State,12,270.67
2019,Tennessee,13,269.07
2019,Ohio State,14,261.18
2019,Washington,15,259.19
2019,Notre Dame,16,258.56
2019,South Carolina,17,247.26
2019,Nebraska,18,245.1
2019,Florida State,19,244.31
2019,USC,20,243.51
2019,Stanford,21,242.58
2019,Ole Miss,22,238.11
2019,Arkansas,23,237.17
2019,Mississippi State,24,236.6
2019,Purdue,25,224.72
2019,Virginia Tech,26,224.01
2019,Miami,27,222.07
2019,Arizona State,28,219.76
2019,Wisconsin,29,219.51
2019,North Carolina,30,218.57
2019,NC State,31,217.29
2019,Michigan State,32,215.21
2019,TCU,33,210.62
2019,Kentucky,34,203.49
2019,Baylor,35,203.39
2019,Indiana,36,202.63
2019,Missouri,37,202.13
2019,Oklahoma State,38,202.09
2019,Virginia,39,200.89
2019,UCLA,40,199.61
2019,Iowa,41,199.36
2019,Utah,42,196.61
2019,California,43,196.48
2019,Colorado,44,194.55
2019,Minnesota,45,194.48
2019,Iowa State,46,192.25
2019,Maryland,47,192.18
2019,West Virginia,48,191.83
2019,Duke,49,191.38
2019,Boise State,50,189.93
2019,Georgia Tech,51,188.28
2019,Northwestern,52,188.14
2019,Illinois,53,184.37
2019,Arizona,54,182.67
2019,Syracuse,55,182.67
2019,Vanderbilt,56,182.42
2019,Wake Forest,57,182.26
2019,Pittsburgh,58,181.53
2019,UCF,59,179.69
2019,Florida Atlantic,60,178.99
2019,Texas Tech,61,177.69
2019,Kansas State,62,177.4
2019,Boston College,63,177.26
2019,Rutgers,64,174.33
2019,Washington State,65,174.14
2019,Oregon State,66,172.88
2019,Memphis,67,172.4
2019,SMU,68,167.28
2019,Louisville,69,165.93
2019,Kansas,70,165.84
2019,Marshall,71,165.42
2019,Houston,72,165.39
2019,Toledo,73,162.01
2019,UAB,74,160.48
2019,North Texas,75,158.78
2019,Louisiana,76,158.45
2019,South Florida,77,158.44
2019,East Carolina,78,158.4
2019,Cincinnati,79,158.17
2019,Troy,80,157.59
2019,BYU,81,156.76
2019,Southern Miss,82,156.39
2019,Louisiana Tech,83,155.46
2019,Colorado State,84,155.22
2019,Middle Tennessee,85,154.43
2019,Western Kentucky,86,153.89
2019,Fresno State,87,153.5
2019,Florida International,88,152.57
2019,Miami (OH),89,151.13
2019,Utah State,90,149.92
2019,San Diego State,91,149.19
2019,Western Michigan,92,148.7
2019,Nevada,93,145.27
2019,Tulane,94,144.82
2019,Arkansas State,95,143.36
2019,UTSA,96,142.31
2019,Wyoming,97,140.75
2019,Georgia State,98,140.37
2019,Army,99,139.75
2019,UNLV,100,139.57
2019,App State,101,139.0
2019,Kent State,102,138.12
2019,Ohio,103,138.11
2019,Central Michigan,104,137.96
2019,Temple,105,136.56
2019,Buffalo,106,134.64
