year,team,conference,division,ranking,rating
2022,Georgia,SEC,East,1,27.0
2022,Ohio State,Big Ten,East,2,22.5
2022,Alabama,SEC,West,3,21.3
2022,Michigan,Big Ten,East,4,21.1
2022,Tennessee,SEC,East,5,19.9
2022,Penn State,Big Ten,East,6,18.6
2022,Texas,Big 12,,7,17.1
2022,TCU,Big 12,,8,16.7
2022,Utah,Pac-12,,9,16.6
2022,Kansas State,Big 12,,10,15.5
2022,LSU,SEC,West,11,14.8
2022,Oregon State,Pac-12,,12,14.6
2022,Oregon,Pac-12,,13,14.2
2022,Florida State,ACC,Atlantic,14,14.1
2022,Clemson,ACC,Atlantic,15,13.9
2022,Mississippi State,SEC,West,16,13.1
2022,Washington,Pac-12,,17,12.0
2022,Illinois,Big Ten,West,18,11.7
2022,USC,Pac-12,,19,11.4
2022,Minnesota,Big Ten,West,20,10.7
2022,Louisville,ACC,Atlantic,21,10.6
2022,Tulane,American Athletic,,22,10.5
2022,Oklahoma,Big 12,,23,10.2
2022,Notre Dame,FBS Independents,,24,10.0
2022,Ole Miss,SEC,West,25,9.7
2022,Texas Tech,Big 12,,25,9.7
2022,Iowa,Big Ten,West,27,9.5
2022,Baylor,Big 12,,28,9.2
2022,UCLA,Pac-12,,29,8.4
2022,Iowa State,Big 12,,30,8.0
2022,Kansas,Big 12,,31,7.6
2022,Wake Forest,ACC,Atlantic,32,7.4
2022,Duke,ACC,Coastal,33,7.0
2022,Arkansas,SEC,West,34,6.5
2022,Florida,SEC,East,35,6.4
2022,Pittsburgh,ACC,Coastal,36,6.3
2022,South Carolina,SEC,East,36,6.3
2022,Maryland,Big Ten,East,38,6.2
2022,Oklahoma State,Big 12,,39,5.7
2022,Cincinnati,American Athletic,,39,5.7
2022,NC State,ACC,Atlantic,41,5.5
2022,Kentucky,SEC,East,41,5.5
2022,Memphis,American Athletic,,43,5.4
2022,Wisconsin,Big Ten,West,43,5.4
2022,Purdue,Big Ten,West,45,5.1
2022,James Madison,Sun Belt,East,46,5.0
2022,Washington State,Pac-12,,47,4.7
2022,UCF,American Athletic,,47,4.7
2022,Syracuse,ACC,Atlantic,49,4.5
2022,North Carolina,ACC,Coastal,50,4.2
2022,Air Force,Mountain West,Mountain,50,4.2
2022,Missouri,SEC,East,50,4.2
2022,West Virginia,Big 12,,53,3.9
2022,East Carolina,American Athletic,,54,3.8
