year,team,conference,fpi,resumeRanks,efficiencies
2025,Notre Dame,FBS Independents,25.279,"{'strengthOfRecord': 13, 'fpi': 3, 'averageWinProbability': 3, 'strengthOfSchedule': 47, 'remainingStrengthOfSchedule': None, 'gameControl': 6}","{'overall': 91.24, 'offense': 89.767, 'defense': 81.668, 'specialTeams': 52.082}"
2025,Oklahoma State,Big 12,-12.121,"{'strengthOfRecord': 124, 'fpi': 113, 'averageWinProbability': 131, 'strengthOfSchedule': 35, 'remainingStrengthOfSchedule': None, 'gameControl': 104}","{'overall': 21.743, 'offense': 21.597, 'defense': 29.274, 'specialTeams': 57.631}"
2025,Kansas State,Big 12,7.784,"{'strengthOfRecord': 54, 'fpi': 38, 'averageWinProbability': 47, 'strengthOfSchedule': 48, 'remainingStrengthOfSchedule': None, 'gameControl': 33}","{'overall': 63.833, 'offense': 60.934, 'defense': 62.699, 'specialTeams': 45.357}"
2025,Baylor,Big 12,2.973,"{'strengthOfRecord': 70, 'fpi': 59, 'averageWinProbability': 105, 'strengthOfSchedule': 49, 'remainingStrengthOfSchedule': None, 'gameControl': 78}","{'overall': 50.092, 'offense': 61.911, 'defense': 34.732, 'specialTeams': 60.049}"
2025,Iowa State,Big 12,8.627,"{'strengthOfRecord': 37, 'fpi': 35, 'averageWinProbability': 41, 'strengthOfSchedule': 62, 'remainingStrengthOfSchedule': None, 'gameControl': 41}","{'overall': 64.089, 'offense': 60.554, 'defense': 61.399, 'specialTeams': 52.974}"
2025,Texas Tech,Big 12,21.536,"{'strengthOfRecord': 11, 'fpi': 6, 'averageWinProbability': 2, 'strengthOfSchedule': 46, 'remainingStrengthOfSchedule': None, 'gameControl': 5}","{'overall': 91.349, 'offense': 64.946, 'defense': 96.349, 'specialTeams': 63.255}"
2025,Kansas,Big 12,4.37,"{'strengthOfRecord': 73, 'fpi': 51, 'averageWinProbability': 71, 'strengthOfSchedule': 39, 'remainingStrengthOfSchedule': None, 'gameControl': 48}","{'overall': 56.725, 'offense': 67.619, 'defense': 40.803, 'specialTeams': 59.126}"
2025,TCU,Big 12,9.43,"{'strengthOfRecord': 27, 'fpi': 32, 'averageWinProbability': 29, 'strengthOfSchedule': 50, 'remainingStrengthOfSchedule': None, 'gameControl': 24}","{'overall': 69.463, 'offense': 65.464, 'defense': 63.906, 'specialTeams': 57.832}"
2025,West Virginia,Big 12,-4.064,"{'strengthOfRecord': 77, 'fpi': 84, 'averageWinProbability': 122, 'strengthOfSchedule': 33, 'remainingStrengthOfSchedule': None, 'gameControl': 88}","{'overall': 41.185, 'offense': 32.035, 'defense': 53.71, 'specialTeams': 51.199}"
2025,South Florida,American Athletic,11.054,"{'strengthOfRecord': 39, 'fpi': 25, 'averageWinProbability': 20, 'strengthOfSchedule': 67, 'remainingStrengthOfSchedule': None, 'gameControl': 29}","{'overall': 74.375, 'offense': 72.798, 'defense': 69.17, 'specialTeams': 43.632}"
2025,East Carolina,American Athletic,5.119,"{'strengthOfRecord': 45, 'fpi': 48, 'averageWinProbability': 31, 'strengthOfSchedule': 83, 'remainingStrengthOfSchedule': None, 'gameControl': 55}","{'overall': 61.778, 'offense': 52.538, 'defense': 67.446, 'specialTeams': 48.403}"
2025,Tulsa,American Athletic,-13.969,"{'strengthOfRecord': 115, 'fpi': 120, 'averageWinProbability': 104, 'strengthOfSchedule': 118, 'remainingStrengthOfSchedule': None, 'gameControl': 110}","{'overall': 29.194, 'offense': 30.565, 'defense': 36.653, 'specialTeams': 47.221}"
2025,Temple,American Athletic,-8.426,"{'strengthOfRecord': 96, 'fpi': 97, 'averageWinProbability': 102, 'strengthOfSchedule': 81, 'remainingStrengthOfSchedule': None, 'gameControl': 97}","{'overall': 37.318, 'offense': 58.137, 'defense': 27.082, 'specialTeams': 39.816}"
2025,Memphis,American Athletic,3.424,"{'strengthOfRecord': 69, 'fpi': 57, 'averageWinProbability': 63, 'strengthOfSchedule': 102, 'remainingStrengthOfSchedule': None, 'gameControl': 85}","{'overall': 54.928, 'offense': 58.473, 'defense': 46.794, 'specialTeams': 57.295}"
2025,Navy,American Athletic,0.47,"{'strengthOfRecord': 17, 'fpi': 68, 'averageWinProbability': 39, 'strengthOfSchedule': 75, 'remainingStrengthOfSchedule': None, 'gameControl': 60}","{'overall': 57.983, 'offense': 67.557, 'defense': 42.556, 'specialTeams': 56.292}"
2025,Tulane,American Athletic,3.675,"{'strengthOfRecord': 22, 'fpi': 54, 'averageWinProbability': 22, 'strengthOfSchedule': 65, 'remainingStrengthOfSchedule': None, 'gameControl': 31}","{'overall': 62.994, 'offense': 59.306, 'defense': 57.27, 'specialTeams': 64.67}"
2025,Western Kentucky,Conference USA,-7.439,"{'strengthOfRecord': 68, 'fpi': 94, 'averageWinProbability': 69, 'strengthOfSchedule': 121, 'remainingStrengthOfSchedule': None, 'gameControl': 96}","{'overall': 39.793, 'offense': 36.656, 'defense': 45.123, 'specialTeams': 54.05}"
2025,UTEP,Conference USA,-16.554,"{'strengthOfRecord': 135, 'fpi': 125, 'averageWinProbability': 126, 'strengthOfSchedule': 110, 'remainingStrengthOfSchedule': None, 'gameControl': 124}","{'overall': 21.274, 'offense': 15.904, 'defense': 39.962, 'specialTeams': 40.479}"
2025,Louisiana Tech,Conference USA,-6.157,"{'strengthOfRecord': 84, 'fpi': 92, 'averageWinProbability': 61, 'strengthOfSchedule': 127, 'remainingStrengthOfSchedule': None, 'gameControl': 91}","{'overall': 46.034, 'offense': 33.01, 'defense': 54.011, 'specialTeams': 68.956}"
2025,Florida International,Conference USA,-11.215,"{'strengthOfRecord': 98, 'fpi': 106, 'averageWinProbability': 86, 'strengthOfSchedule': 108, 'remainingStrengthOfSchedule': None, 'gameControl': 107}","{'overall': 33.269, 'offense': 31.587, 'defense': 43.769, 'specialTeams': 43.059}"
2025,Middle Tennessee,Conference USA,-17.987,"{'strengthOfRecord': 131, 'fpi': 130, 'averageWinProbability': 124, 'strengthOfSchedule': 134, 'remainingStrengthOfSchedule': None, 'gameControl': 124}","{'overall': 19.48, 'offense': 26.436, 'defense': 21.706, 'specialTeams': 51.314}"
2025,Oregon State,Pac-12,-11.628,"{'strengthOfRecord': 128, 'fpi': 111, 'averageWinProbability': 125, 'strengthOfSchedule': 64, 'remainingStrengthOfSchedule': None, 'gameControl': 124}","{'overall': 22.602, 'offense': 25.5, 'defense': 40.409, 'specialTeams': 18.609}"
2025,Washington State,Pac-12,1.397,"{'strengthOfRecord': 59, 'fpi': 64, 'averageWinProbability': 28, 'strengthOfSchedule': 56, 'remainingStrengthOfSchedule': None, 'gameControl': 28}","{'overall': 60.369, 'offense': 44.648, 'defense': 71.983, 'specialTeams': 52.988}"
2025,James Madison,Sun Belt,10.294,"{'strengthOfRecord': 21, 'fpi': 27, 'averageWinProbability': 15, 'strengthOfSchedule': 82, 'remainingStrengthOfSchedule': None, 'gameControl': 44}","{'overall': 68.089, 'offense': 60.061, 'defense': 70.005, 'specialTeams': 49.684}"
2025,Marshall,Sun Belt,-5.808,"{'strengthOfRecord': 108, 'fpi': 90, 'averageWinProbability': 77, 'strengthOfSchedule': 93, 'remainingStrengthOfSchedule': None, 'gameControl': 94}","{'overall': 41.682, 'offense': 42.865, 'defense': 41.467, 'specialTeams': 55.672}"
2025,Texas State,Sun Belt,-1.481,"{'strengthOfRecord': 93, 'fpi': 72, 'averageWinProbability': 34, 'strengthOfSchedule': 119, 'remainingStrengthOfSchedule': None, 'gameControl': 72}","{'overall': 49.339, 'offense': 67.551, 'defense': 34.649, 'specialTeams': 36.521}"
2025,Georgia Southern,Sun Belt,-9.686,"{'strengthOfRecord': 85, 'fpi': 102, 'averageWinProbability': 81, 'strengthOfSchedule': 86, 'remainingStrengthOfSchedule': None, 'gameControl': 93}","{'overall': 32.785, 'offense': 53.918, 'defense': 20.708, 'specialTeams': 51.262}"
2025,Old Dominion,Sun Belt,4.84,"{'strengthOfRecord': 30, 'fpi': 49, 'averageWinProbability': 10, 'strengthOfSchedule': 74, 'remainingStrengthOfSchedule': None, 'gameControl': 26}","{'overall': 68.793, 'offense': 55.591, 'defense': 76.025, 'specialTeams': 39.479}"
2025,Coastal Carolina,Sun Belt,-14.218,"{'strengthOfRecord': 94, 'fpi': 121, 'averageWinProbability': 111, 'strengthOfSchedule': 87, 'remainingStrengthOfSchedule': None, 'gameControl': 108}","{'overall': 30.129, 'offense': 23.798, 'defense': 45.804, 'specialTeams': 45.304}"
2025,App State,Sun Belt,-13.278,"{'strengthOfRecord': 117, 'fpi': 117, 'averageWinProbability': 92, 'strengthOfSchedule': 116, 'remainingStrengthOfSchedule': None, 'gameControl': 112}","{'overall': 26.399, 'offense': 31.064, 'defense': 29.905, 'specialTeams': 50.727}"
2025,Georgia State,Sun Belt,-17.617,"{'strengthOfRecord': 134, 'fpi': 129, 'averageWinProbability': 129, 'strengthOfSchedule': 68, 'remainingStrengthOfSchedule': None, 'gameControl': 119}","{'overall': 19.462, 'offense': 32.039, 'defense': 21.263, 'specialTeams': 34.816}"
2025,South Alabama,Sun Belt,-10.665,"{'strengthOfRecord': 116, 'fpi': 105, 'averageWinProbability': 99, 'strengthOfSchedule': 105, 'remainingStrengthOfSchedule': None, 'gameControl': 102}","{'overall': 29.543, 'offense': 39.136, 'defense': 28.544, 'specialTeams': 46.308}"
2025,Louisiana,Sun Belt,-10.619,"{'strengthOfRecord': 106, 'fpi': 103, 'averageWinProbability': 96, 'strengthOfSchedule': 104, 'remainingStrengthOfSchedule': None, 'gameControl': 103}","{'overall': 28.215, 'offense': 29.699, 'defense': 36.828, 'specialTeams': 42.525}"
2025,Arkansas State,Sun Belt,-9.615,"{'strengthOfRecord': 95, 'fpi': 101, 'averageWinProbability': 93, 'strengthOfSchedule': 128, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 34.322, 'offense': 30.939, 'defense': 40.85, 'specialTeams': 60.522}"
2025,UL Monroe,Sun Belt,-19.167,"{'strengthOfRecord': 127, 'fpi': 131, 'averageWinProbability': 120, 'strengthOfSchedule': 92, 'remainingStrengthOfSchedule': None, 'gameControl': 124}","{'overall': 20.879, 'offense': 24.607, 'defense': 33.531, 'specialTeams': 25.265}"
