season,team
2019,Sam Houston
2019,Akron
2019,Air Force
2019,App State
2019,Arizona
2019,Arkansas State
2019,Auburn
2019,Ball State
2019,Baylor
2019,Boise State
2019,Buffalo
2019,BYU
2019,California
2019,Central Michigan
2019,Charlotte
2019,Cincinnati
2019,Colorado
2019,Colorado State
2019,Duke
2019,East Carolina
2019,Eastern Michigan
2019,Florida
2019,Florida Atlantic
2019,South Alabama
2019,Bowling Green
2019,UL Monroe
2019,Georgia
2019,Hawai'i
2019,Iowa
2019,Iowa State
2019,James Madison
2019,Kansas
2019,Kent State
2019,Louisiana
2019,Louisiana Tech
2019,Marshall
2019,Miami
2019,Miami (OH)
2019,Michigan
2019,Michigan State
2019,Mississippi State
2019,Navy
2019,NC State
2019,Nevada
2019,New Mexico State
2019,Notre Dame
2019,Ohio
2019,Ohio State
2019,Oklahoma State
2019,Ole Miss
2019,Oregon
2019,Oregon State
2019,Penn State
2019,Purdue
2019,Rice
2019,Rutgers
2019,SMU
2019,New Mexico
2019,South Carolina
2019,Southern Miss
2019,South Florida
2019,Stanford
2019,TCU
2019,Temple
2019,Tennessee
2019,Texas A&M
2019,Texas Tech
2019,Toledo
2019,UAB
2019,UCLA
2019,Massachusetts
2019,UNLV
2019,USC
2019,UTSA
2019,Virginia
2019,Virginia Tech
2019,Washington
2019,Western Michigan
2019,Wisconsin
2019,Wyoming
2019,San Diego State
2019,Utah
2019,Wake Forest
2019,UCF
2019,Tulane
2019,Tulsa
2019,Texas
2019,West Virginia
2019,Vanderbilt
2019,Washington State
2019,Syracuse
2019,Troy
2019,Utah State
2019,Texas State
2019,Western Kentucky
2019,UTEP
2019,Northwestern
2019,Florida International
2019,Missouri
2019,Minnesota
2019,Illinois
2019,San José State
2019,Oklahoma
2019,Army
2019,Alabama
2019,Kansas State
2019,Maryland
2019,Louisville
2019,Pittsburgh
2019,Indiana
2019,Nebraska
2019,Northern Illinois
2019,Georgia Southern
2019,Liberty
2019,Houston
2019,Middle Tennessee
2019,Memphis
2019,Kentucky
2019,Georgia Tech
2019,Arizona State
2019,UConn
2019,Boston College
2019,North Carolina
2019,Old Dominion
2019,Coastal Carolina
2019,Georgia State
2019,Kennesaw State
2019,LSU
2019,North Texas
2019,Clemson
2019,Fresno State
2019,Arkansas
2019,Florida State
