season,team,havoc_total,havoc_front_seven,havoc_db,rush_success_rate,pass_success_rate
2021,Air Force,0.187,0.124,0.063,0.47282608695652173,0.3422222222222222
2021,Akron,0.097,0.069,0.028,0.4012738853503185,0.29017857142857145
2021,Alabama,0.2,0.138,0.063,0.4877450980392157,0.4135593220338983
2021,App State,0.206,0.135,0.071,0.4349680170575693,0.29118773946360155
2021,Arizona,0.168,0.107,0.061,0.41823056300268097,0.25547445255474455
2021,Arizona State,0.174,0.102,0.072,0.5525114155251142,0.32589285714285715
2021,Arkansas,0.165,0.102,0.063,0.4624505928853755,0.313953488372093
2021,Arkansas State,0.162,0.1,0.061,0.3308550185873606,0.2841726618705036
2021,Army,0.171,0.107,0.064,0.456752655538695,0.35467980295566504
2021,Auburn,0.178,0.121,0.057,0.45384615384615384,0.32269503546099293
2021,Ball State,0.132,0.086,0.046,0.4068241469816273,0.29069767441860467
2021,Baylor,0.199,0.13,0.07,0.4541984732824427,0.3203125
2021,Boise State,0.166,0.105,0.061,0.4144385026737968,0.34108527131782945
2021,Boston College,0.148,0.092,0.056,0.4367816091954023,0.31555555555555553
2021,Bowling Green,0.156,0.111,0.045,0.37748344370860926,0.25461254612546125
2021,Buffalo,0.178,0.135,0.043,0.45850622406639,0.31223628691983124
2021,BYU,0.164,0.094,0.071,0.5206422018348624,0.3141592920353982
2021,California,0.161,0.088,0.073,0.49725274725274726,0.29535864978902954
2021,Central Michigan,0.196,0.13,0.067,0.43326039387308535,0.31347962382445144
2021,Charlotte,0.137,0.086,0.051,0.43869209809264303,0.3138075313807531
2021,Cincinnati,0.203,0.131,0.072,0.5040871934604905,0.2780487804878049
2021,Clemson,0.195,0.122,0.073,0.4309133489461358,0.2962962962962963
2021,Coastal Carolina,0.175,0.122,0.053,0.5122549019607843,0.45251396648044695
2021,Colorado,0.143,0.091,0.052,0.42042042042042044,0.20689655172413793
2021,Colorado State,0.166,0.118,0.048,0.38461538461538464,0.3037542662116041
2021,Delaware,0.121,0.076,0.045,0.48148148148148145,0.11764705882352941
2021,Duke,0.161,0.096,0.065,0.4318181818181818,0.28870292887029286
2021,East Carolina,0.186,0.106,0.08,0.39667458432304037,0.2939068100358423
2021,Eastern Michigan,0.133,0.075,0.058,0.4420485175202156,0.3138075313807531
2021,Florida,0.162,0.106,0.056,0.46788990825688076,0.3024193548387097
2021,Florida Atlantic,0.169,0.095,0.074,0.4157608695652174,0.28270042194092826
2021,Florida International,0.119,0.081,0.038,0.39357429718875503,0.2893401015228426
2021,Florida State,0.182,0.115,0.067,0.4318766066838046,0.29508196721311475
2021,Fresno State,0.198,0.125,0.073,0.4597014925373134,0.3648068669527897
2021,Georgia,0.202,0.121,0.081,0.4986737400530504,0.3711340206185567
2021,Georgia Southern,0.162,0.106,0.055,0.39235412474849096,0.2696629213483146
2021,Georgia State,0.179,0.12,0.059,0.498989898989899,0.3167420814479638
2021,Georgia Tech,0.13,0.095,0.034,0.4325068870523416,0.2669683257918552
2021,Hawai'i,0.168,0.1,0.068,0.4727272727272727,0.3274647887323944
2021,Houston,0.213,0.142,0.072,0.3949771689497717,0.34494773519163763
2021,Illinois,0.153,0.094,0.059,0.44635193133047213,0.24907063197026022
2021,Indiana,0.137,0.079,0.058,0.38922155688622756,0.256
2021,Iowa,0.158,0.081,0.078,0.39359267734553777,0.28421052631578947
2021,Iowa State,0.181,0.128,0.053,0.4099722991689751,0.3048780487804878
2021,Jacksonville State,0.147,0.101,0.047,0.5111111111111111,0.2978723404255319
2021,Kansas,0.114,0.076,0.038,0.36,0.2736318407960199
2021,Kansas State,0.18,0.129,0.051,0.5075757575757576,0.2930232558139535
2021,Kennesaw State,0.121,0.069,0.052,0.28125,0.23076923076923078
2021,Kent State,0.146,0.084,0.062,0.5365384615384615,0.34509803921568627
2021,Kentucky,0.176,0.114,0.062,0.5241379310344828,0.3915094339622642
2021,Liberty,0.178,0.121,0.057,0.5241935483870968,0.3218884120171674
2021,Louisiana,0.181,0.113,0.068,0.47619047619047616,0.32222222222222224
2021,Louisiana Tech,0.143,0.096,0.047,0.387434554973822,0.33195020746887965
2021,Louisville,0.165,0.103,0.062,0.43155452436194897,0.35526315789473684
2021,LSU,0.173,0.123,0.05,0.3776595744680851,0.30566037735849055
2021,Marshall,0.157,0.107,0.05,0.5048309178743962,0.3359683794466403
2021,Maryland,0.143,0.084,0.059,0.4670846394984326,0.32242990654205606
2021,Massachusetts,0.131,0.081,0.05,0.4241486068111455,0.28292682926829266
