year,team,conference,rating,ranking,secondOrderWins,sos,offense,defense,specialTeams,season
2026,Marshall,Sun Belt,-11.0,110.0,,,"{'ranking': 78, 'rating': 25.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 130, 'rating': 36.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2},2026
2026,South Alabama,Sun Belt,-12.1,111.0,,,"{'ranking': 86, 'rating': 24.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 127, 'rating': 35.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.6},2026
2026,Florida International,Conference USA,-12.3,112.0,,,"{'ranking': 113, 'rating': 19.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 106, 'rating': 31.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.2},2026
2026,Kennesaw State,Conference USA,-12.5,113.0,,,"{'ranking': 111, 'rating': 19.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 108, 'rating': 31.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.5},2026
2026,Ohio,Mid-American,-12.7,114.0,,,"{'ranking': 123, 'rating': 16.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 89, 'rating': 29.1, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.6},2026
2026,San José State,Mountain West,-13.9,115.0,,,"{'ranking': 122, 'rating': 17.1, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 103, 'rating': 30.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.2},2026
2026,Central Michigan,Mid-American,-14.9,116.0,,,"{'ranking': 128, 'rating': 14.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 91, 'rating': 29.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.2},2026
2026,Rice,American Athletic,-14.9,116.0,,,"{'ranking': 123, 'rating': 16.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 109, 'rating': 32.1, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3},2026
2026,Wyoming,Mountain West,-15.0,118.0,,,"{'ranking': 135, 'rating': 13.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 81, 'rating': 28, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.5},2026
2026,New Mexico State,Conference USA,-15.7,119.0,,,"{'ranking': 119, 'rating': 17.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 114, 'rating': 33.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.1},2026
