season,conference,team,offense,defense
2024,Mountain West,Air Force,"{'overall': 0.13, 'passing': 0.08, 'rushing': 0.15, 'firstDown': -0.06, 'secondDown': 0.02, 'thirdDown': 0.43, 'cumulative': {'total': 104.5, 'passing': 12.36, 'rushing': 95.5}}","{'overall': 0.19, 'passing': 0.32, 'rushing': 0.1, 'firstDown': 0, 'secondDown': 0.18, 'thirdDown': 0.55, 'cumulative': {'total': 133.1, 'passing': 955.9, 'rushing': 37.6}}"
2024,Mid-American,Akron,"{'overall': 0.06, 'passing': 0.1, 'rushing': 0.05, 'firstDown': -0.02, 'secondDown': 0.01, 'thirdDown': 0.43, 'cumulative': {'total': 49, 'passing': 45.95, 'rushing': 15.2}}","{'overall': 0.21, 'passing': 0.37, 'rushing': 0.11, 'firstDown': 0.01, 'secondDown': 0.33, 'thirdDown': 0.54, 'cumulative': {'total': 172.2, 'passing': 1344.7, 'rushing': 47.5}}"
2024,SEC,Alabama,"{'overall': 0.24, 'passing': 0.29, 'rushing': 0.21, 'firstDown': 0.17, 'secondDown': 0.07, 'thirdDown': 0.7, 'cumulative': {'total': 206.1, 'passing': 109.83, 'rushing': 98.6}}","{'overall': 0.03, 'passing': 0.1, 'rushing': -0.03, 'firstDown': -0.12, 'secondDown': 0.01, 'thirdDown': 0.26, 'cumulative': {'total': 23.9, 'passing': 394.8, 'rushing': -13.9}}"
2024,Sun Belt,App State,"{'overall': 0.19, 'passing': 0.28, 'rushing': 0.12, 'firstDown': -0.07, 'secondDown': 0.23, 'thirdDown': 0.65, 'cumulative': {'total': 147.5, 'passing': 111.76, 'rushing': 45.5}}","{'overall': 0.28, 'passing': 0.35, 'rushing': 0.25, 'firstDown': 0.13, 'secondDown': 0.33, 'thirdDown': 0.67, 'cumulative': {'total': 195.8, 'passing': 1040.3, 'rushing': 99.4}}"
2024,Big 12,Arizona,"{'overall': 0.11, 'passing': 0.18, 'rushing': 0.01, 'firstDown': -0.03, 'secondDown': 0.01, 'thirdDown': 0.63, 'cumulative': {'total': 86.7, 'passing': 85.03, 'rushing': 1.7}}","{'overall': 0.23, 'passing': 0.32, 'rushing': 0.15, 'firstDown': 0.09, 'secondDown': 0.26, 'thirdDown': 0.51, 'cumulative': {'total': 174.9, 'passing': 1180.7, 'rushing': 59.9}}"
2024,Big 12,Arizona State,"{'overall': 0.29, 'passing': 0.39, 'rushing': 0.23, 'firstDown': 0.16, 'secondDown': 0.21, 'thirdDown': 0.66, 'cumulative': {'total': 275.2, 'passing': 150.92, 'rushing': 129.3}}","{'overall': 0.11, 'passing': 0.22, 'rushing': 0.02, 'firstDown': 0.01, 'secondDown': -0.01, 'thirdDown': 0.5, 'cumulative': {'total': 101.2, 'passing': 1080.6, 'rushing': 6.8}}"
2024,SEC,Arkansas,"{'overall': 0.28, 'passing': 0.34, 'rushing': 0.23, 'firstDown': 0.13, 'secondDown': 0.32, 'thirdDown': 0.57, 'cumulative': {'total': 253.3, 'passing': 148.23, 'rushing': 106.8}}","{'overall': 0.13, 'passing': 0.29, 'rushing': -0.03, 'firstDown': -0.02, 'secondDown': 0.15, 'thirdDown': 0.41, 'cumulative': {'total': 111.9, 'passing': 1253.7, 'rushing': -11.4}}"
2024,Sun Belt,Arkansas State,"{'overall': 0.16, 'passing': 0.21, 'rushing': 0.11, 'firstDown': -0.06, 'secondDown': 0.16, 'thirdDown': 0.53, 'cumulative': {'total': 150.3, 'passing': 99.86, 'rushing': 50.5}}","{'overall': 0.31, 'passing': 0.35, 'rushing': 0.28, 'firstDown': 0.09, 'secondDown': 0.36, 'thirdDown': 0.69, 'cumulative': {'total': 265, 'passing': 1394.8, 'rushing': 129.3}}"
2024,American Athletic,Army,"{'overall': 0.3, 'passing': 0.36, 'rushing': 0.3, 'firstDown': 0.17, 'secondDown': 0.24, 'thirdDown': 0.52, 'cumulative': {'total': 271.3, 'passing': 46.64, 'rushing': 226.3}}","{'overall': 0.12, 'passing': 0.13, 'rushing': 0.17, 'firstDown': -0.05, 'secondDown': 0.11, 'thirdDown': 0.53, 'cumulative': {'total': 100.1, 'passing': 577, 'rushing': 60.6}}"
2024,SEC,Auburn,"{'overall': 0.24, 'passing': 0.32, 'rushing': 0.15, 'firstDown': 0.02, 'secondDown': 0.33, 'thirdDown': 0.51, 'cumulative': {'total': 180.9, 'passing': 123.86, 'rushing': 57}}","{'overall': 0.08, 'passing': 0.23, 'rushing': -0.03, 'firstDown': -0.13, 'secondDown': 0.09, 'thirdDown': 0.49, 'cumulative': {'total': 64.5, 'passing': 852.6, 'rushing': -14}}"
