game_id,season,week,home_team,away_team,provider,spread,formatted_spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
401868139,2026,1,Western Carolina,Eastern Kentucky,Draft Kings,-3.0,Western Carolina -3,,54.5,,,
401872615,2026,1,South Dakota State,Stetson,DraftKings,-50.5,South Dakota State -50.5,-47.5,58.5,56.5,,
401872615,2026,1,South Dakota State,Stetson,Draft Kings,-50.5,South Dakota State -50.5,,58.5,,,
401868149,2026,1,North Alabama,Samford,DraftKings,-7.0,North Alabama -7,-7.5,55.5,55.5,-313.0,239.0
401868149,2026,1,North Alabama,Samford,Draft Kings,-7.0,North Alabama -7,,55.5,,,
401868305,2026,1,McNeese,Stephen F. Austin,DraftKings,12.5,Stephen F. Austin -12.5,13.5,49.5,49.5,328.0,-453.0
401868305,2026,1,McNeese,Stephen F. Austin,Draft Kings,12.5,Stephen F. Austin -12.5,,49.5,,,
401868118,2026,1,Utah Tech,Montana State,DraftKings,32.5,Montana State -32.5,31.5,57.5,56.5,,
401868118,2026,1,Utah Tech,Montana State,Draft Kings,32.5,Montana State -32.5,,57.5,,,
401868154,2026,1,Portland State,UC Davis,DraftKings,25.5,UC Davis -25.5,24.5,60.5,62.5,1300.0,-5400.0
401868154,2026,1,Portland State,UC Davis,Draft Kings,25.5,UC Davis -25.5,,60.5,,,
401868194,2026,1,Tennessee State,Jackson State,DraftKings,12.5,Jackson State -12.5,15.5,49.5,49.5,435.0,-650.0
401868194,2026,1,Tennessee State,Jackson State,Draft Kings,12.5,Jackson State -12.5,,49.5,,,
401868261,2026,1,New Haven,Marist,DraftKings,-2.5,New Haven -2.5,1.5,46.5,44.5,-145.0,116.0
401868261,2026,1,New Haven,Marist,Draft Kings,-2.5,New Haven -2.5,,46.5,,,
401868007,2026,1,Fordham,Colgate,DraftKings,8.5,Colgate -8.5,10.0,55.5,50.5,242.0,-318.0
401868007,2026,1,Fordham,Colgate,Draft Kings,8.5,Colgate -8.5,,55.5,,,
401868073,2026,1,Cal Poly,Idaho,DraftKings,5.5,Idaho -5.5,3.5,53.5,55.5,172.0,-219.0
401868073,2026,1,Cal Poly,Idaho,Draft Kings,5.5,Idaho -5.5,,53.5,,,
401864577,2026,1,North Dakota State,Jacksonville State,Draft Kings,-6.5,North Dakota State -6.5,,46.5,,,
401864577,2026,1,North Dakota State,Jacksonville State,Bovada,-7.0,North Dakota State -7.0,-10.0,46.5,48.5,-330.0,265.0
401864577,2026,1,North Dakota State,Jacksonville State,DraftKings,-6.5,North Dakota State -6.5,-10.0,46.5,,-265.0,215.0
401856766,2026,1,TCU,North Carolina,Draft Kings,-7.5,TCU -7.5,,46.5,,,
401856766,2026,1,TCU,North Carolina,DraftKings,-7.5,TCU -7.5,,46.5,,-310.0,250.0
401856766,2026,1,TCU,North Carolina,Bovada,-7.5,TCU -7.5,-7.5,46.0,50.5,-235.0,195.0
401864494,2026,1,USC,San José State,Draft Kings,-37.5,USC -37.5,,61.5,,,
401864494,2026,1,USC,San José State,DraftKings,-37.5,USC -37.5,-35.5,61.5,,-100000.0,5000.0
401864494,2026,1,USC,San José State,Bovada,-37.0,USC -37.0,-35.5,60.5,57.5,-100000.0,3500.0
401866408,2026,1,Eastern Michigan,Sacramento State,Draft Kings,-9.5,Eastern Michigan -9.5,,52.5,,,
401866408,2026,1,Eastern Michigan,Sacramento State,DraftKings,-8.5,Eastern Michigan -8.5,-8.5,52.5,,-355.0,280.0
401866408,2026,1,Eastern Michigan,Sacramento State,Bovada,-9.0,Eastern Michigan -9.0,-8.5,53.0,52.5,-330.0,265.0
401864570,2026,1,Florida State,New Mexico State,Draft Kings,-30.5,Florida State -30.5,,53.5,,,
401864570,2026,1,Florida State,New Mexico State,DraftKings,-31.5,Florida State -31.5,-28.5,53.5,,-8000.0,2200.0
401864570,2026,1,Florida State,New Mexico State,Bovada,-31.0,Florida State -31.0,-29.5,53.5,53.5,-100000.0,2800.0
401866615,2026,1,Delaware State,Stony Brook,Draft Kings,4.5,Stony Brook -4.5,,50.5,,,
