year,team,conference,division,ranking,rating
2019,LSU,SEC,West,1,34.190488393092
2019,Ohio State,Big Ten,East,2,32.7805589509572
2019,Alabama,SEC,West,3,28.8471354077853
2019,Clemson,ACC,Atlantic,4,28.6333665588542
2019,Auburn,SEC,West,5,22.0979621711972
2019,Georgia,SEC,East,6,21.7080707239678
2019,Oregon,Pac-12,North,7,20.9534920860063
2019,Oklahoma,Big 12,,8,20.0669936165283
2019,Penn State,Big Ten,East,9,19.9825139334961
2019,Wisconsin,Big Ten,West,10,19.8835063272648
2019,Florida,SEC,East,11,19.8157293741929
2019,Utah,Pac-12,South,12,18.8141079482363
2019,Notre Dame,FBS Independents,,13,18.8069051499439
2019,Michigan,Big Ten,East,14,18.0934383490598
2019,Texas,Big 12,,15,15.9715403557231
2019,Iowa,Big Ten,West,16,15.7369192549828
2019,Washington,Pac-12,North,17,15.6389857367824
2019,Minnesota,Big Ten,West,18,15.201015944865
2019,Baylor,Big 12,,19,14.6776936441665
2019,Memphis,American Athletic,West,20,14.4105350268685
2019,Iowa State,Big 12,,21,13.6365484787066
2019,UCF,American Athletic,East,22,13.2815235657011
2019,Navy,American Athletic,West,23,12.902487989567
2019,Texas A&M,SEC,West,24,12.0703178880482
2019,App State,Sun Belt,West,25,11.49428224091
2019,Oklahoma State,Big 12,,26,10.7794080025893
2019,Kansas State,Big 12,,27,10.3885375186749
2019,Air Force,Mountain West,Mountain,28,10.1848820707413
2019,TCU,Big 12,,29,9.61554519755423
2019,USC,Pac-12,South,30,9.48801154954635
2019,Cincinnati,American Athletic,East,31,8.91577054764879
2019,Boise State,Mountain West,Mountain,32,8.8630038098182
2019,Florida Atlantic,Conference USA,East,33,8.14725637914066
2019,Louisiana,Sun Belt,East,34,7.73557326547729
2019,North Carolina,ACC,Coastal,35,7.70020704989305
2019,SMU,American Athletic,West,36,7.66547556586291
2019,Indiana,Big Ten,East,37,6.75594075564415
2019,Washington State,Pac-12,North,38,6.6872375695115
2019,Ole Miss,SEC,West,39,6.5414407255494
2019,Virginia,ACC,Coastal,40,6.32897286307757
2019,Arizona State,Pac-12,South,41,5.7264481097762
2019,Kentucky,SEC,East,42,5.56595823986507
2019,Michigan State,Big Ten,East,43,5.13204888707473
2019,Mississippi State,SEC,West,44,4.95551011615039
2019,Tulane,American Athletic,West,45,4.66752134173868
2019,Virginia Tech,ACC,Coastal,46,4.52435830436928
2019,Missouri,SEC,East,47,4.42704584952078
2019,California,Pac-12,North,48,4.22459267942796
2019,Tennessee,SEC,East,49,3.47974874173137
2019,Nebraska,Big Ten,West,50,3.22652001650201
2019,Oregon State,Pac-12,North,51,2.96911413042638
2019,Wyoming,Mountain West,Mountain,52,2.53874839032514
2019,Texas Tech,Big 12,,53,2.34908425964726
2019,South Carolina,SEC,East,54,2.05706476931039
2019,San Diego State,Mountain West,West,55,1.70127521494756
2019,Miami,ACC,Coastal,56,1.05635215855028
2019,Wake Forest,ACC,Atlantic,57,0.56055813753928
2019,Florida State,ACC,Atlantic,58,0.175508818163483
2019,Louisville,ACC,Atlantic,59,0.0896302208728734
2019,Western Kentucky,Conference USA,East,60,-0.035878249679504
2019,Houston,American Athletic,West,61,-0.133536026187489
2019,Tulsa,American Athletic,West,62,-0.13469807580217
2019,Illinois,Big Ten,West,63,-0.433716799395963
2019,Purdue,Big Ten,West,64,-0.506503286200189
2019,Pittsburgh,ACC,Coastal,65,-0.512775642268727
2019,Buffalo,Mid-American,East,66,-0.968277285649364
2019,Georgia Southern,Sun Belt,West,67,-0.992513817782303
2019,BYU,FBS Independents,,68,-0.994033827030879
2019,UCLA,Pac-12,South,69,-1.49285755198923
2019,West Virginia,Big 12,,70,-1.65326365586264
2019,Stanford,Pac-12,North,71,-1.93369479467345
2019,Colorado,Pac-12,South,72,-2.16653795890312
2019,Duke,ACC,Coastal,73,-2.24152948672034
2019,Hawai'i,Mountain West,West,74,-2.32985511463356
2019,Louisiana Tech,Conference USA,West,75,-2.6345215535332
2019,Temple,American Athletic,East,76,-2.70400330768599
2019,Boston College,ACC,Atlantic,77,-2.930569849568
2019,Northwestern,Big Ten,West,78,-3.18719525619147
2019,Western Michigan,Mid-American,West,79,-4.47798514699649
2019,Fresno State,Mountain West,West,80,-4.562567452113
2019,Ohio,Mid-American,East,81,-4.65826860635346
2019,Marshall,Conference USA,East,82,-4.73135639816282
2019,Southern Miss,Conference USA,West,83,-4.92522683530198
2019,Ball State,Mid-American,West,84,-4.92882063627341
2019,Kansas,Big 12,,85,-5.10451732673936
2019,Utah State,Mountain West,Mountain,86,-5.31912166138565
2019,Arizona,Pac-12,South,87,-5.40760923634348
2019,Arkansas State,Sun Belt,East,88,-5.56946301077343
2019,Maryland,Big Ten,East,89,-5.61821208260241
2019,Army,FBS Independents,,90,-5.82356546170199
2019,Central Michigan,Mid-American,West,91,-6.31056022647799
2019,Syracuse,ACC,Atlantic,92,-6.54734148156173
2019,Liberty,FBS Independents,,93,-6.70496801359241
2019,Miami (OH),Mid-American,East,94,-6.96885315720611
2019,Kent State,Mid-American,East,95,-7.15973160384283
2019,San José State,Mountain West,West,96,-7.5458893056516
2019,Arkansas,SEC,West,97,-7.61544434318696
2019,Middle Tennessee,Conference USA,East,98,-7.62081411489303
2019,UAB,Conference USA,West,99,-7.93476463878105
2019,South Florida,American Athletic,East,100,-8.30344346112474
2019,UL Monroe,Sun Belt,East,101,-8.99626427272955
2019,Eastern Michigan,Mid-American,West,102,-9.34914397174972
2019,Troy,Sun Belt,East,103,-9.62639900880947
2019,Colorado State,Mountain West,Mountain,104,-9.88397901093365
2019,Charlotte,Conference USA,East,105,-10.3141019386457
2019,Georgia State,Sun Belt,West,106,-10.332522257494
2019,Georgia Tech,ACC,Coastal,107,-10.8003821863589
2019,Coastal Carolina,Sun Belt,West,108,-11.0512081622924
2019,Florida International,Conference USA,East,109,-11.4584116326066
2019,North Texas,Conference USA,West,110,-11.7634565566406
2019,NC State,ACC,Atlantic,111,-11.9937798108604
2019,Vanderbilt,SEC,East,112,-12.6141496123544
2019,Nevada,Mountain West,West,113,-12.6267271141671
2019,Rice,Conference USA,West,114,-13.4960798986601
2019,Northern Illinois,Mid-American,West,115,-14.5149803158615
2019,East Carolina,American Athletic,East,116,-15.2304708951631
2019,Toledo,Mid-American,West,117,-16.1869212944438
2019,UNLV,Mountain West,West,118,-16.5197089510661
2019,Rutgers,Big Ten,East,119,-16.7145216707776
2019,South Alabama,Sun Belt,East,120,-17.2125553365351
2019,New Mexico,Mountain West,Mountain,121,-17.6413769450037
2019,Texas State,Sun Belt,East,122,-18.7530922452737
2019,Old Dominion,Conference USA,East,123,-19.7657550858911
2019,New Mexico State,FBS Independents,,124,-20.0381455955055
2019,UTSA,Conference USA,West,125,-21.0980956234575
2019,UConn,American Athletic,East,126,-23.1682868790464
2019,UTEP,Conference USA,West,127,-28.1309497388774
2019,Bowling Green,Mid-American,East,128,-28.5345804539312
2019,Akron,Mid-American,East,129,-34.7107087873593
2019,Massachusetts,FBS Independents,,130,-40.5692293802525
