season,conference,team,offense,defense
2020,Mountain West,Air Force,"{'overall': 0.31, 'passing': 0.45, 'rushing': 0.28, 'firstDown': 0.23, 'secondDown': 0.24, 'thirdDown': 0.63, 'cumulative': {'total': 116, 'passing': 27.74, 'rushing': 88.3}}","{'overall': 0.1, 'passing': 0.19, 'rushing': 0.04, 'firstDown': -0.12, 'secondDown': 0.28, 'thirdDown': 0.36, 'cumulative': {'total': 37.4, 'passing': 285.5, 'rushing': 8.8}}"
2020,Mid-American,Akron,"{'overall': 0, 'passing': -0.15, 'rushing': 0.15, 'firstDown': -0.16, 'secondDown': -0.12, 'thirdDown': 0.51, 'cumulative': {'total': 1.1, 'passing': -26.25, 'rushing': 27.4}}","{'overall': 0.39, 'passing': 0.48, 'rushing': 0.33, 'firstDown': 0.22, 'secondDown': 0.3, 'thirdDown': 0.91, 'cumulative': {'total': 141.7, 'passing': 655.4, 'rushing': 76.1}}"
2020,SEC,Alabama,"{'overall': 0.43, 'passing': 0.65, 'rushing': 0.22, 'firstDown': 0.28, 'secondDown': 0.47, 'thirdDown': 0.82, 'cumulative': {'total': 388.5, 'passing': 288.92, 'rushing': 99.6}}","{'overall': 0.07, 'passing': 0.09, 'rushing': 0.05, 'firstDown': -0.09, 'secondDown': 0.06, 'thirdDown': 0.42, 'cumulative': {'total': 63.1, 'passing': 436.6, 'rushing': 19.4}}"
2020,Sun Belt,App State,"{'overall': 0.24, 'passing': 0.28, 'rushing': 0.22, 'firstDown': 0.12, 'secondDown': 0.17, 'thirdDown': 0.69, 'cumulative': {'total': 200.6, 'passing': 87.13, 'rushing': 113.5}}","{'overall': 0.08, 'passing': -0.01, 'rushing': 0.16, 'firstDown': -0.09, 'secondDown': 0.04, 'thirdDown': 0.48, 'cumulative': {'total': 61.6, 'passing': -18.9, 'rushing': 67.6}}"
2020,Pac-12,Arizona,"{'overall': 0.05, 'passing': 0.02, 'rushing': 0.09, 'firstDown': 0, 'secondDown': 0.05, 'thirdDown': 0.27, 'cumulative': {'total': 17.8, 'passing': 3.21, 'rushing': 14.6}}","{'overall': 0.27, 'passing': 0.47, 'rushing': 0.16, 'firstDown': 0.07, 'secondDown': 0.29, 'thirdDown': 0.73, 'cumulative': {'total': 94.3, 'passing': 588.1, 'rushing': 35.5}}"
2020,Pac-12,Arizona State,"{'overall': 0.28, 'passing': 0.29, 'rushing': 0.28, 'firstDown': 0.17, 'secondDown': 0.28, 'thirdDown': 0.58, 'cumulative': {'total': 72, 'passing': 26.52, 'rushing': 45.5}}","{'overall': 0.12, 'passing': 0.15, 'rushing': 0.09, 'firstDown': -0.05, 'secondDown': 0, 'thirdDown': 0.52, 'cumulative': {'total': 38.4, 'passing': 252.2, 'rushing': 14.8}}"
2020,SEC,Arkansas,"{'overall': 0.2, 'passing': 0.34, 'rushing': 0.08, 'firstDown': 0.17, 'secondDown': 0.13, 'thirdDown': 0.35, 'cumulative': {'total': 133.3, 'passing': 106.83, 'rushing': 28.8}}","{'overall': 0.16, 'passing': 0.2, 'rushing': 0.12, 'firstDown': 0.1, 'secondDown': 0.03, 'thirdDown': 0.53, 'cumulative': {'total': 128.3, 'passing': 787.6, 'rushing': 49.5}}"
2020,Sun Belt,Arkansas State,"{'overall': 0.24, 'passing': 0.42, 'rushing': 0.01, 'firstDown': 0.05, 'secondDown': 0.27, 'thirdDown': 0.55, 'cumulative': {'total': 207.1, 'passing': 205.07, 'rushing': 3.8}}","{'overall': 0.2, 'passing': 0.41, 'rushing': 0.01, 'firstDown': 0.03, 'secondDown': 0.29, 'thirdDown': 0.52, 'cumulative': {'total': 165.3, 'passing': 1639.6, 'rushing': 3}}"
2020,FBS Independents,Army,"{'overall': 0.17, 'passing': 0.12, 'rushing': 0.18, 'firstDown': -0.02, 'secondDown': 0.17, 'thirdDown': 0.41, 'cumulative': {'total': 134.4, 'passing': 9.94, 'rushing': 124.5}}","{'overall': 0.03, 'passing': 0.15, 'rushing': -0.07, 'firstDown': -0.06, 'secondDown': -0.13, 'thirdDown': 0.47, 'cumulative': {'total': 22.2, 'passing': 481.2, 'rushing': -24}}"
2020,SEC,Auburn,"{'overall': 0.19, 'passing': 0.18, 'rushing': 0.19, 'firstDown': 0.09, 'secondDown': 0.15, 'thirdDown': 0.51, 'cumulative': {'total': 140.1, 'passing': 70.12, 'rushing': 70}}","{'overall': 0.21, 'passing': 0.29, 'rushing': 0.13, 'firstDown': 0.01, 'secondDown': 0.14, 'thirdDown': 0.67, 'cumulative': {'total': 162.2, 'passing': 1117, 'rushing': 50.5}}"
2020,Mid-American,Ball State,"{'overall': 0.21, 'passing': 0.34, 'rushing': 0.1, 'firstDown': 0.04, 'secondDown': 0.16, 'thirdDown': 0.67, 'cumulative': {'total': 127.7, 'passing': 96.23, 'rushing': 32.5}}","{'overall': 0.14, 'passing': 0.25, 'rushing': 0.01, 'firstDown': 0.11, 'secondDown': 0.23, 'thirdDown': 0.22, 'cumulative': {'total': 81.9, 'passing': 802.7, 'rushing': 2.8}}"
2020,Big 12,Baylor,"{'overall': 0.06, 'passing': 0.11, 'rushing': -0.01, 'firstDown': -0.15, 'secondDown': -0.03, 'thirdDown': 0.41, 'cumulative': {'total': 34.7, 'passing': 38.55, 'rushing': -3.9}}","{'overall': 0.15, 'passing': 0.17, 'rushing': 0.13, 'firstDown': -0.04, 'secondDown': 0.31, 'thirdDown': 0.23, 'cumulative': {'total': 90.9, 'passing': 469.5, 'rushing': 45.7}}"
2020,Mountain West,Boise State,"{'overall': 0.18, 'passing': 0.33, 'rushing': 0.02, 'firstDown': 0.01, 'secondDown': 0.24, 'thirdDown': 0.4, 'cumulative': {'total': 81.7, 'passing': 77.2, 'rushing': 4.5}}","{'overall': 0.18, 'passing': 0.26, 'rushing': 0.11, 'firstDown': -0.01, 'secondDown': 0.25, 'thirdDown': 0.34, 'cumulative': {'total': 89.8, 'passing': 592.4, 'rushing': 30.6}}"
2020,ACC,Boston College,"{'overall': 0.2, 'passing': 0.38, 'rushing': -0.02, 'firstDown': -0.01, 'secondDown': 0.23, 'thirdDown': 0.61, 'cumulative': {'total': 150, 'passing': 157.82, 'rushing': -7.8}}","{'overall': 0.22, 'passing': 0.34, 'rushing': 0.13, 'firstDown': 0.13, 'secondDown': 0.16, 'thirdDown': 0.41, 'cumulative': {'total': 164.4, 'passing': 1266.4, 'rushing': 47.2}}"
2020,Mid-American,Bowling Green,"{'overall': 0.02, 'passing': -0.11, 'rushing': 0.11, 'firstDown': 0.01, 'secondDown': 0.09, 'thirdDown': 0.1, 'cumulative': {'total': 5, 'passing': -14.41, 'rushing': 19.4}}","{'overall': 0.34, 'passing': 0.3, 'rushing': 0.36, 'firstDown': 0.1, 'secondDown': 0.38, 'thirdDown': 0.84, 'cumulative': {'total': 121.3, 'passing': 354.6, 'rushing': 85.8}}"
2020,Mid-American,Buffalo,"{'overall': 0.37, 'passing': 0.43, 'rushing': 0.34, 'firstDown': 0.17, 'secondDown': 0.55, 'thirdDown': 0.6, 'cumulative': {'total': 171.1, 'passing': 66.75, 'rushing': 104.4}}","{'overall': 0.09, 'passing': 0.06, 'rushing': 0.12, 'firstDown': 0.03, 'secondDown': 0.06, 'thirdDown': 0.3, 'cumulative': {'total': 45.2, 'passing': 133.4, 'rushing': 31.9}}"
