year,team,rank,points
2016,Alabama,1,302.04
2016,LSU,2,295.03
2016,Florida State,3,294.83
2016,Ohio State,4,289.12
2016,Ole Miss,5,281.69
2016,Georgia,6,281.31
2016,Texas,7,280.66
2016,Michigan,8,280.38
2016,Auburn,9,275.14
2016,USC,10,273.71
2016,Clemson,11,271.16
2016,Florida,12,260.96
2016,UCLA,13,259.06
2016,Tennessee,14,253.94
2016,Notre Dame,15,249.43
2016,Stanford,16,245.82
2016,Michigan State,17,239.13
2016,Texas A&M,18,238.94
2016,Oklahoma,19,238.73
2016,Penn State,20,237.79
2016,TCU,21,235.79
2016,Miami,22,231.78
2016,Arkansas,23,219.34
2016,Arizona State,24,217.62
2016,South Carolina,25,216.77
2016,Nebraska,26,216.76
2016,Oregon,27,216.42
2016,Mississippi State,28,211.11
2016,Washington,29,209.87
2016,Pittsburgh,30,209.23
2016,California,31,207.8
2016,North Carolina,32,204.83
2016,Duke,33,204.67
2016,Kentucky,34,204.07
2016,Wisconsin,35,202.85
2016,Houston,36,201.5
2016,Utah,37,200.66
2016,Louisville,38,196.02
2016,West Virginia,39,194.45
2016,Baylor,40,191.99
2016,Maryland,41,190.15
2016,Virginia Tech,42,190.06
2016,Missouri,43,188.37
2016,Texas Tech,44,184.64
2016,Oklahoma State,45,184.33
2016,Minnesota,46,182.22
2016,Iowa,47,181.39
2016,Arizona,48,180.42
2016,BYU,49,177.85
2016,NC State,50,177.67
2016,Marshall,51,176.55
2016,Northwestern,52,174.91
2016,Indiana,53,172.23
2016,Vanderbilt,54,171.54
2016,Iowa State,55,170.58
2016,Washington State,56,169.74
2016,Wake Forest,57,169.4
2016,Oregon State,58,169.17
2016,Temple,59,167.55
2016,Georgia Tech,60,167.13
2016,Memphis,61,165.98
2016,Syracuse,62,165.15
2016,Virginia,63,164.95
2016,Rutgers,64,163.8
2016,UCF,65,162.22
2016,South Florida,66,161.21
2016,Western Michigan,67,160.72
2016,Boise State,68,160.66
2016,Colorado,69,160.42
2016,Kansas,70,159.19
2016,UAB,71,158.61
2016,Kansas State,72,155.49
2016,Illinois,73,153.64
2016,Cincinnati,74,152.74
2016,SMU,75,152.27
2016,Colorado State,76,150.5
2016,Georgia Southern,77,149.4
2016,Boston College,78,146.69
2016,East Carolina,79,146.62
2016,Purdue,80,145.09
