season,team
2022,Sam Houston
2022,Jacksonville State
2022,Akron
2022,Air Force
2022,App State
2022,Arizona
2022,Arkansas State
2022,Auburn
2022,Ball State
2022,Baylor
2022,Boise State
2022,Buffalo
2022,BYU
2022,California
2022,Central Michigan
2022,Charlotte
2022,Cincinnati
2022,Colorado
2022,Colorado State
2022,Duke
2022,East Carolina
2022,Eastern Michigan
2022,Florida
2022,Florida Atlantic
2022,South Alabama
2022,Bowling Green
2022,UL Monroe
2022,Georgia
2022,Hawai'i
2022,Iowa
2022,Iowa State
2022,James Madison
2022,Kansas
2022,Kent State
2022,Louisiana
2022,Louisiana Tech
2022,Marshall
2022,Miami
2022,Miami (OH)
2022,Michigan
2022,Michigan State
2022,Mississippi State
2022,Navy
2022,NC State
2022,Nevada
2022,New Mexico State
2022,Notre Dame
2022,Ohio
2022,Ohio State
2022,Oklahoma State
2022,Ole Miss
2022,Oregon
2022,Oregon State
2022,Penn State
2022,Purdue
2022,Rice
2022,Rutgers
2022,SMU
2022,New Mexico
2022,South Carolina
2022,Southern Miss
2022,South Florida
2022,Stanford
2022,TCU
2022,Temple
2022,Tennessee
2022,Texas A&M
2022,Texas Tech
2022,Toledo
2022,UAB
2022,UCLA
2022,Massachusetts
2022,UNLV
2022,USC
2022,UTSA
2022,Virginia
2022,Virginia Tech
2022,Washington
2022,Western Michigan
2022,Wisconsin
2022,Wyoming
2022,San Diego State
2022,Utah
2022,Wake Forest
2022,UCF
2022,Tulane
2022,Tulsa
2022,Texas
2022,West Virginia
2022,Vanderbilt
2022,Washington State
2022,Syracuse
2022,Troy
2022,Utah State
2022,Texas State
2022,Western Kentucky
2022,UTEP
2022,Northwestern
2022,Florida International
2022,Missouri
2022,Minnesota
2022,Illinois
2022,San José State
2022,Oklahoma
2022,Army
2022,Alabama
2022,Kansas State
2022,Maryland
2022,Louisville
2022,Pittsburgh
2022,Indiana
2022,Nebraska
2022,Northern Illinois
2022,Georgia Southern
2022,Liberty
2022,Houston
2022,Middle Tennessee
2022,Memphis
2022,Kentucky
2022,Georgia Tech
2022,Arizona State
2022,UConn
2022,Boston College
2022,North Carolina
2022,Old Dominion
2022,Coastal Carolina
2022,Georgia State
2022,Kennesaw State
2022,LSU
2022,North Texas
2022,Clemson
2022,Fresno State
2022,Arkansas
2022,Florida State
