year,team,conference,division,ranking,rating
2024,Ohio State,Big Ten,,1,24.6
2024,Notre Dame,FBS Independents,,2,22.0
2024,Texas,SEC,,3,19.4
2024,Penn State,Big Ten,,4,19.3
2024,Ole Miss,SEC,,5,19.2
2024,Alabama,SEC,,6,18.1
2024,Indiana,Big Ten,,7,17.7
2024,Oregon,Big Ten,,8,17.1
2024,Georgia,SEC,,9,16.3
2024,South Carolina,SEC,,10,15.8
2024,SMU,ACC,,11,15.7
2024,Miami,ACC,,12,15.5
2024,Louisville,ACC,,13,15.4
2024,BYU,Big 12,,14,14.8
2024,Tennessee,SEC,,15,14.3
2024,Arizona State,Big 12,,16,13.4
2024,LSU,SEC,,17,12.9
2024,Colorado,Big 12,,18,12.7
2024,Minnesota,Big Ten,,19,12.6
2024,Iowa,Big Ten,,20,12.4
2024,Texas A&M,SEC,,21,12.2
2024,USC,Big Ten,,22,12.1
2024,Clemson,ACC,,23,11.9
2024,Kansas State,Big 12,,24,11.8
2024,Florida,SEC,,25,11.7
2024,Baylor,Big 12,,26,11.5
2024,Iowa State,Big 12,,27,11.2
2024,Kansas,Big 12,,28,10.8
2024,Virginia Tech,ACC,,29,10.4
2024,Boise State,Mountain West,,30,9.9
2024,TCU,Big 12,,31,9.2
2024,Michigan,Big Ten,,32,8.9
2024,Missouri,SEC,,32,8.9
2024,Illinois,Big Ten,,34,8.8
2024,Nebraska,Big Ten,,35,8.5
2024,Tulane,American Athletic,,36,7.4
2024,Vanderbilt,SEC,,36,7.4
2024,UNLV,Mountain West,,38,7.2
2024,Oklahoma,SEC,,39,7.0
2024,Army,American Athletic,,40,6.6
2024,Auburn,SEC,,41,6.3
2024,UCF,Big 12,,42,6.2
2024,Boston College,ACC,,43,6.1
2024,Arkansas,SEC,,43,6.1
2024,Utah,Big 12,,43,6.1
2024,Syracuse,ACC,,46,6.0
2024,Navy,American Athletic,,47,5.7
2024,Georgia Tech,ACC,,48,5.5
2024,Rutgers,Big Ten,,49,5.1
2024,Washington,Big Ten,,50,4.8
2024,Pittsburgh,ACC,,51,4.5
2024,Cincinnati,Big 12,,52,4.4
2024,Wisconsin,Big Ten,,53,4.0
2024,Texas Tech,Big 12,,54,3.9
2024,Marshall,Sun Belt,East,55,3.5
2024,Memphis,American Athletic,,56,3.2
2024,Kentucky,SEC,,57,3.0
2024,UCLA,Big Ten,,58,2.1
2024,California,ACC,,59,1.8
2024,Ohio,Mid-American,,60,1.7
2024,Duke,ACC,,61,1.6
2024,James Madison,Sun Belt,East,62,1.3
2024,West Virginia,Big 12,,63,1.2
2024,Texas State,Sun Belt,West,64,0.9
2024,South Dakota State,MVFC,,65,0.7
2024,North Carolina,ACC,,65,0.7
2024,Miami (OH),Mid-American,,67,-0.1
2024,North Dakota State,MVFC,,67,-0.1
2024,Montana State,Big Sky,,69,-0.2
2024,Washington State,Pac-12,,70,-0.3
2024,UConn,FBS Independents,,71,-1.1
