season,team
2024,Sam Houston
2024,Jacksonville State
2024,Akron
2024,Air Force
2024,App State
2024,Arizona
2024,Arkansas State
2024,Auburn
2024,Ball State
2024,Baylor
2024,Boise State
2024,Buffalo
2024,BYU
2024,California
2024,Central Michigan
2024,Charlotte
2024,Cincinnati
2024,Colorado
2024,Colorado State
2024,Duke
2024,East Carolina
2024,Eastern Michigan
2024,Florida
2024,Florida Atlantic
2024,South Alabama
2024,Bowling Green
2024,UL Monroe
2024,Georgia
2024,Hawai'i
2024,Iowa
2024,Iowa State
2024,James Madison
2024,Kansas
2024,Kent State
2024,Louisiana
2024,Louisiana Tech
2024,Marshall
2024,Miami
2024,Miami (OH)
2024,Michigan
2024,Michigan State
2024,Mississippi State
2024,Navy
2024,NC State
2024,Nevada
2024,New Mexico State
2024,Notre Dame
2024,Ohio
2024,Ohio State
2024,Oklahoma State
2024,Ole Miss
2024,Oregon
2024,Oregon State
2024,Penn State
2024,Purdue
2024,Rice
2024,Rutgers
2024,SMU
2024,New Mexico
2024,South Carolina
2024,Southern Miss
2024,South Florida
2024,Stanford
2024,TCU
2024,Temple
2024,Tennessee
2024,Texas A&M
2024,Texas Tech
2024,Toledo
2024,UAB
2024,UCLA
2024,Massachusetts
2024,UNLV
2024,USC
2024,UTSA
2024,Virginia
2024,Virginia Tech
2024,Washington
2024,Western Michigan
2024,Wisconsin
2024,Wyoming
2024,San Diego State
2024,Utah
2024,Wake Forest
2024,UCF
2024,Tulane
2024,Tulsa
2024,Texas
2024,West Virginia
2024,Vanderbilt
2024,Washington State
2024,Syracuse
2024,Troy
2024,Utah State
2024,Texas State
2024,Western Kentucky
2024,UTEP
2024,Northwestern
2024,Florida International
2024,Missouri
2024,Minnesota
2024,Illinois
2024,San José State
2024,Oklahoma
2024,Army
2024,Alabama
2024,Kansas State
2024,Maryland
2024,Louisville
2024,Pittsburgh
2024,Indiana
2024,Nebraska
2024,Northern Illinois
2024,Georgia Southern
2024,Liberty
2024,Houston
2024,Middle Tennessee
2024,Memphis
2024,Kentucky
2024,Georgia Tech
2024,Arizona State
2024,UConn
2024,Boston College
2024,North Carolina
2024,Old Dominion
2024,Coastal Carolina
2024,Georgia State
2024,Kennesaw State
2024,LSU
2024,North Texas
2024,Clemson
2024,Fresno State
2024,Arkansas
2024,Florida State
