game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401117494,2019,1,Air Force,Mountain West,Colgate,0.45,3.75,0.4,-0.01,0.1,-0.09
401112145,2019,1,Akron,Mid-American,Illinois,-0.16,-0.2,-0.19,0.29,0.4,0.23
401110720,2019,1,Alabama,SEC,Duke,0.42,0.84,0.02,-0.24,-0.21,-0.24
401121934,2019,1,App State,Sun Belt,East Tennessee State,0.47,0.6,0.39,-0.02,0.16,-0.16
401114164,2019,1,Arizona,Pac-12,Hawai'i,0.35,0.44,0.14,0.29,0.45,0.06
401114153,2019,1,Arizona State,Pac-12,Kent State,0.23,0.7,-0.08,-0.14,-0.08,-0.17
401110721,2019,1,Arkansas,SEC,Portland State,0.13,0.08,0.22,0.03,-0.06,0.14
401117858,2019,1,Arkansas State,Sun Belt,SMU,0.12,0.16,0.04,0.11,0.21,0.09
401114238,2019,1,Army,FBS Independents,Rice,0.14,0.39,0.11,0.02,-0.29,0.17
401110722,2019,1,Auburn,SEC,Oregon,0.05,-0.12,0.19,0.12,0.23,-0.04
401112157,2019,1,Ball State,Mid-American,Indiana,0.1,0.19,0.03,0.22,0.23,0.2
401112073,2019,1,Baylor,Big 12,Stephen F. Austin,0.44,0.46,0.43,0.1,0.05,0.16
401112431,2019,1,Boise State,Mountain West,Florida State,0.15,0.28,0.01,0.23,0.45,-0.13
401112435,2019,1,Boston College,ACC,Virginia Tech,0.16,0.53,-0.06,0.16,0.33,-0.06
401119254,2019,1,Bowling Green,Mid-American,Morgan State,0.26,0.41,0.18,-0.33,-0.49,-0.17
401119255,2019,1,Buffalo,Mid-American,Robert Morris,0.41,0.32,0.4,-0.02,0.52,-0.15
401114223,2019,1,BYU,FBS Independents,Utah,-0.19,-0.3,-0.04,0.24,0.27,0.24
401114174,2019,1,California,Pac-12,UC Davis,0.1,0.41,-0.09,-0.06,-0.11,0.0
401119253,2019,1,Central Michigan,Mid-American,UAlbany,0.32,0.55,0.11,-0.05,0.34,-0.56
401135910,2019,1,Charlotte,Conference USA,Gardner-Webb,0.39,0.42,0.38,0.0,-0.24,0.18
401117854,2019,1,Cincinnati,American Athletic,UCLA,0.16,0.78,-0.19,0.05,0.01,0.09
401111653,2019,1,Clemson,ACC,Georgia Tech,0.43,0.21,0.55,-0.04,-0.17,0.03
401119256,2019,1,Coastal Carolina,Sun Belt,Eastern Michigan,0.15,0.32,-0.17,0.23,0.75,-0.07
401114184,2019,1,Colorado,Pac-12,Colorado State,0.46,0.8,0.29,0.2,0.38,-0.11
401114184,2019,1,Colorado State,Mountain West,Colorado,0.2,0.38,-0.11,0.46,0.8,0.29
401110720,2019,1,Duke,ACC,Alabama,-0.24,-0.21,-0.24,0.42,0.84,0.02
401112432,2019,1,East Carolina,American Athletic,NC State,-0.11,0.05,-0.44,0.29,0.34,0.28
