season,conference,team,offense,defense
2019,Mountain West,Air Force,"{'overall': 0.28, 'passing': 0.73, 'rushing': 0.2, 'firstDown': 0.14, 'secondDown': 0.3, 'thirdDown': 0.55, 'cumulative': {'total': 248.5, 'passing': 94.32, 'rushing': 154.1}}","{'overall': 0.12, 'passing': 0.22, 'rushing': 0.01, 'firstDown': -0.03, 'secondDown': 0.13, 'thirdDown': 0.49, 'cumulative': {'total': 89.7, 'passing': 874.3, 'rushing': 2.9}}"
2019,Mid-American,Akron,"{'overall': -0.07, 'passing': -0.02, 'rushing': -0.17, 'firstDown': -0.29, 'secondDown': 0.01, 'thirdDown': 0.24, 'cumulative': {'total': -53, 'passing': -9.12, 'rushing': -45.4}}","{'overall': 0.2, 'passing': 0.31, 'rushing': 0.14, 'firstDown': 0.07, 'secondDown': 0.11, 'thirdDown': 0.61, 'cumulative': {'total': 175.7, 'passing': 970.3, 'rushing': 79.2}}"
2019,SEC,Alabama,"{'overall': 0.4, 'passing': 0.62, 'rushing': 0.21, 'firstDown': 0.3, 'secondDown': 0.41, 'thirdDown': 0.65, 'cumulative': {'total': 341.2, 'passing': 258.2, 'rushing': 87.1}}","{'overall': 0, 'passing': 0.02, 'rushing': 0.01, 'firstDown': -0.03, 'secondDown': -0.04, 'thirdDown': 0.22, 'cumulative': {'total': -4.4, 'passing': 102.8, 'rushing': 3.9}}"
2019,Sun Belt,App State,"{'overall': 0.27, 'passing': 0.37, 'rushing': 0.2, 'firstDown': 0.04, 'secondDown': 0.31, 'thirdDown': 0.67, 'cumulative': {'total': 262.6, 'passing': 143.1, 'rushing': 115.4}}","{'overall': 0.07, 'passing': 0.12, 'rushing': 0.02, 'firstDown': -0.1, 'secondDown': 0.13, 'thirdDown': 0.26, 'cumulative': {'total': 69.6, 'passing': 590, 'rushing': 6.8}}"
2019,Pac-12,Arizona,"{'overall': 0.22, 'passing': 0.24, 'rushing': 0.2, 'firstDown': 0.05, 'secondDown': 0.14, 'thirdDown': 0.61, 'cumulative': {'total': 191.4, 'passing': 107.56, 'rushing': 83.9}}","{'overall': 0.24, 'passing': 0.35, 'rushing': 0.18, 'firstDown': 0.1, 'secondDown': 0.29, 'thirdDown': 0.7, 'cumulative': {'total': 221.2, 'passing': 1559.9, 'rushing': 77.9}}"
2019,Pac-12,Arizona State,"{'overall': 0.13, 'passing': 0.29, 'rushing': -0.01, 'firstDown': -0.06, 'secondDown': 0.15, 'thirdDown': 0.43, 'cumulative': {'total': 109.1, 'passing': 118.92, 'rushing': -2.4}}","{'overall': 0.15, 'passing': 0.28, 'rushing': 0.02, 'firstDown': 0.03, 'secondDown': 0.06, 'thirdDown': 0.56, 'cumulative': {'total': 143.7, 'passing': 1361.6, 'rushing': 8}}"
2019,SEC,Arkansas,"{'overall': 0.05, 'passing': 0.02, 'rushing': 0.08, 'firstDown': -0.06, 'secondDown': 0.15, 'thirdDown': 0.16, 'cumulative': {'total': 39, 'passing': 10.38, 'rushing': 27.7}}","{'overall': 0.29, 'passing': 0.43, 'rushing': 0.19, 'firstDown': 0.11, 'secondDown': 0.27, 'thirdDown': 0.73, 'cumulative': {'total': 243.5, 'passing': 1529.3, 'rushing': 87.9}}"
2019,Sun Belt,Arkansas State,"{'overall': 0.21, 'passing': 0.34, 'rushing': 0.07, 'firstDown': 0.08, 'secondDown': 0.14, 'thirdDown': 0.64, 'cumulative': {'total': 194.4, 'passing': 169.91, 'rushing': 27.3}}","{'overall': 0.18, 'passing': 0.21, 'rushing': 0.18, 'firstDown': 0.05, 'secondDown': 0.19, 'thirdDown': 0.53, 'cumulative': {'total': 187.5, 'passing': 1025.6, 'rushing': 95.1}}"
2019,FBS Independents,Army,"{'overall': 0.24, 'passing': 0.04, 'rushing': 0.28, 'firstDown': 0.11, 'secondDown': 0.24, 'thirdDown': 0.42, 'cumulative': {'total': 208, 'passing': 5.85, 'rushing': 203.3}}","{'overall': 0.18, 'passing': 0.28, 'rushing': 0.12, 'firstDown': 0.04, 'secondDown': 0.12, 'thirdDown': 0.58, 'cumulative': {'total': 146.4, 'passing': 961.4, 'rushing': 54.1}}"
2019,SEC,Auburn,"{'overall': 0.19, 'passing': 0.29, 'rushing': 0.13, 'firstDown': 0.09, 'secondDown': 0.17, 'thirdDown': 0.44, 'cumulative': {'total': 184.7, 'passing': 119.21, 'rushing': 69.1}}","{'overall': 0.04, 'passing': 0.12, 'rushing': -0.04, 'firstDown': -0.13, 'secondDown': 0.16, 'thirdDown': 0.26, 'cumulative': {'total': 36.9, 'passing': 577, 'rushing': -16.6}}"
