season,conference,team,offense,defense
2021,Mountain West,Air Force,"{'overall': 0.28, 'passing': 0.51, 'rushing': 0.26, 'firstDown': 0.1, 'secondDown': 0.2, 'thirdDown': 0.61, 'cumulative': {'total': 260.4, 'passing': 59.45, 'rushing': 205.5}}","{'overall': 0.18, 'passing': 0.21, 'rushing': 0.17, 'firstDown': 0.01, 'secondDown': 0.12, 'thirdDown': 0.63, 'cumulative': {'total': 129.9, 'passing': 765.8, 'rushing': 59.3}}"
2021,Mid-American,Akron,"{'overall': 0.15, 'passing': 0.18, 'rushing': 0.12, 'firstDown': -0.01, 'secondDown': 0.1, 'thirdDown': 0.54, 'cumulative': {'total': 114.6, 'passing': 72.45, 'rushing': 45.4}}","{'overall': 0.37, 'passing': 0.39, 'rushing': 0.39, 'firstDown': 0.25, 'secondDown': 0.31, 'thirdDown': 0.82, 'cumulative': {'total': 295.4, 'passing': 1239.5, 'rushing': 184.6}}"
2021,SEC,Alabama,"{'overall': 0.29, 'passing': 0.43, 'rushing': 0.13, 'firstDown': 0.08, 'secondDown': 0.26, 'thirdDown': 0.79, 'cumulative': {'total': 328.5, 'passing': 264.49, 'rushing': 64.7}}","{'overall': 0.06, 'passing': 0.12, 'rushing': -0.02, 'firstDown': -0.07, 'secondDown': 0.04, 'thirdDown': 0.26, 'cumulative': {'total': 54.6, 'passing': 618.6, 'rushing': -6.5}}"
2021,Sun Belt,App State,"{'overall': 0.25, 'passing': 0.39, 'rushing': 0.15, 'firstDown': 0.21, 'secondDown': 0.14, 'thirdDown': 0.43, 'cumulative': {'total': 243.9, 'passing': 165.12, 'rushing': 78.8}}","{'overall': 0.09, 'passing': 0.12, 'rushing': 0.05, 'firstDown': 0, 'secondDown': 0.04, 'thirdDown': 0.36, 'cumulative': {'total': 79.5, 'passing': 586.2, 'rushing': 20.9}}"
2021,Pac-12,Arizona,"{'overall': 0.03, 'passing': 0.04, 'rushing': 0.07, 'firstDown': -0.16, 'secondDown': 0.08, 'thirdDown': 0.32, 'cumulative': {'total': 27.2, 'passing': 19.27, 'rushing': 25.8}}","{'overall': 0.22, 'passing': 0.36, 'rushing': 0.14, 'firstDown': 0.04, 'secondDown': 0.34, 'thirdDown': 0.45, 'cumulative': {'total': 160.7, 'passing': 1087.1, 'rushing': 62.2}}"
2021,Pac-12,Arizona State,"{'overall': 0.29, 'passing': 0.27, 'rushing': 0.33, 'firstDown': 0.15, 'secondDown': 0.27, 'thirdDown': 0.65, 'cumulative': {'total': 234.8, 'passing': 88.33, 'rushing': 153.3}}","{'overall': 0.11, 'passing': 0.14, 'rushing': 0.11, 'firstDown': 0.02, 'secondDown': 0.06, 'thirdDown': 0.37, 'cumulative': {'total': 95.5, 'passing': 560, 'rushing': 49.1}}"
2021,SEC,Arkansas,"{'overall': 0.27, 'passing': 0.34, 'rushing': 0.22, 'firstDown': 0.16, 'secondDown': 0.16, 'thirdDown': 0.63, 'cumulative': {'total': 237.1, 'passing': 116.25, 'rushing': 123.4}}","{'overall': 0.12, 'passing': 0.2, 'rushing': 0.05, 'firstDown': -0.02, 'secondDown': 0.12, 'thirdDown': 0.32, 'cumulative': {'total': 102.1, 'passing': 798.3, 'rushing': 24.3}}"
2021,Sun Belt,Arkansas State,"{'overall': 0.1, 'passing': 0.22, 'rushing': -0.03, 'firstDown': -0.06, 'secondDown': 0.18, 'thirdDown': 0.38, 'cumulative': {'total': 87.8, 'passing': 122.87, 'rushing': -9.7}}","{'overall': 0.34, 'passing': 0.36, 'rushing': 0.35, 'firstDown': 0.21, 'secondDown': 0.28, 'thirdDown': 0.69, 'cumulative': {'total': 279.7, 'passing': 1310.7, 'rushing': 159}}"
2021,FBS Independents,Army,"{'overall': 0.26, 'passing': 0.48, 'rushing': 0.23, 'firstDown': 0.08, 'secondDown': 0.3, 'thirdDown': 0.45, 'cumulative': {'total': 222.2, 'passing': 52.93, 'rushing': 170.1}}","{'overall': 0.21, 'passing': 0.26, 'rushing': 0.17, 'firstDown': 0.1, 'secondDown': 0.07, 'thirdDown': 0.74, 'cumulative': {'total': 152.4, 'passing': 949.6, 'rushing': 59.2}}"
2021,SEC,Auburn,"{'overall': 0.2, 'passing': 0.2, 'rushing': 0.21, 'firstDown': 0.09, 'secondDown': 0.16, 'thirdDown': 0.46, 'cumulative': {'total': 183.1, 'passing': 95.38, 'rushing': 88.5}}","{'overall': 0.1, 'passing': 0.22, 'rushing': 0.01, 'firstDown': -0.07, 'secondDown': 0.18, 'thirdDown': 0.45, 'cumulative': {'total': 89.2, 'passing': 1067.4, 'rushing': 2.6}}"
2021,Mid-American,Ball State,"{'overall': 0.11, 'passing': 0.12, 'rushing': 0.13, 'firstDown': -0.06, 'secondDown': 0.05, 'thirdDown': 0.5, 'cumulative': {'total': 95, 'passing': 52.78, 'rushing': 52.9}}","{'overall': 0.24, 'passing': 0.38, 'rushing': 0.19, 'firstDown': 0.13, 'secondDown': 0.19, 'thirdDown': 0.5, 'cumulative': {'total': 221.6, 'passing': 1565, 'rushing': 95.1}}"
2021,Big 12,Baylor,"{'overall': 0.27, 'passing': 0.26, 'rushing': 0.28, 'firstDown': 0.07, 'secondDown': 0.3, 'thirdDown': 0.57, 'cumulative': {'total': 255, 'passing': 101.12, 'rushing': 157.6}}","{'overall': 0.14, 'passing': 0.22, 'rushing': 0.09, 'firstDown': 0.03, 'secondDown': 0.03, 'thirdDown': 0.39, 'cumulative': {'total': 133.3, 'passing': 1034.9, 'rushing': 42.2}}"
2021,Mountain West,Boise State,"{'overall': 0.18, 'passing': 0.31, 'rushing': 0.05, 'firstDown': 0.03, 'secondDown': 0.18, 'thirdDown': 0.58, 'cumulative': {'total': 154.7, 'passing': 132.61, 'rushing': 22.1}}","{'overall': 0.12, 'passing': 0.22, 'rushing': 0.08, 'firstDown': -0.01, 'secondDown': 0.09, 'thirdDown': 0.54, 'cumulative': {'total': 91.8, 'passing': 770.5, 'rushing': 35.1}}"
2021,ACC,Boston College,"{'overall': 0.17, 'passing': 0.27, 'rushing': 0.1, 'firstDown': 0.05, 'secondDown': 0.12, 'thirdDown': 0.48, 'cumulative': {'total': 127.5, 'passing': 88.48, 'rushing': 42.7}}","{'overall': 0.13, 'passing': 0.18, 'rushing': 0.1, 'firstDown': -0.01, 'secondDown': 0.2, 'thirdDown': 0.36, 'cumulative': {'total': 100.7, 'passing': 598.6, 'rushing': 40.8}}"
2021,Mid-American,Bowling Green,"{'overall': 0.08, 'passing': 0.12, 'rushing': 0.1, 'firstDown': -0.05, 'secondDown': 0.06, 'thirdDown': 0.38, 'cumulative': {'total': 64.4, 'passing': 53.59, 'rushing': 33.1}}","{'overall': 0.19, 'passing': 0.24, 'rushing': 0.18, 'firstDown': 0.08, 'secondDown': 0.14, 'thirdDown': 0.49, 'cumulative': {'total': 168.4, 'passing': 807.3, 'rushing': 97.3}}"
2021,Mid-American,Buffalo,"{'overall': 0.18, 'passing': 0.27, 'rushing': 0.17, 'firstDown': 0.03, 'secondDown': 0.2, 'thirdDown': 0.46, 'cumulative': {'total': 172.2, 'passing': 105.91, 'rushing': 91.5}}","{'overall': 0.28, 'passing': 0.33, 'rushing': 0.27, 'firstDown': 0.14, 'secondDown': 0.22, 'thirdDown': 0.68, 'cumulative': {'total': 217.5, 'passing': 1115.5, 'rushing': 122.1}}"
2021,FBS Independents,BYU,"{'overall': 0.34, 'passing': 0.38, 'rushing': 0.3, 'firstDown': 0.25, 'secondDown': 0.28, 'thirdDown': 0.59, 'cumulative': {'total': 291.2, 'passing': 154.24, 'rushing': 138.7}}","{'overall': 0.23, 'passing': 0.28, 'rushing': 0.18, 'firstDown': 0.05, 'secondDown': 0.2, 'thirdDown': 0.56, 'cumulative': {'total': 197.4, 'passing': 1192.6, 'rushing': 80.4}}"
2021,Pac-12,California,"{'overall': 0.22, 'passing': 0.2, 'rushing': 0.26, 'firstDown': 0.13, 'secondDown': 0.25, 'thirdDown': 0.5, 'cumulative': {'total': 172.4, 'passing': 83.31, 'rushing': 97.6}}","{'overall': 0.15, 'passing': 0.23, 'rushing': 0.12, 'firstDown': 0.06, 'secondDown': 0.05, 'thirdDown': 0.53, 'cumulative': {'total': 130.6, 'passing': 1019.3, 'rushing': 48.4}}"
2021,Mid-American,Central Michigan,"{'overall': 0.22, 'passing': 0.35, 'rushing': 0.14, 'firstDown': 0.1, 'secondDown': 0.23, 'thirdDown': 0.41, 'cumulative': {'total': 210.9, 'passing': 162.28, 'rushing': 68.8}}","{'overall': 0.17, 'passing': 0.3, 'rushing': 0.09, 'firstDown': 0.14, 'secondDown': 0.18, 'thirdDown': 0.2, 'cumulative': {'total': 149.8, 'passing': 1343.2, 'rushing': 40.1}}"
2021,Conference USA,Charlotte,"{'overall': 0.21, 'passing': 0.32, 'rushing': 0.12, 'firstDown': 0.1, 'secondDown': 0.15, 'thirdDown': 0.46, 'cumulative': {'total': 172.6, 'passing': 130.05, 'rushing': 49.1}}","{'overall': 0.36, 'passing': 0.49, 'rushing': 0.26, 'firstDown': 0.28, 'secondDown': 0.32, 'thirdDown': 0.69, 'cumulative': {'total': 275.4, 'passing': 1638.8, 'rushing': 111.8}}"
2021,American Athletic,Cincinnati,"{'overall': 0.3, 'passing': 0.3, 'rushing': 0.3, 'firstDown': 0.26, 'secondDown': 0.3, 'thirdDown': 0.33, 'cumulative': {'total': 255.6, 'passing': 127.59, 'rushing': 129.7}}","{'overall': 0.05, 'passing': 0.04, 'rushing': 0.05, 'firstDown': -0.14, 'secondDown': 0.05, 'thirdDown': 0.38, 'cumulative': {'total': 44.5, 'passing': 162.2, 'rushing': 28.3}}"
