year,team,conference,fpi,resumeRanks,efficiencies
2022,Notre Dame,FBS Independents,12.6,"{'strengthOfRecord': 20, 'fpi': 17, 'averageWinProbability': 24, 'strengthOfSchedule': 33, 'remainingStrengthOfSchedule': None, 'gameControl': 18}","{'overall': 69.601, 'offense': 59.985, 'defense': 66.897, 'specialTeams': 66.833}"
2022,Georgia,SEC,29.908,"{'strengthOfRecord': 1, 'fpi': 1, 'averageWinProbability': 1, 'strengthOfSchedule': 8, 'remainingStrengthOfSchedule': None, 'gameControl': 1}","{'overall': 93.511, 'offense': 90.791, 'defense': 87.647, 'specialTeams': 45.406}"
2022,Florida,SEC,7.555,"{'strengthOfRecord': 44, 'fpi': 33, 'averageWinProbability': 81, 'strengthOfSchedule': 3, 'remainingStrengthOfSchedule': None, 'gameControl': 45}","{'overall': 60.994, 'offense': 69.396, 'defense': 49.078, 'specialTeams': 49.533}"
2022,Tennessee,SEC,22.728,"{'strengthOfRecord': 5, 'fpi': 5, 'averageWinProbability': 8, 'strengthOfSchedule': 7, 'remainingStrengthOfSchedule': None, 'gameControl': 4}","{'overall': 84.959, 'offense': 90.062, 'defense': 58.984, 'specialTeams': 68.61}"
2022,South Carolina,SEC,4.416,"{'strengthOfRecord': 23, 'fpi': 49, 'averageWinProbability': 61, 'strengthOfSchedule': 13, 'remainingStrengthOfSchedule': None, 'gameControl': 34}","{'overall': 61.258, 'offense': 58.008, 'defense': 49.932, 'specialTeams': 79.756}"
2022,Kentucky,SEC,5.824,"{'strengthOfRecord': 40, 'fpi': 44, 'averageWinProbability': 73, 'strengthOfSchedule': 16, 'remainingStrengthOfSchedule': None, 'gameControl': 48}","{'overall': 59.284, 'offense': 46.761, 'defense': 72.541, 'specialTeams': 34.773}"
2022,Vanderbilt,SEC,-6.834,"{'strengthOfRecord': 67, 'fpi': 96, 'averageWinProbability': 111, 'strengthOfSchedule': 6, 'remainingStrengthOfSchedule': None, 'gameControl': 78}","{'overall': 39.354, 'offense': 42.964, 'defense': 37.914, 'specialTeams': 55.429}"
2022,Massachusetts,FBS Independents,-24.191,"{'strengthOfRecord': 131, 'fpi': 130, 'averageWinProbability': 128, 'strengthOfSchedule': 106, 'remainingStrengthOfSchedule': None, 'gameControl': 120}","{'overall': 12.378, 'offense': 11.08, 'defense': 27.916, 'specialTeams': 45.124}"
2022,Oklahoma State,Big 12,6.663,"{'strengthOfRecord': 42, 'fpi': 38, 'averageWinProbability': 71, 'strengthOfSchedule': 38, 'remainingStrengthOfSchedule': None, 'gameControl': 44}","{'overall': 60.448, 'offense': 45.4, 'defense': 65.478, 'specialTeams': 66.939}"
2022,Kansas State,Big 12,14.823,"{'strengthOfRecord': 12, 'fpi': 12, 'averageWinProbability': 14, 'strengthOfSchedule': 11, 'remainingStrengthOfSchedule': None, 'gameControl': 8}","{'overall': 77.392, 'offense': 70.169, 'defense': 73.461, 'specialTeams': 57.448}"
