season,conference,team,offense,defense
2017,Mountain West,Air Force,"{'overall': 0.21, 'passing': 0.16, 'rushing': 0.23, 'firstDown': 0.07, 'secondDown': 0.23, 'thirdDown': 0.48, 'cumulative': {'total': 195.9, 'passing': 27.01, 'rushing': 171.1}}","{'overall': 0.23, 'passing': 0.3, 'rushing': 0.21, 'firstDown': 0.14, 'secondDown': 0.23, 'thirdDown': 0.52, 'cumulative': {'total': 166.4, 'passing': 764.8, 'rushing': 94.8}}"
2017,Mid-American,Akron,"{'overall': 0.07, 'passing': 0.14, 'rushing': 0, 'firstDown': -0.05, 'secondDown': -0.02, 'thirdDown': 0.47, 'cumulative': {'total': 67.1, 'passing': 66.76, 'rushing': 0}}","{'overall': 0.16, 'passing': 0.14, 'rushing': 0.19, 'firstDown': 0.07, 'secondDown': 0.24, 'thirdDown': 0.2, 'cumulative': {'total': 167.5, 'passing': 659.3, 'rushing': 102.5}}"
2017,SEC,Alabama,"{'overall': 0.27, 'passing': 0.27, 'rushing': 0.29, 'firstDown': 0.27, 'secondDown': 0.19, 'thirdDown': 0.4, 'cumulative': {'total': 257.4, 'passing': 95.19, 'rushing': 169.1}}","{'overall': -0.02, 'passing': 0, 'rushing': -0.05, 'firstDown': -0.2, 'secondDown': -0.07, 'thirdDown': 0.35, 'cumulative': {'total': -22.6, 'passing': 11.7, 'rushing': -24.1}}"
2017,Sun Belt,App State,"{'overall': 0.23, 'passing': 0.32, 'rushing': 0.19, 'firstDown': 0.11, 'secondDown': 0.26, 'thirdDown': 0.51, 'cumulative': {'total': 210.4, 'passing': 114.28, 'rushing': 99.8}}","{'overall': 0.1, 'passing': 0.13, 'rushing': 0.07, 'firstDown': -0.06, 'secondDown': 0.11, 'thirdDown': 0.37, 'cumulative': {'total': 82, 'passing': 549.4, 'rushing': 31.1}}"
2017,Pac-12,Arizona,"{'overall': 0.3, 'passing': 0.31, 'rushing': 0.31, 'firstDown': 0.11, 'secondDown': 0.34, 'thirdDown': 0.62, 'cumulative': {'total': 275, 'passing': 95.82, 'rushing': 186.5}}","{'overall': 0.21, 'passing': 0.26, 'rushing': 0.18, 'firstDown': 0.03, 'secondDown': 0.24, 'thirdDown': 0.64, 'cumulative': {'total': 216.7, 'passing': 1350.8, 'rushing': 87}}"
2017,Pac-12,Arizona State,"{'overall': 0.19, 'passing': 0.26, 'rushing': 0.14, 'firstDown': -0.04, 'secondDown': 0.18, 'thirdDown': 0.64, 'cumulative': {'total': 188.6, 'passing': 116.7, 'rushing': 76}}","{'overall': 0.21, 'passing': 0.23, 'rushing': 0.21, 'firstDown': 0.1, 'secondDown': 0.16, 'thirdDown': 0.66, 'cumulative': {'total': 195.8, 'passing': 1125, 'rushing': 89.3}}"
2017,SEC,Arkansas,"{'overall': 0.2, 'passing': 0.27, 'rushing': 0.13, 'firstDown': 0.06, 'secondDown': 0.2, 'thirdDown': 0.47, 'cumulative': {'total': 158.7, 'passing': 100.66, 'rushing': 57.7}}","{'overall': 0.24, 'passing': 0.37, 'rushing': 0.16, 'firstDown': 0.13, 'secondDown': 0.18, 'thirdDown': 0.58, 'cumulative': {'total': 196, 'passing': 1327.3, 'rushing': 72.2}}"
2017,Sun Belt,Arkansas State,"{'overall': 0.16, 'passing': 0.26, 'rushing': 0.05, 'firstDown': 0.06, 'secondDown': 0.22, 'thirdDown': 0.44, 'cumulative': {'total': 156.9, 'passing': 141.85, 'rushing': 22.2}}","{'overall': 0.06, 'passing': 0.14, 'rushing': 0, 'firstDown': -0.11, 'secondDown': 0.12, 'thirdDown': 0.37, 'cumulative': {'total': 51, 'passing': 607.9, 'rushing': -0.9}}"
2017,FBS Independents,Army,"{'overall': 0.28, 'passing': -0.2, 'rushing': 0.32, 'firstDown': 0.11, 'secondDown': 0.28, 'thirdDown': 0.63, 'cumulative': {'total': 238.4, 'passing': -13.32, 'rushing': 252}}","{'overall': 0.19, 'passing': 0.21, 'rushing': 0.22, 'firstDown': 0.11, 'secondDown': 0.11, 'thirdDown': 0.52, 'cumulative': {'total': 138, 'passing': 670.5, 'rushing': 87.1}}"
2017,SEC,Auburn,"{'overall': 0.19, 'passing': 0.28, 'rushing': 0.13, 'firstDown': 0.06, 'secondDown': 0.07, 'thirdDown': 0.7, 'cumulative': {'total': 200.6, 'passing': 113.7, 'rushing': 79.9}}","{'overall': 0.03, 'passing': 0.04, 'rushing': 0.02, 'firstDown': -0.1, 'secondDown': 0.04, 'thirdDown': 0.27, 'cumulative': {'total': 25.8, 'passing': 180, 'rushing': 11.8}}"
