year,team,conference,division,ranking,rating
2020,Alabama,SEC,West,1,31.0582224833045
2020,Ohio State,Big Ten,East,2,21.595129008065
2020,Oklahoma,Big 12,,3,20.1806726475008
2020,BYU,FBS Independents,,4,19.6318480224631
2020,Georgia,SEC,East,5,18.8521192451951
2020,Florida,SEC,East,6,16.2069007886935
2020,Iowa,Big Ten,West,7,15.9286736038448
2020,Texas A&M,SEC,West,8,14.2574948557961
2020,Iowa State,Big 12,,9,14.2052460686979
2020,Coastal Carolina,Sun Belt,West,10,13.8720465068665
2020,Texas,Big 12,,11,13.2779663603268
2020,Indiana,Big Ten,East,12,13.2346175522193
2020,Northwestern,Big Ten,West,13,12.2109531677404
2020,Oklahoma State,Big 12,,14,9.57416522631929
2020,Wisconsin,Big Ten,West,15,9.5036900588794
2020,Louisiana,Sun Belt,East,16,9.01024768626245
2020,San José State,Mountain West,West,17,8.56003648581052
2020,App State,Sun Belt,West,18,7.97091235828848
2020,Auburn,SEC,West,19,7.93960912775621
2020,TCU,Big 12,,20,7.7470153500516
2020,Boise State,Mountain West,Mountain,21,7.66188599867004
2020,Ole Miss,SEC,West,22,6.07206740313876
2020,West Virginia,Big 12,,23,5.94838454507169
2020,Penn State,Big Ten,East,24,5.31270627110505
2020,Air Force,Mountain West,Mountain,25,4.72561499186316
2020,LSU,SEC,West,26,4.2415153837155
2020,UAB,Conference USA,West,27,4.07093515746533
2020,Troy,Sun Belt,East,28,3.98250505970007
2020,Marshall,Conference USA,East,29,3.9493394802708
2020,Kentucky,SEC,East,30,3.86821584913361
2020,Arkansas,SEC,West,31,3.31537466462314
2020,San Diego State,Mountain West,West,32,2.83777126547104
2020,Army,FBS Independents,,33,2.47454008115632
2020,Nevada,Mountain West,West,34,2.14172882260829
2020,Georgia State,Sun Belt,West,35,1.86553875047342
2020,Baylor,Big 12,,36,1.81899780170614
2020,Liberty,FBS Independents,,37,1.71255150821555
2020,Mississippi State,SEC,West,38,1.62245430432915
2020,Georgia Southern,Sun Belt,West,39,1.24121821897765
2020,Kansas State,Big 12,,40,0.990126399320858
2020,Nebraska,Big Ten,West,41,0.530818685690857
2020,Missouri,SEC,East,42,0.209266331900879
2020,Minnesota,Big Ten,West,43,0.110837727455757
2020,Tennessee,SEC,East,44,-0.305903277598417
2020,Maryland,Big Ten,East,45,-0.359724894460212
2020,Purdue,Big Ten,West,46,-0.375781015421765
2020,Wyoming,Mountain West,Mountain,47,-0.440916754304447
2020,Michigan,Big Ten,East,48,-0.583582259901984
2020,Texas Tech,Big 12,,49,-1.43100219829385
2020,Rutgers,Big Ten,East,50,-2.66773919082159
2020,Rice,Conference USA,West,51,-2.96405409915578
2020,Hawai'i,Mountain West,West,52,-3.32889076904278
2020,UTSA,Conference USA,West,53,-3.94989595045029
2020,Michigan State,Big Ten,East,54,-4.49560597824984
2020,South Carolina,SEC,East,55,-5.35681367405963
2020,Fresno State,Mountain West,West,56,-6.67384986208882
2020,Arkansas State,Sun Belt,East,57,-7.29858762453203
2020,Illinois,Big Ten,West,58,-7.36823008644087
2020,Florida Atlantic,Conference USA,East,59,-8.23556081079015
2020,Texas State,Sun Belt,East,60,-8.38761137110927
2020,South Alabama,Sun Belt,East,61,-8.51451684956795
2020,Western Kentucky,Conference USA,East,62,-10.2483000885282
2020,New Mexico,Mountain West,Mountain,63,-11.1074271047414
2020,Colorado State,Mountain West,Mountain,64,-11.278777338063
2020,Louisiana Tech,Conference USA,West,65,-11.4728091664937
2020,Middle Tennessee,Conference USA,East,66,-13.5947022766849
2020,Vanderbilt,SEC,East,67,-14.4094224483278
2020,Kansas,Big 12,,68,-14.6215941836398
2020,Charlotte,Conference USA,East,69,-14.798243131477
2020,Southern Miss,Conference USA,West,70,-14.9519859387936
2020,UTEP,Conference USA,West,71,-17.1998999203922
2020,Florida International,Conference USA,East,72,-17.8415029169469
2020,UNLV,Mountain West,West,73,-19.2340201352576
2020,Utah State,Mountain West,Mountain,74,-19.2357126480363
2020,North Texas,Conference USA,West,75,-19.7938569180364
2020,UL Monroe,Sun Belt,East,76,-24.4625607162227
2020,Massachusetts,FBS Independents,,77,-26.2081129008315
