season,team,conference,fpi,resumeranks,efficiencies
2026,BYU,Big 12,13.125,"{'strengthOfRecord': 0, 'fpi': 20, 'averageWinProbability': 0, 'strengthOfSchedule': 51, 'remainingStrengthOfSchedule': 52, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Virginia Tech,ACC,7.384,"{'strengthOfRecord': 0, 'fpi': 33, 'averageWinProbability': 0, 'strengthOfSchedule': 42, 'remainingStrengthOfSchedule': 42, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Fresno State,Pac-12,-7.015,"{'strengthOfRecord': 27, 'fpi': 96, 'averageWinProbability': 38, 'strengthOfSchedule': 83, 'remainingStrengthOfSchedule': 110, 'gameControl': 19}","{'overall': 23.078, 'offense': 7.014, 'defense': 52.502, 'specialTeams': 38.765}"
2026,Georgia Southern,Sun Belt,-8.701,"{'strengthOfRecord': 0, 'fpi': 103, 'averageWinProbability': 0, 'strengthOfSchedule': 97, 'remainingStrengthOfSchedule': 94, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Old Dominion,Sun Belt,-4.435,"{'strengthOfRecord': 0, 'fpi': 83, 'averageWinProbability': 0, 'strengthOfSchedule': 115, 'remainingStrengthOfSchedule': 114, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Akron,Mid-American,-16.834,"{'strengthOfRecord': 27, 'fpi': 132, 'averageWinProbability': 39, 'strengthOfSchedule': 117, 'remainingStrengthOfSchedule': 128, 'gameControl': 36}","{'overall': 29.404, 'offense': 49.8, 'defense': 21.348, 'specialTeams': 42.86}"
2026,Central Michigan,Mid-American,-12.806,"{'strengthOfRecord': 0, 'fpi': 121, 'averageWinProbability': 0, 'strengthOfSchedule': 86, 'remainingStrengthOfSchedule': 84, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Eastern Michigan,Mid-American,-15.941,"{'strengthOfRecord': 26, 'fpi': 130, 'averageWinProbability': 21, 'strengthOfSchedule': 122, 'remainingStrengthOfSchedule': 109, 'gameControl': 37}","{'overall': 32.946, 'offense': 17.731, 'defense': 69.708, 'specialTeams': 19.183}"
2026,Iowa,Big Ten,10.569,"{'strengthOfRecord': 0, 'fpi': 25, 'averageWinProbability': 0, 'strengthOfSchedule': 39, 'remainingStrengthOfSchedule': 39, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Michigan,Big Ten,15.875,"{'strengthOfRecord': 0, 'fpi': 15, 'averageWinProbability': 0, 'strengthOfSchedule': 16, 'remainingStrengthOfSchedule': 17, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Kansas State,Big 12,5.057,"{'strengthOfRecord': 0, 'fpi': 41, 'averageWinProbability': 0, 'strengthOfSchedule': 68, 'remainingStrengthOfSchedule': 68, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Miami,ACC,24.506,"{'strengthOfRecord': 4, 'fpi': 6, 'averageWinProbability': 8, 'strengthOfSchedule': 47, 'remainingStrengthOfSchedule': 43, 'gameControl': 1}","{'overall': 95.749, 'offense': 93.513, 'defense': 91.336, 'specialTeams': 52.971}"
2026,Minnesota,Big Ten,2.34,"{'strengthOfRecord': 20, 'fpi': 56, 'averageWinProbability': 7, 'strengthOfSchedule': 36, 'remainingStrengthOfSchedule': 30, 'gameControl': 12}","{'overall': 88.107, 'offense': 69.172, 'defense': 71.309, 'specialTeams': 95.946}"
2026,Oregon,Big Ten,25.276,"{'strengthOfRecord': 0, 'fpi': 4, 'averageWinProbability': 0, 'strengthOfSchedule': 26, 'remainingStrengthOfSchedule': 29, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,SMU,ACC,11.117,"{'strengthOfRecord': 0, 'fpi': 23, 'averageWinProbability': 0, 'strengthOfSchedule': 54, 'remainingStrengthOfSchedule': 54, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Texas Tech,Big 12,20.016,"{'strengthOfRecord': 0, 'fpi': 10, 'averageWinProbability': 0, 'strengthOfSchedule': 70, 'remainingStrengthOfSchedule': 70, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Missouri,SEC,10.179,"{'strengthOfRecord': 24, 'fpi': 27, 'averageWinProbability': 2, 'strengthOfSchedule': 12, 'remainingStrengthOfSchedule': 4, 'gameControl': 11}","{'overall': 54.777, 'offense': 45.599, 'defense': 41.468, 'specialTeams': 84.051}"
2026,NC State,ACC,-1.234,"{'strengthOfRecord': 27, 'fpi': 72, 'averageWinProbability': 37, 'strengthOfSchedule': 64, 'remainingStrengthOfSchedule': 67, 'gameControl': 27}","{'overall': 38.33, 'offense': 8.855, 'defense': 49.76, 'specialTeams': 91.29}"
2026,North Carolina,ACC,6.271,"{'strengthOfRecord': 2, 'fpi': 38, 'averageWinProbability': 22, 'strengthOfSchedule': 28, 'remainingStrengthOfSchedule': 28, 'gameControl': 9}","{'overall': 72.611, 'offense': 53.163, 'defense': 87.606, 'specialTeams': 9.228}"
2026,Tulsa,American Athletic,-8.963,"{'strengthOfRecord': 0, 'fpi': 105, 'averageWinProbability': 0, 'strengthOfSchedule': 106, 'remainingStrengthOfSchedule': 104, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Texas A&M,SEC,20.002,"{'strengthOfRecord': 0, 'fpi': 11, 'averageWinProbability': 0, 'strengthOfSchedule': 10, 'remainingStrengthOfSchedule': 11, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Memphis,American Athletic,0.02,"{'strengthOfRecord': 3, 'fpi': 65, 'averageWinProbability': 23, 'strengthOfSchedule': 95, 'remainingStrengthOfSchedule': 97, 'gameControl': 13}","{'overall': 73.185, 'offense': 68.969, 'defense': 62.612, 'specialTeams': 71.247}"
2026,Virginia,ACC,10.719,"{'strengthOfRecord': 5, 'fpi': 24, 'averageWinProbability': 12, 'strengthOfSchedule': 66, 'remainingStrengthOfSchedule': 65, 'gameControl': 4}","{'overall': 85.958, 'offense': 71.625, 'defense': 98.424, 'specialTeams': 9.094}"
2026,Washington,Big Ten,9.893,"{'strengthOfRecord': 0, 'fpi': 28, 'averageWinProbability': 0, 'strengthOfSchedule': 24, 'remainingStrengthOfSchedule': 24, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Mississippi State,SEC,4.082,"{'strengthOfRecord': 0, 'fpi': 49, 'averageWinProbability': 0, 'strengthOfSchedule': 5, 'remainingStrengthOfSchedule': 6, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Illinois,Big Ten,5.705,"{'strengthOfRecord': 11, 'fpi': 39, 'averageWinProbability': 16, 'strengthOfSchedule': 38, 'remainingStrengthOfSchedule': 34, 'gameControl': 16}","{'overall': 66.441, 'offense': 89.996, 'defense': 47.209, 'specialTeams': 39.219}"
2026,Kansas,Big 12,3.998,"{'strengthOfRecord': 21, 'fpi': 51, 'averageWinProbability': 13, 'strengthOfSchedule': 60, 'remainingStrengthOfSchedule': 56, 'gameControl': 23}","{'overall': 73.76, 'offense': 76.495, 'defense': 70.172, 'specialTeams': 34.592}"
2026,North Dakota State,Mountain West,-1.574,"{'strengthOfRecord': 12, 'fpi': 73, 'averageWinProbability': 17, 'strengthOfSchedule': 130, 'remainingStrengthOfSchedule': 124, 'gameControl': 20}","{'overall': 72.926, 'offense': 44.331, 'defense': 85.656, 'specialTeams': 73.054}"
2026,Auburn,SEC,12.007,"{'strengthOfRecord': 0, 'fpi': 21, 'averageWinProbability': 0, 'strengthOfSchedule': 14, 'remainingStrengthOfSchedule': 15, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,UTEP,Mountain West,-19.175,"{'strengthOfRecord': 27, 'fpi': 136, 'averageWinProbability': 40, 'strengthOfSchedule': 72, 'remainingStrengthOfSchedule': 88, 'gameControl': 25}","{'overall': 8.017, 'offense': 13.453, 'defense': 41.807, 'specialTeams': 1.651}"
2026,Wyoming,Mountain West,-13.069,"{'strengthOfRecord': 0, 'fpi': 122, 'averageWinProbability': 0, 'strengthOfSchedule': 131, 'remainingStrengthOfSchedule': 129, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Stanford,ACC,-4.262,"{'strengthOfRecord': 9, 'fpi': 82, 'averageWinProbability': 26, 'strengthOfSchedule': 27, 'remainingStrengthOfSchedule': 32, 'gameControl': 30}","{'overall': 44.614, 'offense': 55.039, 'defense': 38.326, 'specialTeams': 45.249}"
2026,Baylor,Big 12,6.518,"{'strengthOfRecord': 0, 'fpi': 37, 'averageWinProbability': 0, 'strengthOfSchedule': 40, 'remainingStrengthOfSchedule': 40, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Boston College,ACC,-2.668,"{'strengthOfRecord': 0, 'fpi': 76, 'averageWinProbability': 0, 'strengthOfSchedule': 25, 'remainingStrengthOfSchedule': 27, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Navy,American Athletic,-0.712,"{'strengthOfRecord': 0, 'fpi': 68, 'averageWinProbability': 0, 'strengthOfSchedule': 84, 'remainingStrengthOfSchedule': 82, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Sacramento State,Mid-American,-20.729,"{'strengthOfRecord': 27, 'fpi': 138, 'averageWinProbability': 34, 'strengthOfSchedule': 137, 'remainingStrengthOfSchedule': 136, 'gameControl': 39}","{'overall': 23.822, 'offense': 3.918, 'defense': 47.613, 'specialTeams': 86.418}"
2026,UCLA,Big Ten,0.472,"{'strengthOfRecord': 0, 'fpi': 63, 'averageWinProbability': 0, 'strengthOfSchedule': 35, 'remainingStrengthOfSchedule': 37, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
