season,team,conference,fpi,resumeranks,efficiencies
2026,Bowling Green,Mid-American,-13.682,"{'strengthOfRecord': 0, 'fpi': 124, 'averageWinProbability': 0, 'strengthOfSchedule': 104, 'remainingStrengthOfSchedule': 103, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Miami (OH),Mid-American,-6.994,"{'strengthOfRecord': 0, 'fpi': 95, 'averageWinProbability': 0, 'strengthOfSchedule': 112, 'remainingStrengthOfSchedule': 111, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Oklahoma State,Big 12,3.345,"{'strengthOfRecord': 0, 'fpi': 55, 'averageWinProbability': 0, 'strengthOfSchedule': 45, 'remainingStrengthOfSchedule': 47, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Oregon State,Pac-12,-8.101,"{'strengthOfRecord': 0, 'fpi': 100, 'averageWinProbability': 0, 'strengthOfSchedule': 75, 'remainingStrengthOfSchedule': 74, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Temple,American Athletic,-8.6,"{'strengthOfRecord': 0, 'fpi': 102, 'averageWinProbability': 0, 'strengthOfSchedule': 91, 'remainingStrengthOfSchedule': 91, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Pittsburgh,ACC,6.616,"{'strengthOfRecord': 0, 'fpi': 36, 'averageWinProbability': 0, 'strengthOfSchedule': 52, 'remainingStrengthOfSchedule': 53, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Vanderbilt,SEC,8.986,"{'strengthOfRecord': 0, 'fpi': 30, 'averageWinProbability': 0, 'strengthOfSchedule': 18, 'remainingStrengthOfSchedule': 20, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Rice,American Athletic,-13.439,"{'strengthOfRecord': 0, 'fpi': 123, 'averageWinProbability': 0, 'strengthOfSchedule': 76, 'remainingStrengthOfSchedule': 75, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Houston,Big 12,7.12,"{'strengthOfRecord': 0, 'fpi': 35, 'averageWinProbability': 0, 'strengthOfSchedule': 58, 'remainingStrengthOfSchedule': 59, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Utah,Big 12,10.563,"{'strengthOfRecord': 16, 'fpi': 26, 'averageWinProbability': 6, 'strengthOfSchedule': 65, 'remainingStrengthOfSchedule': 62, 'gameControl': 10}","{'overall': 87.792, 'offense': 85.791, 'defense': 82.844, 'specialTeams': 51.285}"
