year,team,conference,fpi,resumeRanks,efficiencies
2016,New Mexico State,Sun Belt,-17.564,"{'strengthOfRecord': 118, 'fpi': 123, 'averageWinProbability': 123, 'strengthOfSchedule': 92, 'remainingStrengthOfSchedule': None, 'gameControl': 123}","{'overall': 20.224, 'offense': 29.101, 'defense': 26.64, 'specialTeams': 29.733}"
2016,Idaho,Sun Belt,-7.715,"{'strengthOfRecord': 55, 'fpi': 96, 'averageWinProbability': 57, 'strengthOfSchedule': 103, 'remainingStrengthOfSchedule': None, 'gameControl': 77}","{'overall': 40.832, 'offense': 42.712, 'defense': 33.989, 'specialTeams': 74.19}"
2016,Notre Dame,FBS Independents,9.712,"{'strengthOfRecord': 80, 'fpi': 50, 'averageWinProbability': 49, 'strengthOfSchedule': 34, 'remainingStrengthOfSchedule': None, 'gameControl': 38}","{'overall': 57.705, 'offense': 58.944, 'defense': 57.521, 'specialTeams': 38.124}"
2016,Georgia,SEC,8.064,"{'strengthOfRecord': 34, 'fpi': 41, 'averageWinProbability': 54, 'strengthOfSchedule': 36, 'remainingStrengthOfSchedule': None, 'gameControl': 41}","{'overall': 57.41, 'offense': 46.323, 'defense': 71.912, 'specialTeams': 34.978}"
2016,Florida,SEC,13.83,"{'strengthOfRecord': 17, 'fpi': 22, 'averageWinProbability': 40, 'strengthOfSchedule': 27, 'remainingStrengthOfSchedule': None, 'gameControl': 18}","{'overall': 72.395, 'offense': 39.062, 'defense': 87.18, 'specialTeams': 64.667}"
2016,Tennessee,SEC,15.461,"{'strengthOfRecord': 24, 'fpi': 17, 'averageWinProbability': 60, 'strengthOfSchedule': 43, 'remainingStrengthOfSchedule': None, 'gameControl': 45}","{'overall': 65.249, 'offense': 71.377, 'defense': 51.5, 'specialTeams': 57.843}"
2016,South Carolina,SEC,-0.306,"{'strengthOfRecord': 62, 'fpi': 72, 'averageWinProbability': 92, 'strengthOfSchedule': 50, 'remainingStrengthOfSchedule': None, 'gameControl': 73}","{'overall': 44.163, 'offense': 33.363, 'defense': 57.086, 'specialTeams': 48.37}"
2016,Kentucky,SEC,2.312,"{'strengthOfRecord': 45, 'fpi': 62, 'averageWinProbability': 69, 'strengthOfSchedule': 54, 'remainingStrengthOfSchedule': None, 'gameControl': 55}","{'overall': 49.713, 'offense': 56.411, 'defense': 42.578, 'specialTeams': 52.624}"
2016,Vanderbilt,SEC,4.536,"{'strengthOfRecord': 58, 'fpi': 55, 'averageWinProbability': 94, 'strengthOfSchedule': 24, 'remainingStrengthOfSchedule': None, 'gameControl': 67}","{'overall': 53.245, 'offense': 46.072, 'defense': 62.218, 'specialTeams': 40.657}"
2016,Massachusetts,FBS Independents,-15.513,"{'strengthOfRecord': 123, 'fpi': 118, 'averageWinProbability': 115, 'strengthOfSchedule': 74, 'remainingStrengthOfSchedule': None, 'gameControl': 108}","{'overall': 23.702, 'offense': 31.967, 'defense': 28.701, 'specialTeams': 35.567}"
2016,Oklahoma State,Big 12,17.126,"{'strengthOfRecord': 14, 'fpi': 15, 'averageWinProbability': 20, 'strengthOfSchedule': 41, 'remainingStrengthOfSchedule': None, 'gameControl': 16}","{'overall': 71.435, 'offense': 74.768, 'defense': 56.551, 'specialTeams': 61.445}"
2016,Kansas State,Big 12,12.072,"{'strengthOfRecord': 18, 'fpi': 27, 'averageWinProbability': 17, 'strengthOfSchedule': 32, 'remainingStrengthOfSchedule': None, 'gameControl': 10}","{'overall': 77.476, 'offense': 72.079, 'defense': 68.545, 'specialTeams': 67.786}"
2016,Baylor,Big 12,8.9,"{'strengthOfRecord': 51, 'fpi': 39, 'averageWinProbability': 67, 'strengthOfSchedule': 57, 'remainingStrengthOfSchedule': None, 'gameControl': 57}","{'overall': 58.763, 'offense': 55.21, 'defense': 59.992, 'specialTeams': 45.822}"
2016,Iowa State,Big 12,1.143,"{'strengthOfRecord': 89, 'fpi': 66, 'averageWinProbability': 91, 'strengthOfSchedule': 23, 'remainingStrengthOfSchedule': None, 'gameControl': 66}","{'overall': 47.821, 'offense': 55.165, 'defense': 36.106, 'specialTeams': 68.894}"
2016,Texas Tech,Big 12,4.703,"{'strengthOfRecord': 64, 'fpi': 53, 'averageWinProbability': 76, 'strengthOfSchedule': 28, 'remainingStrengthOfSchedule': None, 'gameControl': 58}","{'overall': 55.586, 'offense': 79.157, 'defense': 25.208, 'specialTeams': 44.986}"
2016,Kansas,Big 12,-9.826,"{'strengthOfRecord': 98, 'fpi': 104, 'averageWinProbability': 124, 'strengthOfSchedule': 17, 'remainingStrengthOfSchedule': None, 'gameControl': 92}","{'overall': 25.225, 'offense': 15.671, 'defense': 51.288, 'specialTeams': 37.2}"
