season,conference,team,offense,defense
2016,Mountain West,Air Force,"{'overall': 0.21, 'passing': 0.45, 'rushing': 0.18, 'firstDown': 0.09, 'secondDown': 0.32, 'thirdDown': 0.39, 'cumulative': {'total': 189, 'passing': 71.08, 'rushing': 127.6}}","{'overall': 0.14, 'passing': 0.28, 'rushing': 0.01, 'firstDown': -0.09, 'secondDown': 0.07, 'thirdDown': 0.71, 'cumulative': {'total': 109.6, 'passing': 1074.4, 'rushing': 4.3}}"
2016,Mid-American,Akron,"{'overall': 0.13, 'passing': 0.21, 'rushing': 0.06, 'firstDown': -0.01, 'secondDown': 0.18, 'thirdDown': 0.35, 'cumulative': {'total': 105.2, 'passing': 89.06, 'rushing': 20.9}}","{'overall': 0.21, 'passing': 0.28, 'rushing': 0.17, 'firstDown': 0.05, 'secondDown': 0.26, 'thirdDown': 0.53, 'cumulative': {'total': 199, 'passing': 1140.5, 'rushing': 90}}"
2016,SEC,Alabama,"{'overall': 0.25, 'passing': 0.28, 'rushing': 0.25, 'firstDown': 0.08, 'secondDown': 0.33, 'thirdDown': 0.54, 'cumulative': {'total': 265.1, 'passing': 121.05, 'rushing': 152.4}}","{'overall': -0.1, 'passing': -0.05, 'rushing': -0.16, 'firstDown': -0.17, 'secondDown': -0.14, 'thirdDown': 0.13, 'cumulative': {'total': -102, 'passing': -269.5, 'rushing': -69.1}}"
2016,Sun Belt,App State,"{'overall': 0.18, 'passing': 0.2, 'rushing': 0.19, 'firstDown': 0.18, 'secondDown': 0.13, 'thirdDown': 0.35, 'cumulative': {'total': 155.8, 'passing': 63.14, 'rushing': 99.7}}","{'overall': 0.04, 'passing': 0, 'rushing': 0.1, 'firstDown': -0.08, 'secondDown': 0.13, 'thirdDown': 0.31, 'cumulative': {'total': 30.5, 'passing': -3.9, 'rushing': 33.1}}"
2016,Pac-12,Arizona,"{'overall': 0.14, 'passing': 0.08, 'rushing': 0.19, 'firstDown': 0.16, 'secondDown': 0.09, 'thirdDown': 0.4, 'cumulative': {'total': 94.5, 'passing': 22.27, 'rushing': 77.9}}","{'overall': 0.27, 'passing': 0.38, 'rushing': 0.18, 'firstDown': 0.05, 'secondDown': 0.38, 'thirdDown': 0.78, 'cumulative': {'total': 211.9, 'passing': 1463.7, 'rushing': 68}}"
2016,Pac-12,Arizona State,"{'overall': 0.14, 'passing': 0.15, 'rushing': 0.1, 'firstDown': -0.04, 'secondDown': 0.17, 'thirdDown': 0.38, 'cumulative': {'total': 125, 'passing': 71.22, 'rushing': 43.2}}","{'overall': 0.28, 'passing': 0.44, 'rushing': 0.13, 'firstDown': 0.17, 'secondDown': 0.28, 'thirdDown': 0.59, 'cumulative': {'total': 253.6, 'passing': 2225.7, 'rushing': 46.7}}"
2016,SEC,Arkansas,"{'overall': 0.19, 'passing': 0.39, 'rushing': 0.02, 'firstDown': 0.02, 'secondDown': 0.31, 'thirdDown': 0.4, 'cumulative': {'total': 174.4, 'passing': 169.14, 'rushing': 11.2}}","{'overall': 0.2, 'passing': 0.15, 'rushing': 0.25, 'firstDown': 0.02, 'secondDown': 0.18, 'thirdDown': 0.61, 'cumulative': {'total': 167.5, 'passing': 595.6, 'rushing': 106.6}}"
2016,Sun Belt,Arkansas State,"{'overall': 0.09, 'passing': 0.28, 'rushing': -0.03, 'firstDown': -0.12, 'secondDown': 0.27, 'thirdDown': 0.28, 'cumulative': {'total': 83, 'passing': 117.19, 'rushing': -16.5}}","{'overall': 0.02, 'passing': 0.08, 'rushing': -0.02, 'firstDown': -0.19, 'secondDown': 0.03, 'thirdDown': 0.48, 'cumulative': {'total': 18.8, 'passing': 374.6, 'rushing': -9.6}}"
2016,FBS Independents,Army,"{'overall': 0.24, 'passing': 0.05, 'rushing': 0.28, 'firstDown': 0.09, 'secondDown': 0.21, 'thirdDown': 0.56, 'cumulative': {'total': 209.2, 'passing': 6.44, 'rushing': 203.3}}","{'overall': 0.1, 'passing': 0.16, 'rushing': 0.06, 'firstDown': 0, 'secondDown': 0.05, 'thirdDown': 0.44, 'cumulative': {'total': 71.9, 'passing': 535.3, 'rushing': 22}}"
2016,SEC,Auburn,"{'overall': 0.21, 'passing': 0.25, 'rushing': 0.2, 'firstDown': 0.1, 'secondDown': 0.24, 'thirdDown': 0.48, 'cumulative': {'total': 198.4, 'passing': 77.55, 'rushing': 124.3}}","{'overall': 0.08, 'passing': 0.18, 'rushing': -0.02, 'firstDown': -0.08, 'secondDown': 0.1, 'thirdDown': 0.39, 'cumulative': {'total': 74.7, 'passing': 891.4, 'rushing': -6.6}}"
2016,Mid-American,Ball State,"{'overall': 0.14, 'passing': 0.1, 'rushing': 0.19, 'firstDown': 0.03, 'secondDown': 0.18, 'thirdDown': 0.39, 'cumulative': {'total': 137, 'passing': 46.07, 'rushing': 95.7}}","{'overall': 0.21, 'passing': 0.3, 'rushing': 0.09, 'firstDown': 0.07, 'secondDown': 0.25, 'thirdDown': 0.58, 'cumulative': {'total': 187.4, 'passing': 1522.8, 'rushing': 34}}"
2016,Big 12,Baylor,"{'overall': 0.22, 'passing': 0.28, 'rushing': 0.19, 'firstDown': 0.09, 'secondDown': 0.22, 'thirdDown': 0.5, 'cumulative': {'total': 247.4, 'passing': 137.75, 'rushing': 116.6}}","{'overall': 0.12, 'passing': 0.11, 'rushing': 0.14, 'firstDown': -0.08, 'secondDown': 0.04, 'thirdDown': 0.63, 'cumulative': {'total': 126.5, 'passing': 505.8, 'rushing': 82.8}}"
2016,Mountain West,Boise State,"{'overall': 0.27, 'passing': 0.44, 'rushing': 0.15, 'firstDown': 0.09, 'secondDown': 0.3, 'thirdDown': 0.72, 'cumulative': {'total': 247.3, 'passing': 181.93, 'rushing': 71.1}}","{'overall': 0.12, 'passing': 0.13, 'rushing': 0.12, 'firstDown': 0.02, 'secondDown': 0.08, 'thirdDown': 0.35, 'cumulative': {'total': 116.6, 'passing': 598.3, 'rushing': 60.2}}"
