year,team,conference,division,ranking,rating
2018,East Carolina,American Athletic,East,114,-15.7031128967639
2018,Coastal Carolina,Sun Belt,West,115,-15.8533270971039
2018,Oregon State,Pac-12,North,116,-16.0449013818998
2018,Ball State,Mid-American,West,117,-16.4331010167549
2018,Massachusetts,FBS Independents,,118,-18.3943967516993
2018,Old Dominion,Conference USA,East,119,-18.8766340192483
2018,Central Michigan,Mid-American,West,120,-18.946332522748
2018,Kent State,Mid-American,East,121,-19.3949918408822
2018,Georgia State,Sun Belt,West,122,-19.4180001852797
2018,Texas State,Sun Belt,East,123,-19.7872455914861
2018,Bowling Green,Mid-American,East,124,-20.9507197404044
2018,New Mexico State,FBS Independents,,125,-21.6928522780343
2018,UTSA,Conference USA,West,126,-21.7845260267007
2018,South Alabama,Sun Belt,East,127,-22.1441588947061
2018,Rice,Conference USA,West,128,-23.9736162263957
2018,UTEP,Conference USA,West,129,-24.7416161563248
2018,UConn,American Athletic,East,130,-27.9048187371084
