year,team,conference,division,ranking,rating
2018,Alabama,SEC,West,1,33.5327042463214
2018,Clemson,ACC,Atlantic,2,32.7059959299744
2018,Georgia,SEC,East,3,26.2706652614136
2018,Oklahoma,Big 12,,4,21.3999485607172
2018,Mississippi State,SEC,West,5,19.8323291150704
2018,Florida,SEC,East,6,19.2588532505304
2018,Michigan,Big Ten,East,7,19.0241409567723
2018,Missouri,SEC,East,8,18.8779384668495
2018,LSU,SEC,West,9,18.3332724270277
2018,Ohio State,Big Ten,East,10,18.0599350811724
2018,West Virginia,Big 12,,11,17.9429059119813
2018,Texas A&M,SEC,West,12,17.932921991502
2018,Notre Dame,FBS Independents,,13,17.7430716435744
2018,Iowa,Big Ten,West,14,15.3671837226169
2018,Auburn,SEC,West,15,15.0330922527981
2018,Penn State,Big Ten,East,16,14.9092181850175
2018,UCF,American Athletic,East,17,14.8573048889344
2018,Kentucky,SEC,East,18,14.6950441413547
2018,Utah State,Mountain West,Mountain,19,13.9033400339094
2018,Washington State,Pac-12,North,20,12.9467511875473
2018,Fresno State,Mountain West,West,21,12.7978845268557
2018,Washington,Pac-12,North,22,12.1724690722356
2018,Syracuse,ACC,Atlantic,23,12.105286915107
2018,Texas,Big 12,,24,12.0982617584398
2018,Iowa State,Big 12,,25,11.352222118128
2018,App State,Sun Belt,West,26,10.6563299032509
2018,Utah,Pac-12,South,27,10.5676810732455
2018,Vanderbilt,SEC,East,28,9.92576388347224
2018,South Carolina,SEC,East,29,9.65238257014932
2018,Oklahoma State,Big 12,,30,9.564103228225
2018,Army,FBS Independents,,31,9.50839781189653
2018,Boise State,Mountain West,Mountain,32,9.3240336559705
2018,Wisconsin,Big Ten,West,33,8.8010659826997
2018,Stanford,Pac-12,North,34,8.25699518642176
2018,NC State,ACC,Atlantic,35,7.87620574495056
2018,Virginia,ACC,Coastal,36,7.6330925270792
2018,Purdue,Big Ten,West,37,7.62325096218693
2018,Ohio,Mid-American,East,38,7.37917048107857
2018,Cincinnati,American Athletic,East,39,7.34008522125488
2018,Texas Tech,Big 12,,40,7.2642034290667
2018,Miami,ACC,Coastal,41,6.89100899434925
2018,Duke,ACC,Coastal,42,6.36280865238864
2018,Northwestern,Big Ten,West,43,6.34600890131443
2018,Michigan State,Big Ten,East,44,6.20117821309371
2018,Pittsburgh,ACC,Coastal,45,5.81404423660701
2018,Minnesota,Big Ten,West,46,5.50261574323855
2018,Boston College,ACC,Atlantic,47,5.26657166104899
2018,Oregon,Pac-12,North,48,5.16856110077245
2018,Arizona State,Pac-12,South,49,4.39687039925173
2018,TCU,Big 12,,50,4.32844794930985
2018,Maryland,Big Ten,East,51,3.96216867686133
2018,Kansas State,Big 12,,52,3.90194431893174
2018,Temple,American Athletic,East,53,3.70047287070817
2018,Ole Miss,SEC,West,54,3.45816331017397
2018,Georgia Tech,ACC,Coastal,55,3.43042231678247
2018,BYU,FBS Independents,,56,3.23929559980626
2018,Baylor,Big 12,,57,2.63689040369011
2018,Nebraska,Big Ten,West,58,2.51308492847771
2018,Indiana,Big Ten,East,59,1.54505355943428
2018,USC,Pac-12,South,60,1.28241750968645
2018,Memphis,American Athletic,West,61,1.15728542679805
2018,Tennessee,SEC,East,62,0.934055289857118
2018,Wake Forest,ACC,Atlantic,63,0.82901143780098
2018,UAB,Conference USA,West,64,0.647755822815336
2018,Buffalo,Mid-American,East,65,0.493405803898169
2018,California,Pac-12,North,66,0.309442121162968
2018,Georgia Southern,Sun Belt,West,67,-0.405632803575051
2018,Middle Tennessee,Conference USA,East,68,-0.858745453506089
2018,Houston,American Athletic,West,69,-1.06325090018473
2018,Kansas,Big 12,,70,-1.21339893967841
2018,Troy,Sun Belt,East,71,-1.35254281412702
2018,Toledo,Mid-American,West,72,-1.58113617237025
2018,Marshall,Conference USA,East,73,-1.58849348533
2018,Air Force,Mountain West,Mountain,74,-1.79067775241451
2018,Miami (OH),Mid-American,East,75,-2.1978689827172
2018,North Texas,Conference USA,West,76,-2.28023620818942
2018,Colorado,Pac-12,South,77,-2.40756980016403
2018,Wyoming,Mountain West,Mountain,78,-2.42107187652821
2018,Virginia Tech,ACC,Coastal,79,-2.64869223882288
2018,Arizona,Pac-12,South,80,-2.77840955815168
2018,Arkansas State,Sun Belt,East,81,-2.78315571389982
2018,Florida State,ACC,Atlantic,82,-2.80733525166506
2018,Eastern Michigan,Mid-American,West,83,-3.39013326876502
2018,Florida International,Conference USA,East,84,-3.41905684586853
2018,Nevada,Mountain West,West,85,-3.90137750083293
2018,UCLA,Pac-12,South,86,-3.95780204889263
2018,Florida Atlantic,Conference USA,East,87,-4.03334750521993
2018,Northern Illinois,Mid-American,West,88,-4.45948076547742
2018,San Diego State,Mountain West,West,89,-4.81466267622986
2018,Tulane,American Athletic,West,90,-5.35366113742525
2018,North Carolina,ACC,Coastal,91,-6.49294936271597
2018,Southern Miss,Conference USA,West,92,-6.77112557272478
2018,Arkansas,SEC,West,93,-7.15777478158719
2018,Louisiana,Sun Belt,East,94,-7.43107232004639
2018,Louisiana Tech,Conference USA,West,95,-7.93638317877828
2018,SMU,American Athletic,West,96,-9.37508260011845
2018,Navy,American Athletic,West,97,-9.74060508344726
2018,Hawai'i,Mountain West,West,98,-10.1206054963731
2018,Western Michigan,Mid-American,West,99,-10.2607398918127
2018,Liberty,FBS Independents,,100,-10.2638242878996
2018,Illinois,Big Ten,West,101,-10.5213327355491
2018,UL Monroe,Sun Belt,East,102,-10.9141068810248
2018,South Florida,American Athletic,East,103,-10.9742818603665
2018,Tulsa,American Athletic,West,104,-11.9906009780174
2018,Charlotte,Conference USA,East,105,-12.1731256401174
2018,Rutgers,Big Ten,East,106,-12.8899834922041
2018,San José State,Mountain West,West,107,-14.0968213143407
2018,Akron,Mid-American,East,108,-14.5105761133114
2018,UNLV,Mountain West,West,109,-14.7413804642979
2018,Colorado State,Mountain West,Mountain,110,-14.8908711044675
2018,Western Kentucky,Conference USA,East,111,-15.2007234236182
2018,New Mexico,Mountain West,Mountain,112,-15.3899105673124
2018,Louisville,ACC,Atlantic,113,-15.4485203413512
