game_id,season,week,home_team,away_team,provider,spread,formatted_spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
401309648,2021,13,South Alabama,Coastal Carolina,William Hill (New Jersey),15.0,Coastal Carolina -15,,55.0,,,
401309648,2021,13,South Alabama,Coastal Carolina,Bovada,15.0,Coastal Carolina -15.0,14.5,55.0,57.0,450.0,-665.0
401309905,2021,13,Washington,Washington State,teamrankings,-1.0,Washington -1,,45.0,,,
401309905,2021,13,Washington,Washington State,consensus,1.0,Washington State -1,,45.0,,,
401309905,2021,13,Washington,Washington State,William Hill (New Jersey),1.0,Washington State -1,,45.0,,,
401309905,2021,13,Washington,Washington State,Bovada,1.0,Washington State -1.0,1.5,45.0,43.5,-105.0,-115.0
401282626,2021,3,Louisville,UCF,teamrankings,7.0,UCF -7,,67.5,,,
401282626,2021,3,Louisville,UCF,numberfire,7.5,UCF -7.5,,68.5,,,
401282626,2021,3,Louisville,UCF,consensus,7.0,UCF -7,,67.5,,,
401282626,2021,3,Louisville,UCF,William Hill (New Jersey),7.0,UCF -7,,67.5,,,
401282626,2021,3,Louisville,UCF,Bovada,7.0,UCF -7.0,7.5,67.5,67.0,210.0,-250.0
401282071,2021,3,Florida,Alabama,teamrankings,14.0,Alabama -14,,59.5,,,
401282071,2021,3,Florida,Alabama,numberfire,15.5,Alabama -15.5,,58.5,,,
401282071,2021,3,Florida,Alabama,consensus,14.0,Alabama -14,,60.0,,,
401282071,2021,3,Florida,Alabama,William Hill (New Jersey),14.0,Alabama -14,,60.0,,,
401282071,2021,3,Florida,Alabama,Bovada,14.5,Alabama -14.5,15.5,60.5,57.5,450.0,-665.0
401282072,2021,3,Georgia,South Carolina,teamrankings,-31.5,Georgia -31.5,,47.5,,,
401282072,2021,3,Georgia,South Carolina,numberfire,-30.5,Georgia -30.5,,48.5,,,
401282072,2021,3,Georgia,South Carolina,consensus,-31.5,Georgia -31.5,,47.5,,,
401282072,2021,3,Georgia,South Carolina,William Hill (New Jersey),-31.5,Georgia -31.5,,47.5,,,
401282072,2021,3,Georgia,South Carolina,Bovada,-31.5,Georgia -31.5,-30.5,47.5,48.0,,
401282070,2021,3,Penn State,Auburn,teamrankings,-4.0,Penn State -4,,53.0,,,
401282070,2021,3,Penn State,Auburn,numberfire,-5.5,Penn State -5.5,,52.5,,,
401282070,2021,3,Penn State,Auburn,consensus,-4.0,Penn State -4,,52.5,,,
